"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00537291903830823,0.0088195053406308,0.00662624426430084,0.00686283927300852,0.0137602810445691,0.0300562188932509,0.0496627281862622,0.0603355277695336,0.0623476333178397,0.0588715285630342,0.0454998526655868,0.025158124998758,0.0103813325702829,0.00399706907341004,0.00176969845774085,0.000958628745533293,0.000695850739877837
"[5,10)",0.00809077918926325,0.0184903203664119,0.0142711718192711,0.0115697324917947,0.0244379428545389,0.0464704499665776,0.062965555724201,0.0670304850839118,0.0669466449440096,0.0657940224537383,0.056444497266436,0.0370210864347547,0.0187487072598416,0.00861139029240727,0.00425802612544891,0.00251184816331098,0.00190498925649919
"[10,15)",0.00572079720983015,0.013430822997402,0.0405384576243748,0.0344070738771322,0.0470244364059785,0.0647378300507392,0.0716320952140431,0.0694234786600091,0.0682466719263529,0.0686479932743218,0.0613873909535135,0.0434759997317126,0.0253330150989688,0.0139847485063587,0.00802812834078427,0.00509522647259246,0.00394464938109387
"[15,20)",0.00579776435155499,0.0106545209611724,0.0336678481527722,0.144885540897814,0.18447893305092,0.183111808841061,0.175380084588967,0.161310910190319,0.156429523430698,0.157124776726629,0.139724820217024,0.0977599227467591,0.0578760342999571,0.03439963527768,0.0224898321680853,0.0157210709988134,0.0121724910547845
"[20,25)",0.0116317618818039,0.0225183581690343,0.0460418415695375,0.18459003208118,0.525412130148792,0.527262323198319,0.460968511323583,0.408055489722778,0.382966830084847,0.372668072823699,0.321862576579844,0.218312514625888,0.126149641386808,0.0753819463857085,0.0531111237137692,0.0415910647658186,0.03476714735333
"[25,30)",0.0251207102695506,0.0423378038190344,0.0626709958750652,0.181157863721897,0.52132206839762,0.841480060596439,0.772955171219611,0.660371607261414,0.593963027947311,0.553727019088607,0.462883522312719,0.30720705407419,0.17459821564374,0.102933103791842,0.0738788080346485,0.0625738213374854,0.0613011523260438
"[30,35)",0.0386496823069688,0.0534161120799872,0.0645704625260414,0.161561880092528,0.424393199291238,0.719734121326858,0.864413332775945,0.760413155608984,0.653473843693549,0.584717704853412,0.475601718888184,0.311644942382811,0.176044577085334,0.102532210690676,0.0726505335440662,0.0630401920098231,0.0742587083602292
"[35,40)",0.0394117483119613,0.0477286143118914,0.052525457549123,0.124726746718724,0.315321519583872,0.516111347155818,0.638244162858967,0.711671766513842,0.628794516485406,0.546943986525226,0.43725671902889,0.283393638151831,0.158396714653511,0.0907495277090649,0.062981968579041,0.0545004157287196,0.076387423606616
"[40,45)",0.0316459597322399,0.0370408542920964,0.0401227474694441,0.0939853772672369,0.229954154269758,0.360711627097064,0.426197749976302,0.48860112160943,0.533617114197068,0.480404956503021,0.37977269498009,0.241815965204704,0.131630012959921,0.0733074338820949,0.0500701861780818,0.0438351419615672,0.0732402921736522
"[45,50)",0.0231132478262857,0.0281576224437186,0.0312172324535653,0.0730202987785921,0.173085087707552,0.260108059767566,0.294975912340132,0.328734989041647,0.371590707349244,0.401726713558353,0.32866857616385,0.203039753193588,0.106196121749805,0.0572455107602631,0.0390325619607639,0.0356046799114888,0.0689477172416689
"[50,55)",0.0143257330378483,0.0193723519920686,0.0223870529862671,0.0520743300276044,0.119883426699056,0.174373712837904,0.192413227324168,0.210761252303745,0.235576682358295,0.263578136381417,0.265737940527652,0.168453929064112,0.0848303797664754,0.044914628387495,0.0311072561024014,0.0295976400153775,0.0572978554721721
"[55,60)",0.00644891381759308,0.0103445437554995,0.0129082916121706,0.0296628189155483,0.0662016380958504,0.0942197432837732,0.102648600074404,0.111210505408077,0.1221222998419,0.132566477204264,0.137145822738058,0.109159725179716,0.0575604205236325,0.0306838792539488,0.0215065467129702,0.0201042533912899,0.0309702189335165
"[60,65)",0.00206896530713519,0.00407310223704451,0.00584787221934545,0.0136534416277769,0.0297418463542798,0.0416334437694655,0.0450824387068605,0.0483274287420042,0.0516840728290462,0.0539079848014994,0.0536963359726444,0.0447523411731017,0.0318162844017713,0.0188168704961591,0.0126033679443329,0.0102119420371939,0.0101571030881895
"[65,70)",0.000573107189423521,0.00134592653436624,0.00232252154773722,0.0058383658998627,0.0127862546992745,0.0176584143009253,0.0188903136777199,0.0199198467064635,0.0207082749185341,0.0209064345907367,0.0204538539506788,0.0171631171050721,0.013537594299678,0.0134705390692397,0.00918974658314858,0.00550360446412118,0.00314084453875562
"[70,75)",0.000175166663635441,0.000459424748551259,0.000920401632891007,0.00263500636424942,0.00621898453892988,0.00874932393117776,0.00924007803332973,0.00954367918563968,0.00976411966683131,0.00984064533406274,0.00977928328797884,0.00830452056489007,0.00625948634987988,0.00634397580478207,0.00612076892992247,0.00266112567917929,0.000914755651269578
"[75,80)",5.97660413846103e-05,0.000170706990488232,0.000367941202979283,0.00116019086297025,0.0030675092678498,0.00466765933298459,0.00505017253758722,0.0052017715366679,0.00538428651901676,0.00565399559184634,0.00586076440792358,0.00488971661785846,0.0031945690542405,0.00239307910416076,0.0016761668361577,0.000300080219748433,5.27261298315815e-05
"[80,Inf)",3.21291324364806e-05,9.58802847043732e-05,0.000210961012220524,0.000665281792375312,0.00189903847959199,0.00338652256779265,0.00440570020529899,0.00539948306102002,0.00666246092501669,0.00810862345834961,0.0084026139274406,0.00557851850827607,0.00235316652310592,0.00101142839751587,0.000426712947741192,3.9048536043319e-05,6.51454352731837e-08
