"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.702190155895586,0.581691494272283,0.2900576062541,0.195798862718492,0.279904999934923,0.532533158344697,0.72356454695004,0.551874945823703,0.299738276532622,0.198718658627531,0.203368727201937,0.236752216143769,0.222775101757366,0.162497024147494,0.111685478331196,0.0844377250631647,0.0541563471651633
"[5,10)",0.576775912900263,0.934195798594407,0.614242140020376,0.223253923669358,0.145740298927835,0.253799761511695,0.559670597395621,0.743796654153987,0.50496311782759,0.253007545500486,0.167196435003426,0.17110733234717,0.193177070658389,0.179288870993219,0.136076001152003,0.0999906908615885,0.0673115862240882
"[10,15)",0.295156488721259,0.630366728707498,1.03505243184179,0.535466989201285,0.181903110036682,0.13601237597712,0.268950963412169,0.571932900538112,0.679795935322262,0.430646509394999,0.216088761819126,0.142405168551519,0.138755147228587,0.150838666031665,0.141615512436856,0.111192721743072,0.0709633711362987
"[15,20)",0.20794722243838,0.239126472536961,0.558865865668996,0.898258308966026,0.451549654751908,0.170940745749789,0.145705188394199,0.277412711216403,0.527582310016349,0.589336302254994,0.373188891237961,0.184270992855146,0.112469821153485,0.101715800148858,0.109692224749189,0.105437016200428,0.0712362551540123
"[20,25)",0.309994662622679,0.162782912352412,0.197977396046441,0.470875523095928,0.742496961258481,0.401887494042235,0.174472933504054,0.145662421455276,0.24676970202348,0.439630817305208,0.489032206418539,0.303906302239077,0.140027415119168,0.0796047346033964,0.0732206268261502,0.0838659347035447,0.0743101478754703
"[25,30)",0.616817103409397,0.296473964548812,0.154817519109775,0.186428535713882,0.42031093123299,0.662268208188669,0.397081392750629,0.171756589697873,0.127900615112713,0.20336947472082,0.365106604624144,0.405142964312441,0.242687678980136,0.107852818423306,0.0645325319194745,0.0653024369327536,0.0761972370984361
"[30,35)",0.848165906884887,0.661639800429585,0.309819365288731,0.160818345596991,0.184666464818263,0.401858645037344,0.635961830564046,0.378468650440209,0.149514568801716,0.106084901321634,0.173327770139424,0.315968490597586,0.346139459933576,0.205702903874119,0.0970416094856253,0.0636347565708081,0.0684044619567081
"[35,40)",0.61862481410996,0.840865388699358,0.630033527937049,0.292799314703205,0.147431615115282,0.16622269270395,0.361920378463432,0.571764570375489,0.323162797937917,0.124903187263646,0.0931450000402008,0.156283043292224,0.279895557840187,0.301852987514737,0.18516035877636,0.0920075885645329,0.0588463653463918
"[40,45)",0.306421996087754,0.520622566004406,0.682948913365226,0.507837769579702,0.227785464918288,0.112886136981181,0.130394031195814,0.294721916786832,0.481181369602672,0.277646427163927,0.113887487203029,0.0866919570760131,0.138269246149376,0.236018690605405,0.255726570549085,0.160849744501749,0.0675439516883017
"[45,50)",0.177179228297685,0.227506196786599,0.377334933265977,0.494759786800864,0.35393110078634,0.156548954877883,0.0806908338345417,0.0993484330227984,0.24215225435637,0.425492520965901,0.259747090064272,0.10647577857981,0.0744243828219544,0.109658396011844,0.188833341568015,0.212956860467875,0.108355141303803
"[50,55)",0.149500987581682,0.1239574125239,0.156107581465761,0.258312629061362,0.324603944186154,0.2317233653015,0.108698739679492,0.0610847471009205,0.0818951476672704,0.214159045743093,0.392475529975571,0.234250724243042,0.0877287613551609,0.0565420359318652,0.0864825642849381,0.159833031655265,0.154084791401887
"[55,60)",0.132849614625971,0.0968323484066368,0.0785278887638247,0.0973599322212972,0.153979318187796,0.196274913327203,0.151253867883342,0.0782332635659837,0.0475846984821448,0.0670105082021017,0.178808144819567,0.3233833002344,0.182587738056632,0.0652271304844242,0.0445881844586512,0.0737954110577633,0.133136396317601
"[60,65)",0.0853543121445734,0.0746448741867264,0.0522444115648946,0.0405743771412763,0.0484426985450496,0.0802780456501316,0.113137452509552,0.0956683236235725,0.0518211062258348,0.031981578788284,0.0457236532611048,0.124670637030071,0.230777106555878,0.129710328152282,0.0482022487649591,0.0346978568702611,0.0671294520281187
"[65,70)",0.038754297097402,0.0431234385308571,0.0353524127131747,0.0228412524167303,0.017142327621686,0.0222073224111664,0.0418515303094623,0.0642219181588135,0.0550608761061319,0.0293320341922188,0.0183436604820376,0.0277227609092676,0.0807402694193542,0.155487708465679,0.0874826427541155,0.0324789616228996,0.0266251029608839
"[70,75)",0.0166129650725948,0.0204135050159288,0.0207010891182713,0.0153632581933777,0.00983422919923064,0.0082874208799733,0.0123141631189752,0.0245703758020914,0.0372090486681941,0.0315032212313524,0.0174992369104684,0.011819632855028,0.018713668289263,0.0545629553308648,0.101928637212108,0.0554753805096277,0.0170014625572303
"[75,80)",0.00808392351689841,0.00965452339351377,0.0104614999246365,0.00950464324241193,0.00724982800675762,0.00539765729738153,0.00519728493171338,0.00785819248098664,0.0150635840801676,0.0228666818173608,0.0208157622112914,0.0125906682880505,0.00867020781468484,0.0130380714224921,0.0357055328244541,0.0627553378233421,0.0238753276814501
"[80,Inf)",0.0047132224293599,0.00590804773113617,0.00606924590727586,0.00583749731767359,0.00583946604741183,0.00572529729758265,0.00507866388268471,0.00456879380071962,0.00575012527166966,0.0105765477917508,0.018241832176403,0.020649004724433,0.0152483502200255,0.00971595323448689,0.00994728158583687,0.0217036232024777,0.0315808976131122
