"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00494624583442146,0.00793617909353844,0.00594070244140719,0.00616503221308828,0.0123347000094248,0.0268661849802569,0.0444612668888993,0.054087849808325,0.0558591453403969,0.0526891053988847,0.0408091260918742,0.0227978302154709,0.00945832477854546,0.00359716854192039,0.00156656674299435,0.000851070941275903,0.000627729735036927
"[5,10)",0.00806727186273056,0.0185011362601099,0.0141861175476547,0.0115133695423187,0.0241339735642419,0.0457442766557777,0.0620324591026702,0.066060444413317,0.0659681762383661,0.0647899514312153,0.0556344365369327,0.0367566288367087,0.018701080039289,0.00850910329066561,0.00414759824812486,0.00245433301463232,0.00188622429093222
"[10,15)",0.00616435781260873,0.0144809935787533,0.0434527886947984,0.0370383332717888,0.0504269722957442,0.0693481047332858,0.076788795411182,0.0744091391492609,0.0731638413288414,0.0735592785449094,0.0657936972350818,0.0468453543803706,0.0273684067263335,0.014992497224667,0.0085035292460467,0.00540593745868992,0.00423457551117948
"[15,20)",0.00650104815190633,0.0119435998352147,0.0376399838238001,0.161320036569152,0.205236205914096,0.203676172276932,0.195121459992681,0.179359090586211,0.173962671260356,0.174640918601373,0.155315221537699,0.109231110913072,0.0647753455163712,0.0382056360754938,0.0247424906847919,0.0172922864408135,0.0135119595185872
"[20,25)",0.0127360600076124,0.0245143343404404,0.0501786945787633,0.200961308571195,0.569238834668602,0.571921058151895,0.499955447232829,0.442180854514344,0.415012348853633,0.403730453422027,0.348874833538834,0.237974417991951,0.13774848630738,0.0816760496032357,0.0571530937640756,0.0447574965144723,0.0376149599076733
"[25,30)",0.0252045654475826,0.0422177170904498,0.0626985894204132,0.181203009153273,0.519640265497689,0.839401753144533,0.770985268672395,0.658018864920973,0.591753790115223,0.551640682582913,0.461621680936417,0.308174000890667,0.175454510448726,0.102622453574746,0.0732701513388065,0.062215733660056,0.0611797516397777
"[30,35)",0.0347259687886441,0.047662443363967,0.0577990036922986,0.14452052863066,0.378178936864869,0.641867525498299,0.772048856603076,0.678250855273527,0.582494312221431,0.521154353355955,0.424455744210987,0.279779535425564,0.158320254085591,0.0914684289234253,0.0644805095888562,0.0562434506384105,0.0666746365181875
"[35,40)",0.0336282006763047,0.0404045404545344,0.0445841153761844,0.105749731668692,0.266254736883103,0.436082887428665,0.539910441307068,0.60281272088851,0.53197785751706,0.462584616392791,0.370316237448011,0.241437200433615,0.135182777534504,0.0768037020380199,0.0529987268789578,0.0461624018506796,0.0653605467143987
"[40,45)",0.0288032863419644,0.0334631638696926,0.0363575169158161,0.0850659566593892,0.207253689097566,0.325248715430931,0.384562477636219,0.441201924269418,0.482333574842177,0.434128747436669,0.343652330449603,0.220124118430635,0.120005771000107,0.0662270292561824,0.0449685213988848,0.0396874736683857,0.0671020398385801
"[45,50)",0.0241940044490875,0.0292670771858997,0.0325517508537267,0.0760474937481024,0.179544429675426,0.270003879968635,0.306394358186521,0.341644319252668,0.386596324991805,0.417955752807331,0.342446726599185,0.212867167017598,0.111503968857527,0.0595321135212823,0.0403868570610006,0.0372075272923289,0.0727805113769845
"[50,55)",0.0163824232032551,0.0219709738495583,0.0254539448288458,0.0591271347521179,0.135638813860494,0.197530348831673,0.218162812744966,0.239105567076929,0.267542255599903,0.299382860734222,0.301497882258221,0.192442635585967,0.0970931210760493,0.0509136162155469,0.0351136462875329,0.0337473619225319,0.0658868590827347
"[55,60)",0.0069883457188049,0.0110841222426725,0.0138387656782866,0.0317525921250638,0.0706487748562045,0.100694013135065,0.109805545623454,0.119036771629765,0.130858139441609,0.142102793561706,0.146947200517981,0.117406379180452,0.0619814022136709,0.0327187169260478,0.0228386975836467,0.0215443178813256,0.0335985831072433
"[60,65)",0.00193628549541293,0.00376622815496003,0.00539951367256024,0.0125752571642193,0.0273108677731964,0.0382865728653109,0.0414972302548801,0.0445115401401752,0.0476441458802916,0.0497116941618847,0.0495134040580762,0.04139383840236,0.0294129656290689,0.0172090545850864,0.0114634840374715,0.00934927660812677,0.00942785817369992
"[65,70)",0.000485900397927538,0.00113071988728043,0.00195168806105291,0.00489402146604245,0.0106850039512151,0.0147759580128193,0.0158192230807623,0.0166864790926254,0.017348981624797,0.0175126084539431,0.0171316647235595,0.0144178952382051,0.0113550306434284,0.0112825402741229,0.00759974958176883,0.00453603681462789,0.00260203630182689
"[70,75)",0.000177516007460785,0.000462349155309615,0.000928619478429464,0.00265878978659449,0.00627222830682745,0.00884998417346289,0.00935501617777678,0.00965939982233563,0.00988210517011895,0.00996647874602986,0.00991159853681925,0.00844265584478264,0.00634526961104087,0.00637531184852961,0.0060151972197974,0.0025600108597139,0.00087614355102122
"[75,80)",9.15244784047996e-05,0.000259650854829719,0.000560263690375739,0.00176350172351799,0.00466155466658756,0.00713178945534164,0.0077440994333204,0.0079846518394988,0.00827708088838671,0.00871395630338753,0.00904045904689077,0.00755828705331361,0.00491127598571841,0.00361128366018697,0.00242954355306231,0.000404084709016078,6.9713167718247e-05
"[80,Inf)",7.29943661157798e-05,0.00021577182795586,0.000474543995094899,0.00149000231450726,0.0042361442303693,0.00758317600953454,0.00992669686365633,0.0122244239479551,0.0151322883191718,0.0184308265293399,0.0190851069808154,0.0127454958674608,0.00535518540436652,0.00223997681651653,0.000899090253636705,7.53806637507225e-05,1.27129747411297e-07
