"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.38307040403149,1.262629479604,0.460723868802901,0.274183885322915,0.328434524771753,0.690664427504301,1.23742960087122,1.19878407217242,0.775845739517046,0.56559328707295,0.51978338742093,0.474934141425759,0.410957625616598,0.361201048747644,0.290845630085478,0.184623653822759,0.0958481987623728
"[5,10)",1.07065623962854,4.67786689771264,1.83939847446214,0.480684153065696,0.30016159021069,0.378503754521389,0.652467744679505,0.82136958338588,0.621436901629235,0.400864659179949,0.34019102297945,0.363965346027426,0.388812178635017,0.397616620448947,0.363579893669919,0.265560503681322,0.163617801096531
"[10,15)",0.330589151234357,1.55650162917967,6.24061795689301,1.82453449986193,0.515299934389617,0.351629968220914,0.399105634777169,0.517710332972105,0.524148892935198,0.373109231559579,0.237353932552812,0.188539703050019,0.190967590530425,0.200597266218635,0.184732131099609,0.138818967699041,0.0979781482625905
"[15,20)",0.164654060958445,0.3404208858327,1.52698480304431,5.02377728449418,1.59982218309204,0.613822727919691,0.463417789844787,0.453296177124137,0.499285490514143,0.483080763423359,0.336498407613063,0.195107289656053,0.142039040483198,0.141293536975111,0.140695300692675,0.114737589913438,0.0934024755147007
"[20,25)",0.162049653104842,0.174654706098428,0.354332920873073,1.31443918191087,2.88508968375985,1.09250194299566,0.591347795354576,0.455324368835441,0.419828612789344,0.468307296469003,0.46069924377973,0.30905843036888,0.178312360165028,0.137467071993783,0.138034837483208,0.124130149708792,0.105658013095593
"[25,30)",0.274797126437221,0.177599264543714,0.194976870306484,0.406684427918227,0.880983986727393,1.33400622825086,0.669637003925077,0.428319717799608,0.339423277659084,0.338276746019878,0.402781898997817,0.391583704486384,0.264713827495108,0.160685238737777,0.122069104600613,0.103562902908446,0.0870868523171964
"[30,35)",0.391134771139766,0.243215273461221,0.175810941356676,0.243920390391162,0.378834571538636,0.531986082807979,0.73016376059075,0.437600790124248,0.304721632990865,0.265597188816487,0.281491322851369,0.32454365158708,0.308758976619659,0.211081679066197,0.121495647496151,0.0749349678549882,0.0576835895468056
"[35,40)",0.297205245483204,0.240148564500456,0.178876980102368,0.187140179844662,0.228790031596741,0.266893793925869,0.343231927110372,0.492203571851237,0.314544510261383,0.235457715461758,0.211079044235446,0.211115911655014,0.235054459044883,0.226144231046172,0.148098241672992,0.0703490245490412,0.0384830719771943
"[40,45)",0.149736197968625,0.141440679181231,0.140980228371574,0.160461130358101,0.164219283798652,0.164644772465393,0.18605818668286,0.244860101742664,0.331384271472703,0.213951543023676,0.16258298500995,0.139322363258745,0.138808598145694,0.161030860173006,0.149644442781878,0.0806933594131265,0.0307084714539674
"[45,50)",0.0858345357505091,0.0717433181002343,0.0789125224372609,0.122080708230891,0.144042098055156,0.129028266335024,0.127519137113786,0.144130281893903,0.16823711694918,0.216245358185225,0.145595128409568,0.110584015552807,0.0974915264473749,0.100901079367623,0.109531479163406,0.0822295028354778,0.0348852967032473
"[50,55)",0.0638461644662933,0.0492789152068551,0.0406313230143271,0.0688279620353503,0.114691336721333,0.124347558844845,0.109388458994796,0.104578408915425,0.103475155610592,0.117842363611544,0.179384429527128,0.128813414452428,0.099218677807319,0.0878468989940198,0.0837206169698641,0.0758563033122543,0.0520514575874985
"[55,60)",0.0477742854273237,0.0431764287060059,0.0264311307400048,0.0326816357309434,0.063008929574461,0.0990011686517243,0.103282799864804,0.085657672605533,0.0726156484426178,0.073298544191448,0.105489560812062,0.177630027050729,0.124820771621898,0.0973418321694577,0.085597737815306,0.0742502722341766,0.0682143681516157
"[60,65)",0.0326315676670542,0.0364088219633764,0.0211325876246236,0.0187809737046076,0.0286961108414444,0.0528290041140921,0.0775629936203922,0.0752824740309758,0.0571091690562576,0.0510093687297524,0.0641389599022067,0.0985296519476218,0.145253220173433,0.107173430324091,0.090009240174036,0.0701722673270309,0.0543798948342746
"[65,70)",0.0210545074623609,0.0273329486768289,0.0162957070473051,0.0137147488917119,0.0162403529647858,0.0235411116642775,0.0389260825051946,0.0531699302713562,0.0486355436120305,0.038755565598556,0.041687908010725,0.0564072322577288,0.0786760087933232,0.121895025471103,0.0926374376342888,0.0561712562975761,0.0329717593097881
"[70,75)",0.0116393925511662,0.0171590604170757,0.0103029674511761,0.00937598371533115,0.0111958527686165,0.0122780227245114,0.0153823457028598,0.0239057387256374,0.0310296547910425,0.0288834395128529,0.0272764455246294,0.0340540877311458,0.0453642748621317,0.0636001621373909,0.0988192113687843,0.049143007372213,0.0257740638538328
"[75,80)",0.00452683463182334,0.00767885813726697,0.00474360167251136,0.00468470762047519,0.00616858090353683,0.00638214114703916,0.00581280679824607,0.00695744628096356,0.0102516474467558,0.0132854765221561,0.0151421151785669,0.0180985811376928,0.0216686523733706,0.0236279118327369,0.0301093406847891,0.0361420276274014,0.017521036842303
"[80,Inf)",0.00169170470492834,0.00340562657217591,0.00241002719701911,0.002745165094436,0.00377958171029911,0.00386320804136062,0.00322097203610649,0.00273964838858815,0.00280832508316004,0.00405718869009555,0.00747930217377458,0.0119689389811981,0.0120875440522858,0.00998358773114657,0.0113672583091875,0.0126122658400801,0.00384200659909286
