"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.429137542103203,0.355529465424052,0.177262406607497,0.119397758528665,0.170780206620931,0.325022554467339,0.441750771585262,0.335513034047813,0.181724197595398,0.120977142665288,0.124337411132184,0.144604475830775,0.135245915846107,0.0983114879607521,0.0678336860021039,0.051382823218579,0.0301905221870509
"[5,10)",0.362007063920066,0.58578295958767,0.3852969907757,0.139697689300193,0.0913404250872416,0.159261783515698,0.351906141889064,0.465820278991653,0.313909965750285,0.157144448240184,0.104549799706122,0.107497498771452,0.121172163982199,0.111816202465357,0.0848427874897268,0.0624278970256707,0.039299259434504
"[10,15)",0.185935043909266,0.396916160218393,0.651132754967304,0.335925527415308,0.1141628615853,0.0856362982390196,0.170096386822981,0.361709407867279,0.426554412133494,0.268155139306006,0.134714823389929,0.0893078408293939,0.0874944876980897,0.0949685208907644,0.0888382431043307,0.0696468210902131,0.0417552853975315
"[15,20)",0.133124004679395,0.152970602526261,0.357074303851228,0.575253762306531,0.289104046033889,0.109550626800336,0.0934836246978727,0.178728036431937,0.339433339192736,0.376363719842719,0.237015126130667,0.116832922438207,0.0715925723538528,0.065179484404624,0.0702656456460675,0.0673705357739997,0.0425827888976522
"[20,25)",0.206961832584739,0.108711205028673,0.131896406479486,0.314229313333574,0.495535448871217,0.268456672976945,0.116315776021261,0.0974162662948366,0.165852182349998,0.294842782209516,0.325500187330819,0.200626631083402,0.0919960469308628,0.052780505204246,0.0489306790369404,0.0560483918221621,0.0468614646491162
"[25,30)",0.424911857148115,0.20448218663272,0.106732978115659,0.128451747752528,0.289605515019138,0.456073628778166,0.272727586523854,0.117711966540604,0.0882141833509442,0.141216398517552,0.252735178659944,0.277862092210826,0.16435265820959,0.0731153014872746,0.0443144426484419,0.0450924086746247,0.0510938874715781
"[30,35)",0.615822124190295,0.481796202027935,0.226062460219231,0.116883528576685,0.133802388655668,0.290818271579165,0.46144953576397,0.273583935765881,0.107833059973638,0.0770479502657661,0.12655719312564,0.230348842336539,0.249806292660158,0.147259753663251,0.0699531596012058,0.0461507643343474,0.0496845353145078
"[35,40)",0.49414653196593,0.673788045371866,0.507880514177011,0.236090678083711,0.118392750164055,0.132611631962332,0.289040684929951,0.458044694197981,0.258021101924327,0.0997092035436083,0.0747790439863298,0.126051985279054,0.225539694487511,0.24099075242994,0.147747482740373,0.0735770055765698,0.0468320718774582
"[40,45)",0.282286629967582,0.478895997556819,0.631694910951696,0.472902756755087,0.212591557160734,0.104816732253697,0.120157672628041,0.27213626465016,0.445885841335752,0.257083211010186,0.105597752405688,0.0805257166132018,0.129049919620116,0.219435523101248,0.236708028636211,0.148966639911188,0.0590550662903109
"[45,50)",0.196420061792045,0.250576372436334,0.415072571778045,0.548062481688496,0.395021100516514,0.175380902639197,0.0897357794319821,0.109918656723063,0.268706818642779,0.473470670753131,0.289215338673414,0.118224797567862,0.0827249921507299,0.122349102872889,0.2098196558469,0.236700965306082,0.109404928461205
"[50,55)",0.201305701053863,0.166240185102867,0.207933771340172,0.34416770608177,0.434863312935317,0.312992981622181,0.146981649652753,0.0822030264456137,0.110060474125066,0.288398538760033,0.528421942178592,0.31432351096706,0.117056763965498,0.0760165048822424,0.116465409346891,0.215134910378887,0.190023663841363
"[55,60)",0.218398236716567,0.159449920179387,0.12859153257721,0.158260463162915,0.250036405023496,0.321004664122071,0.249560274932927,0.129261957015524,0.0782932716585904,0.109974868319803,0.293217580007619,0.531214777502349,0.298307778380349,0.106778300415019,0.0734166137739167,0.121303950761481,0.211113624798526
"[60,65)",0.181454090161888,0.159662903077205,0.11191252282205,0.0861490256852771,0.101849533098441,0.168668500756838,0.240418568179369,0.205456192417029,0.111460963321781,0.0683591756693408,0.0970029323352676,0.264996286811585,0.493216431277923,0.277998571375151,0.103970629075192,0.0742805730569213,0.148284848669617
"[65,70)",0.111916458141129,0.125012367920508,0.103068214528694,0.0665488276122538,0.0495804545957047,0.063666739934879,0.120252963291712,0.186270341351795,0.160812229605856,0.0857843286536638,0.0534494612221149,0.0804832119391539,0.235879201716481,0.453282180323981,0.257250492543528,0.0954660690211864,0.0826330179388239
"[70,75)",0.0624826705067178,0.0767516374575221,0.0780134560703672,0.0580493027302899,0.0371914133164839,0.0312229624486909,0.0462214463053043,0.0924033892958388,0.140362018704903,0.119035860572539,0.0662608297157985,0.0447755700406377,0.0713809354314507,0.208152050292229,0.384867790218687,0.210100461138485,0.0621841103463706
"[75,80)",0.0367059868207755,0.0437981938675285,0.0474324579810443,0.0431647015801376,0.033039188439948,0.0246397912957062,0.0236493859519547,0.0356873824576219,0.0685062845887637,0.104144526564612,0.0949239009722793,0.0573755015657045,0.0395504641110375,0.0599070995636188,0.162941526603195,0.284945388118655,0.0957837741698648
"[80,Inf)",0.029315468922808,0.0374773730623238,0.0386538776449488,0.0370851570232916,0.0375482198714818,0.0379498284324983,0.0346074406105203,0.0308761567377129,0.0369152516103774,0.0654305523546547,0.113967141146782,0.135729763103325,0.107319933772562,0.0704839357922157,0.0655528351715025,0.130196474565491,0.183021443566951
