"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00351469098765596,0.0056285452176723,0.00420989779975884,0.00438257499252471,0.00879480333683695,0.0191721772459697,0.0316450338897863,0.0383806257167082,0.0396024333581144,0.0373339776763229,0.0288544342593339,0.0160167841665449,0.00660483041399773,0.00254135828799772,0.00112835181324895,0.000610282366942142,0.000451778931134046
"[5,10)",0.00577382295456723,0.0132488247499916,0.0101388567581597,0.00827809483827597,0.0173537618010012,0.0328528484992736,0.0444381100660736,0.0472354321081198,0.0471724059726868,0.0463122289478894,0.0397061099872371,0.0261016691710829,0.01321159147647,0.00606641006417147,0.00300717777750965,0.0017717588129829,0.00135343063940293
"[10,15)",0.00447559905383698,0.010507546108487,0.0315659178239713,0.0270224433054445,0.0367680806089575,0.0504908452277596,0.0558087073798795,0.0540392217939092,0.0531678714093656,0.0534404512935775,0.0477339161852782,0.0338466891971908,0.0197019514653018,0.0108722376354378,0.00625374660226979,0.00396377577991633,0.00304194345074426
"[15,20)",0.00492222362656334,0.00906348204324371,0.0285480848147721,0.123241734865005,0.155965535942633,0.15453184884649,0.14787106718313,0.135909140983802,0.131913677147706,0.132374204166579,0.117538530466421,0.0823066830830789,0.0486509242128689,0.0288940633795214,0.0189159337341427,0.0132046516966081,0.0100239548970023
"[20,25)",0.0103218055691299,0.0198543589896143,0.0405901709367345,0.162976954880221,0.460877855471935,0.462426132605243,0.404093389815233,0.357451972731744,0.335714696495405,0.326448466951554,0.281602783413521,0.191226572168317,0.110332113207353,0.06589373906014,0.0464887586416911,0.0363734981961641,0.0298229336612117
"[25,30)",0.0225174087568174,0.0376142757290264,0.0557801909664816,0.161596887797575,0.462764252861589,0.745811835971778,0.684760647415703,0.58447250649715,0.525908090209201,0.490037862826665,0.409330313771221,0.272040700097255,0.154378907547311,0.0909680087434886,0.065393486130391,0.0553940466255205,0.0544164100983968
"[30,35)",0.0351565473805483,0.0481270153821123,0.0583207359722995,0.14626885959875,0.382518864027392,0.647727700374387,0.778212842338011,0.68369332543175,0.587530589336482,0.525501849860341,0.42725609314332,0.280384768256235,0.158141796083793,0.0920494592399905,0.0653274884911491,0.0567407575628462,0.0705280341123447
"[35,40)",0.0387961444427296,0.0465454363572841,0.0513814058287528,0.122318796661269,0.307868087305876,0.503029699912517,0.622067059109134,0.694100481890889,0.613146096351729,0.533177556835454,0.426152157520331,0.276606695387041,0.154334070910406,0.0883447646745049,0.061404885262452,0.0532086247088045,0.0849076014877023
"[40,45)",0.036807616123072,0.0427401993216582,0.0464820712680559,0.109162547288783,0.265862222655453,0.416177593484425,0.49152504226068,0.563771697817127,0.615974541419579,0.554524718501209,0.438262559263731,0.279416710236931,0.151757109793688,0.0844091877463771,0.0577480188088049,0.0506734022569974,0.104541920371964
"[45,50)",0.0331503126219525,0.0400877558804135,0.0446348275814028,0.104653737427805,0.246983793495995,0.370481072986342,0.420007418613156,0.468358825549089,0.529771335199424,0.572571404020435,0.468349396400975,0.289683109039433,0.151147533520316,0.0813856205090044,0.0556159048529575,0.05090290689157,0.126630561892492
"[50,55)",0.0239394685914706,0.0321138208251686,0.0372519822940734,0.0868260840386529,0.199071616798624,0.28915378010747,0.319072631704951,0.349776088455126,0.391219499811024,0.437611314315105,0.44024853703833,0.27957702859972,0.140504382365685,0.0743473319196878,0.0516181050518833,0.0492687944501926,0.118030009413021
"[55,60)",0.0114171184621255,0.0181376977902305,0.0226943504472647,0.0522377304074529,0.116144829979971,0.165107990435349,0.179901567932752,0.195059611668248,0.214297813524063,0.232552488928467,0.240204271823806,0.191133604473002,0.100613480939979,0.0536115014477343,0.0376594078393162,0.0352805925275344,0.0612303582634818
"[60,65)",0.00376902952940913,0.00734946458845838,0.0105754168127372,0.0247187769915228,0.0536463605072585,0.0750082194096862,0.0812295193169308,0.0871270809399691,0.0931753637090111,0.0971371973040876,0.0966397498388367,0.0805457926202965,0.0572408204666236,0.0338513262856503,0.0227034319096111,0.0183799022605911,0.0183783830606427
"[65,70)",0.00112635334968702,0.00262103739749741,0.00453260708518,0.0114021144023105,0.024884181923177,0.0343281555572344,0.0367222553682612,0.0387358471925981,0.0402515547086208,0.0406231009104611,0.0397166128209714,0.0333338551451823,0.0262915734324703,0.0262230921303116,0.0178895624858918,0.0106515742052704,0.00556496810940863
"[70,75)",0.000371498718197922,0.000965171720196866,0.00193674947987081,0.00554508985451438,0.0130416096340737,0.0183315970548956,0.0193601223667993,0.0200004236875986,0.0204566285175378,0.0206218883427568,0.0204839121016725,0.0173942253149206,0.0130989483831171,0.0132893503329047,0.0127451316285221,0.00548899333767665,0.00163877538461474
"[75,80)",0.00014124710834382,0.000399747762842425,0.000862935236139725,0.00272109503164557,0.00717305685460719,0.010916033495311,0.0118207006932487,0.0121830004584656,0.0126186527344571,0.0132680763770771,0.0137441769314926,0.0114552198871903,0.00745459531926634,0.00556229199230838,0.00385859021631707,0.00067060040031567,9.85840087057671e-05
"[80,Inf)",0.000123247720591497,0.0003599329641453,0.000780592615129823,0.00243478177240734,0.00693224244790425,0.0126396728607332,0.0173186505119614,0.0229151644551994,0.0306851023953659,0.0389052393443369,0.038809980279554,0.0234335744509776,0.00878602334188938,0.0034253649128217,0.00135787429121751,0.000116201210588311,1.4604205776412e-07
