"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.878464048512264,0.349232512632099,0.056212546898994,0.0281527691759916,0.0365897630963079,0.0602732305619445,0.0775151996423131,0.0781933180601905,0.0754132643856166,0.0703246559147803,0.0557221810708088,0.0341305610533838,0.0151373172993085,0.00456238754712587,0.00104483735854471,0.000319571840873744,0.00199319069437693
"[5,10)",0.348919730271989,4.68342545063987,0.40318189069239,0.0369539859286492,0.0429508686387495,0.0900331949674389,0.146673086218736,0.148993385840451,0.137191003605703,0.149707869441739,0.146746196100681,0.0910413721833416,0.0376155972991991,0.0149375689466372,0.00661178525045478,0.00325082417910863,0.00398518946009178
"[10,15)",0.0583192221957927,0.416600153416372,7.15740542220956,0.483266136755392,0.070406168922069,0.0756091058594892,0.1308684855026,0.169459672926892,0.162329605972711,0.169676741496513,0.182265366640857,0.120023595148149,0.039552860705133,0.0112707452379257,0.00551668382108571,0.00425754154518832,0.00257897315112329
"[15,20)",0.0314410251443955,0.0413279535952737,0.514836001689323,5.87476025647276,0.36739094814422,0.083861763777129,0.0760952601435718,0.109712432913909,0.134513378779338,0.137735573194846,0.126704418637041,0.0798972237804388,0.0247138679266007,0.00505890196831902,0.00163881236310568,0.00141975253570564,0.00126963671128734
"[20,25)",0.0437463371741971,0.0514234350099469,0.0811361416429435,0.391479965650058,1.87910043402285,0.239428371675164,0.072435882549883,0.05740437352383,0.0789619676001228,0.0993593333755158,0.0847769521677317,0.0444539557451159,0.0133082745714169,0.00277082992407609,0.000679239212122653,0.000432028890016695,0.000564823914608929
"[25,30)",0.0736724660349877,0.110202242823277,0.089079214648609,0.0917844587904001,0.244685832647446,0.540494727581845,0.152000431210178,0.0458217283014707,0.0364846284742225,0.054094136608785,0.0616920728641645,0.0351410665274945,0.0103635957821427,0.00248818102232349,0.000691065951953431,0.000327688201504052,0.000261311031735554
"[30,35)",0.0921951130416823,0.174694203619685,0.150029840477615,0.0810406767376421,0.0720597396654574,0.147933709751603,0.27385671389767,0.0894386276790719,0.0303152385815607,0.0304490628973581,0.0481631303365443,0.0443782422754263,0.0167951532852972,0.00410322871139979,0.00114350970615693,0.000458546648526687,0.000152157166525866
"[35,40)",0.0975560175997413,0.186148029904203,0.203785052007609,0.122564497342166,0.059902825034289,0.0467708377840902,0.0938084020777832,0.157648412758732,0.0647378346466008,0.0345217249565444,0.0429965442110897,0.056075641494677,0.0325011444778264,0.0086464927977643,0.00190251737192232,0.00061484598924364,0.000148443465181729
"[40,45)",0.110701248281905,0.201668210507621,0.229680461417292,0.176805056375116,0.096948398894192,0.0438161251469538,0.0374149127652716,0.0761496227871412,0.116580784228559,0.0754396828029493,0.0525245111077649,0.04848707665389,0.0331964837770649,0.0117428221409614,0.00270981040960916,0.00081697459346026,0.000248173697579436
"[45,50)",0.114678989365764,0.244471312741706,0.266698207103852,0.201116074408126,0.135519818637085,0.0721681706852109,0.0417473719321439,0.045121580982804,0.0838008159008689,0.123511821381017,0.0870374128465257,0.0400081539526845,0.0180401893822196,0.00842013285271323,0.00350028030993864,0.00164507385574446,0.000707757436258045
"[50,55)",0.0852547338564543,0.224835188097009,0.268791845476052,0.173582755425463,0.108489097542468,0.0772216400650169,0.0619560997699545,0.0527277847805633,0.0547454004392963,0.0816634738554907,0.101380417063396,0.0496189732233721,0.0133997850010513,0.00563025694101014,0.00426536661240647,0.00382922096226077,0.00205104815905862
"[55,60)",0.0423589157532271,0.113148092335565,0.143578555172745,0.0887886633956814,0.0461455388946612,0.0356808842199168,0.046307408063459,0.0557816346891645,0.0409942202993134,0.0304490452292942,0.0402509287380106,0.0497327204724744,0.0218651245597887,0.00665603719370317,0.00389877167484621,0.00418434855595691,0.00319917762308615
"[60,65)",0.015141841587399,0.0376794695349587,0.0381354805574888,0.0221357849505167,0.0111344671430491,0.00848124310474966,0.0141251388146044,0.0260581762480901,0.0226212756137204,0.0110661011402087,0.00876066791796165,0.0176235321314978,0.0309439145698815,0.0135520241466576,0.00333249949925377,0.00197217824098025,0.00289762952456196
"[65,70)",0.00372869221828411,0.0122250690213876,0.0088784782703972,0.00370207359960731,0.00189405302913345,0.00166366392324893,0.00281948025075384,0.00566395672199551,0.00653780658872398,0.00421994767493298,0.00300747608133169,0.00438307291715619,0.0110724996919063,0.0169018328652659,0.00473313431137943,0.00132753839635776,0.00200851847781667
"[70,75)",0.000693506262312828,0.00439468212811389,0.00352940363075565,0.000973991905791115,0.000377087681839649,0.000375267067303856,0.000638146686466613,0.00101215238906211,0.00122528135104883,0.00142471592402326,0.00185040870929046,0.00208510576514785,0.00221127116858508,0.00384404919680396,0.0046845719774288,0.00177738004534762,0.00070040866627397
"[75,80)",0.000163238495336566,0.00166285581550808,0.002096208669699,0.000649368403561725,0.000184580054359205,0.000136941205234537,0.000196932126689068,0.000251730594811862,0.00028428755720758,0.000515303672870375,0.0012784216314598,0.0017221878660782,0.00100709504133844,0.000829730025873245,0.00136783598191968,0.000516548075155392,5.13811992396844e-05
"[80,Inf)",0.00138004694877884,0.00276312808473468,0.00172112879652642,0.000787134419444703,0.000327096568765182,0.00014802055131385,8.85760667317211e-05,8.23799782692005e-05,0.000117056621133746,0.000300506043363188,0.000928176294353637,0.00178476876211516,0.00200566356215435,0.00170159608860162,0.000730625501902775,6.96458515309195e-05,4.47275542900945e-08
