"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.814773892382356,0.426160177463959,0.154951497672407,0.0923178346674914,0.110574079323933,0.232962195355968,0.415716660836032,0.397936193046152,0.256563132055569,0.188579719254267,0.174302275651864,0.160067877071955,0.139218237039872,0.122888698285008,0.099149753612019,0.0627993415410398,0.0325153010475044
"[5,10)",0.429355866701327,1.88987028737578,0.73496213355429,0.19258069128564,0.120047727295367,0.151235812765625,0.260373080545604,0.324901934295993,0.243804379059045,0.157914334594462,0.134569688296542,0.143866814359209,0.153779625503788,0.157283586305208,0.143564975722646,0.104409538302609,0.0596649219054587
"[10,15)",0.159412180560151,0.750492145673962,3.00256501209603,0.882625000874857,0.249319086336784,0.169909952907439,0.192774162629201,0.249279231260333,0.250617446548214,0.177971304415945,0.113593392003531,0.0901677830880908,0.0911744424086721,0.0957570137587904,0.0880636385134971,0.0659556243284388,0.0437443091924891
"[15,20)",0.0941876977320719,0.195018933194818,0.875304321532512,2.85445441507043,0.913288560277617,0.350488413490216,0.264840706920899,0.259190467637638,0.285451739317727,0.275027510019979,0.191510314299083,0.111357982540102,0.0809889553670951,0.0805462385506646,0.0801648757172882,0.0652388701411186,0.0512312013924024
"[20,25)",0.106076072173208,0.114307178208125,0.232484445053392,0.858743660526343,1.86261877358909,0.707566009786306,0.383995714616545,0.295703974747254,0.273826150574897,0.305922737795012,0.300111677322644,0.201715652417954,0.116455459809492,0.0897760352833012,0.0900574590183034,0.0807861846584079,0.0661852981711455
"[25,30)",0.210926945716863,0.135911661441241,0.149533916771074,0.311036751411028,0.667804709626241,1.00665533790931,0.507002895137333,0.324627464231947,0.257977818424145,0.258390980620265,0.307403236108198,0.299045113365615,0.202651248264977,0.122954430840426,0.0930602401519515,0.0786118978859608,0.0628847090617783
"[30,35)",0.374351238808758,0.232719828903689,0.16873491051808,0.233753440051012,0.360449248104921,0.504249724950861,0.692564103272268,0.415464817347273,0.290164125934726,0.253770728669015,0.268789322091299,0.309265486138096,0.295279369594612,0.202597253544384,0.116289417134718,0.071106502975611,0.0519499289858301
"[35,40)",0.379023885869509,0.307157340809412,0.230788152985457,0.241971152104782,0.293593342293712,0.341500846585043,0.439446031712471,0.630771870430692,0.403613382442995,0.302874916676229,0.271400766503346,0.270400595406411,0.300996853276592,0.29140748932002,0.191684311328634,0.0903430333374878,0.0462200789567969
"[40,45)",0.274218164127393,0.258641931746998,0.2603679638765,0.299037802023743,0.305079336549239,0.304535357185124,0.344400555931849,0.452912585282281,0.610786134456402,0.395798699224923,0.300768945421955,0.257576137870793,0.255846558743388,0.296944694872471,0.277284603760551,0.149326384141649,0.0511262421996495
"[45,50)",0.225332326988395,0.187286095051114,0.206705853974003,0.322103973099653,0.381044919823016,0.341003827182751,0.336734953554523,0.379960705584416,0.442487400649841,0.568568289521836,0.385058389742676,0.292360215634702,0.257566938713713,0.265709203879622,0.287732945381112,0.215871611512997,0.0807478469239592
"[50,55)",0.219782895293311,0.168419953324,0.139225304692887,0.236687013686185,0.394466047917433,0.428107320746586,0.376375201128665,0.359293006519234,0.354831245659263,0.406339373421084,0.619213981007387,0.445873828221159,0.342816434771379,0.303228827639819,0.288289892308734,0.26078715077315,0.16064879837099
"[55,60)",0.192625382983812,0.171840457567824,0.105471469747445,0.131347591161178,0.253037466843198,0.39746548961505,0.413293848648422,0.341636162341707,0.290010009102751,0.294441544298222,0.425530288754897,0.712856641153483,0.500965249121118,0.390857816241889,0.343628041226458,0.297707469501566,0.255143351499232
"[60,65)",0.146982582483147,0.16114766086717,0.093565800083027,0.0838082879969778,0.128163836757474,0.236304729190049,0.346195169954262,0.33364034390191,0.252724504337295,0.227578559022394,0.287038759707768,0.439509244687256,0.646711827009217,0.478099701711425,0.401282015598815,0.311342529206689,0.231949399591104
"[65,70)",0.106856849881843,0.135746702764715,0.0809347990709746,0.0686478777048131,0.0813742028281695,0.118083167227651,0.195633007951213,0.266034520053909,0.241581694777973,0.193360831314968,0.209107724942961,0.282422890988502,0.393766850625613,0.611024454357016,0.463169449730292,0.278391901370364,0.163488796622558
"[70,75)",0.0661564317996172,0.0950789547901531,0.0571151517250024,0.0524271181194022,0.0626377320728501,0.0685800802669536,0.0861665655755234,0.134280782618957,0.173102850551941,0.160672484183655,0.152552390248689,0.190528391150491,0.253606503413,0.355410223762941,0.55056421222918,0.271706593012094,0.149888200424043
"[75,80)",0.0300866030833392,0.0496493657592619,0.0307145514971677,0.0306348618065987,0.0403451250848788,0.041596782002889,0.037830801508951,0.0454422258462486,0.066934904070647,0.0865535894887933,0.0990862569563909,0.118521862531183,0.141281979715093,0.153385476734895,0.195091258129362,0.232055793076226,0.111186868984449
"[80,Inf)",0.0185114621150342,0.0337153352845775,0.0242074354014281,0.0285876799704139,0.039278091255512,0.0395413402411855,0.0328440010274389,0.0276267938669148,0.0272329598678443,0.0384729402003675,0.0725336599004227,0.12070572505145,0.125076710861085,0.107041088600451,0.127890991643861,0.132126027408514,0.0276556864902444
