"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00300326766886303,0.00483157662721902,0.00361829732777952,0.00374671155960171,0.00750035491245067,0.0164536889685266,0.027255958416793,0.0330143733117216,0.0340239768471172,0.0320309715952559,0.024690403257045,0.0136677213326564,0.00563547206824839,0.00217444963519022,0.000966664322852956,0.00052325392818026,0.000387108744038096
"[5,10)",0.00486780764607912,0.0111754396053226,0.0085732696132405,0.00692871059686038,0.0145629347901332,0.0277456102988488,0.0376002114627387,0.0399196138298144,0.0398744446655536,0.0391120078033848,0.033468726114389,0.0219528709867547,0.0111089714705474,0.00511144420831675,0.0025364551592065,0.00149562657104395,0.00114103675655266
"[10,15)",0.00372245945086476,0.00875442585914797,0.0262649454266162,0.0223271595136245,0.0304477214520761,0.0419696552192789,0.0464184237054541,0.0449179406140077,0.0442399080417011,0.0444332633067923,0.039618603346238,0.0280420220958889,0.0163221940115019,0.00901949558802171,0.0051901907072023,0.00329134240505435,0.0025204847489838
"[15,20)",0.00382259979489416,0.00701643420217644,0.0221419733074072,0.0941891412804549,0.120334933954748,0.119551393264562,0.114454189817493,0.105190318146442,0.102266491594698,0.102581264677098,0.0909408345181784,0.063595635080103,0.0376148730649491,0.0223784651514754,0.0146498127525291,0.010223418290023,0.00773910343015212
"[20,25)",0.00719525040481696,0.0138665514107846,0.0283918160014602,0.113148095977556,0.321904535427933,0.323067247394998,0.282127396059287,0.249514551546075,0.234726285149957,0.228232914867878,0.196580687311315,0.133302737614177,0.0769672797805244,0.046066862424037,0.0325145495124536,0.0254274932338703,0.0207684552968516
"[25,30)",0.0148973800431592,0.0249342528364079,0.0369365468183563,0.106094454356933,0.304912653169311,0.494530264565013,0.453434110172174,0.386741748526984,0.348421666007787,0.324645024459127,0.270745221230351,0.17966271997447,0.102012907747771,0.0602441814279134,0.0433471625943733,0.0367313064998937,0.0359978721735151
"[30,35)",0.0245438847164002,0.033606833548288,0.0406299706532544,0.101019442627003,0.26482745486084,0.450971833752003,0.542714470895,0.476146956797649,0.409508421373876,0.366259250713738,0.297307210488494,0.194812563524513,0.109933569174825,0.064122962814681,0.0455445251039392,0.0395765085515318,0.049275613196598
"[35,40)",0.0314453328971362,0.037739394985977,0.0415860097843093,0.0982020006528469,0.24773360318184,0.406843687253085,0.503630829711866,0.562257779137207,0.497082119990228,0.432356950643614,0.345055460822744,0.223616197611835,0.1248030268831,0.0715747885757379,0.0497837934366042,0.0431599964848007,0.0693535952733356
"[40,45)",0.0363652890911412,0.0423011409206064,0.0459611050130356,0.10713386066679,0.261516802518207,0.411301704762329,0.486052255859029,0.557798026169681,0.60931961113896,0.548757542406746,0.43305873143433,0.275599767940981,0.149684025541985,0.0834048528426306,0.0571123925066443,0.0501640894538358,0.104640020953946
"[45,50)",0.0382735396669379,0.046386765520155,0.0516072839204257,0.120140101314519,0.284277636156216,0.428440635004572,0.485998887361289,0.542397679654953,0.613489379833883,0.662614414945779,0.541148286690806,0.334070663756975,0.174334366429621,0.094077589123548,0.0643710576590282,0.0589812986252031,0.148250612231584
"[50,55)",0.0311328598177984,0.0418876001078171,0.0485583890497362,0.112393500177866,0.258385170188565,0.377055273500995,0.416307687649143,0.456800529829583,0.510899717066491,0.571055875159041,0.573533174143016,0.363585484563422,0.182809920842695,0.0969884761237348,0.0674342299016112,0.064413363470603,0.155099139431922
"[55,60)",0.0164477102113091,0.0262214146611487,0.0328014417550248,0.0750115374362922,0.167218491201988,0.238792502430622,0.260342125949867,0.282526669272788,0.310303166550984,0.336448931424513,0.346996451553601,0.275446057039852,0.145171084365117,0.0775751394674517,0.0545555620875512,0.0511033765245435,0.0885361320295473
"[60,65)",0.00594976818924639,0.0116412350547358,0.0167502986741744,0.0389242965353498,0.0847055337516597,0.118953782646858,0.128889704405722,0.138338073491465,0.147857455453412,0.154036710217043,0.153065978228134,0.127362194786322,0.0906168315298958,0.0537575299974421,0.0360701750612751,0.0291736598268078,0.0289929742495185
"[65,70)",0.00189077467241343,0.00441153278574385,0.00762336913489082,0.0190726986955895,0.0417556221403803,0.0578574005135103,0.0619187470447696,0.0653427424639573,0.0678546747941856,0.0684617641219479,0.0668836130976605,0.0560536191085793,0.0442751443030212,0.0442349098368078,0.0301869002412531,0.0179627121581738,0.00932403278986615
"[70,75)",0.000644994667341186,0.00167982130875256,0.00336618534877051,0.00958084768087943,0.0226148690295221,0.0319443823185155,0.0337469686035862,0.0348750854885906,0.0356540457373492,0.0359453371942033,0.0356837101491358,0.0302489384619276,0.0227960153188879,0.0231637319251103,0.0221635053170932,0.00954353870197488,0.00283258529799393
"[75,80)",0.000250686278910575,0.000711208112517591,0.00153272911634413,0.00480071168964817,0.0126986489020761,0.0194360420018589,0.0210558947040868,0.0217093253937907,0.0224858355386062,0.0236485153047297,0.0244739016678988,0.0203450298961658,0.013238513949149,0.00989690847424374,0.00685246887730715,0.00118956481400232,0.000173889775662664
"[80,Inf)",0.000220386975325566,0.000644774778724386,0.00139479792612169,0.00431852086435615,0.0123251734890785,0.0226351386976014,0.0311532339322001,0.0414542234412198,0.0557376675579088,0.0706351581661954,0.0700279637599504,0.0418855437426893,0.0156342110115511,0.00610472791158743,0.00241688232730396,0.000206637397699174,2.59367531503707e-07
