"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.694591868878704,0.36583269939425,0.132921135862771,0.0789051810900459,0.0959195681979196,0.202648370168777,0.357854919275019,0.341787259039519,0.221721971680665,0.16222695551083,0.149464879434401,0.13683705523339,0.118791028756206,0.104814092395978,0.0845375069138151,0.0533876262676074,0.0277777936188931
"[5,10)",0.346021309018834,1.51153301033459,0.589804713825217,0.152962556065332,0.0962464253875184,0.122945882230414,0.211272214597685,0.262319743970872,0.197943937834931,0.12799818507325,0.108700690209152,0.116394622549882,0.124310905480365,0.127041855405631,0.115961381745679,0.0842196779367089,0.0498054885775804
"[10,15)",0.117025822127648,0.549004081313909,2.2006492910312,0.632744373194488,0.17951314143018,0.124268932099291,0.141851782369118,0.183082323638647,0.184493386212911,0.131418118225202,0.0834383657255987,0.0662498066941222,0.0671702023223858,0.0704779394845564,0.0648019771228127,0.0484697639782017,0.0334404435023696
"[15,20)",0.069729424132399,0.142914194794704,0.635113278113362,2.11584974539622,0.668935201383023,0.260483284189395,0.197534610407704,0.192898792892831,0.211998734875536,0.205731297416875,0.143489034647941,0.082809206012971,0.060214562742014,0.0599059300894016,0.0596554629024121,0.0485605080201892,0.0395414099954766
"[20,25)",0.0971582919846799,0.103071107353528,0.206529097120978,0.766736519616157,1.66157906233216,0.640658948474274,0.349143653339524,0.268930806546447,0.247600890578807,0.276233692660126,0.273604256440907,0.184035467653645,0.106124813104497,0.0817114647954624,0.0817861558640667,0.0734153057050589,0.0622792398792157
"[25,30)",0.243263746750942,0.156037125365924,0.169437363690992,0.353837271492734,0.75925649621283,1.13418235448739,0.577055690173405,0.37031982502834,0.294285642974049,0.292642974420548,0.348809026825337,0.340614446537637,0.231017192328439,0.140525703901566,0.105979842100135,0.0892014994254635,0.0740286588703103
"[30,35)",0.494935444739269,0.308932519828658,0.222837719526161,0.30915352855937,0.476730634897903,0.664852057047279,0.910769502870392,0.550161533527117,0.384221296267007,0.334834513287198,0.353616258663277,0.407405543277563,0.388590688875333,0.267205484341429,0.153688438501955,0.0935823612034707,0.0709335740749563
"[35,40)",0.519020657066377,0.421152546018458,0.315782117528829,0.331472669707565,0.403177856701318,0.468458863201792,0.604056317208385,0.863506603772897,0.555484963003082,0.41509651524147,0.371257117310089,0.370347670267031,0.412496907462198,0.397984485421499,0.261782112244725,0.123154659523023,0.0656414206964351
"[40,45)",0.32930759364689,0.310824251199002,0.311233372349936,0.356299920173256,0.36305511475022,0.364105980488494,0.412603474798119,0.543296048940621,0.730788531862967,0.473070529277103,0.358783666528474,0.307182645697475,0.306718885901666,0.355732659655902,0.33019180624968,0.176501874404696,0.0632592340073783
"[45,50)",0.215706782672378,0.179938572955285,0.19847616992981,0.309549844781473,0.362614174024876,0.324148942716023,0.321906269325433,0.363463744874007,0.423519746141226,0.543728608596991,0.365968625296168,0.277944267135223,0.245388872178796,0.254313396630333,0.275340380368948,0.205184587787321,0.0798402085455945
"[50,55)",0.183606468686479,0.141175976470675,0.116419828159007,0.19946053420974,0.331817292037658,0.356945787494735,0.314079420839555,0.300327316838242,0.29674845875988,0.338105233386182,0.516749206740277,0.370395593885235,0.285583260473849,0.253067054561297,0.240849359462182,0.217713738787102,0.140335107950301
"[55,60)",0.167484819442351,0.150620582583035,0.0921019209644712,0.114693760632333,0.222382497132015,0.347296588676538,0.360543025271649,0.298505661918328,0.253148520177016,0.255851912277784,0.369052982965741,0.622514579827683,0.437091227818652,0.341775692854279,0.300708809049706,0.260185657497294,0.233260584569103
"[60,65)",0.147665469329323,0.163374478146307,0.0948384191345691,0.0847005608340615,0.130238560874652,0.239224321628067,0.349257814095687,0.337665919541807,0.256710014476565,0.229408437998365,0.288987616111166,0.443910755082495,0.65288525607572,0.484567184979801,0.406518115946046,0.314628699241484,0.241508934435859
"[65,70)",0.120034498530396,0.153820036162587,0.0916752168339892,0.077632873616389,0.0923839961112988,0.134062680168365,0.221253529227642,0.300139927222881,0.274294519489025,0.219035677019912,0.235924581336997,0.319783349317223,0.446421495514886,0.691640869859456,0.524732847648749,0.314166824947127,0.186475785191267
"[70,75)",0.0764570377941486,0.110882010125866,0.0665684786189028,0.0610530963453549,0.0730256063053389,0.0798467095739064,0.100500370985875,0.155911886245721,0.201067237227388,0.18728248217784,0.177322851264021,0.222199180432229,0.295768984012635,0.414400126183434,0.640251036182208,0.315137328010173,0.173146080854788
"[75,80)",0.0348171551413513,0.0580692108707641,0.0359034282293607,0.035836479169912,0.0472679346289274,0.048460796677037,0.0441270713247218,0.0528901434734048,0.0775012985830009,0.100636754820093,0.115581861665469,0.138632257044873,0.165065267198173,0.178906693645524,0.227239846614147,0.270050814496859,0.131991950694943
"[80,Inf)",0.0217565798171082,0.0412429535500618,0.029749334101072,0.0350456784079706,0.0481574546547816,0.0483012625320417,0.0401701224016923,0.0338565012313629,0.0333598272312753,0.0470298676720647,0.0894767886511177,0.149266554162614,0.152170606850217,0.127534862283567,0.149946906770174,0.158521310373147,0.0354354088081561
