"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.40727019975641,0.737659242595807,0.268171778280856,0.159701733311241,0.191735100859629,0.401705701965633,0.717159617435516,0.694303769969098,0.449362544090956,0.327814733328386,0.302098195651556,0.277503899928342,0.24102968130813,0.212520440374044,0.171721577858659,0.109407833857878,0.0569242461389318
"[5,10)",0.725017351955194,3.18587074864614,1.23987622612418,0.324231202597946,0.202627998478639,0.25486392918216,0.437250161767972,0.550079289369293,0.416765376679171,0.268927177134592,0.227598000674074,0.243071215991568,0.260019508906704,0.266035272582336,0.243234553383545,0.177720507174763,0.109262162622645
"[10,15)",0.262054421092641,1.23271914096907,4.93763311644986,1.44434462085342,0.409005098934891,0.279447139580741,0.315861771271026,0.408608191693442,0.414173603229694,0.295707869389291,0.188169882656058,0.148574795706796,0.150015846423783,0.15764401481402,0.145208065779953,0.109190225423895,0.077014169442493
"[15,20)",0.154733289653517,0.319621749080968,1.43207755544341,4.69275336949028,1.50209403010144,0.579065703274928,0.436830725951108,0.425889633624456,0.468561629454011,0.454621114794678,0.318483060624666,0.184665919800057,0.133416103328788,0.132460596575093,0.132018932991826,0.107812727010069,0.0878010129001972
"[20,25)",0.179978020230281,0.19351947900975,0.392887441584721,1.45526081333181,3.15274404207454,1.2077639928887,0.65450588262636,0.503342094583622,0.463474416046706,0.517000274787884,0.510828954529442,0.345033092810051,0.198389372989097,0.152261771861703,0.152677137259982,0.137379167361265,0.116811126428913
"[25,30)",0.348004319039484,0.224642746128204,0.247741000415079,0.517762213205569,1.11465603434489,1.67606491051503,0.846134973827306,0.540946219879207,0.428828097811522,0.427224509469825,0.508381617649841,0.496464679770641,0.336213921941665,0.20354994943541,0.154340139290472,0.130730094024507,0.109723051693351
"[30,35)",0.537001039241197,0.333116899568333,0.242034874027262,0.337596821123367,0.522101582551479,0.731345019300751,1.00202535066938,0.601256903989275,0.418951314007423,0.365316549321006,0.386665484598827,0.445647121006334,0.424962288180447,0.290411957865578,0.16726698805982,0.102996121267233,0.0790642080865465
"[35,40)",0.439018934896322,0.353888467345174,0.264400564608453,0.277943593751407,0.339062013255637,0.394830942927711,0.507731964289895,0.727792069428667,0.465598652228008,0.348602918532759,0.312484630534047,0.311979429250022,0.347462750313174,0.334680873674218,0.219564534861705,0.104286080903751,0.0567717514445792
"[40,45)",0.23676503901686,0.223418804986842,0.223318499879475,0.254808139591056,0.260152873171551,0.260811838585399,0.294798291550824,0.387970487793845,0.524370638367967,0.338990812332619,0.257698106296967,0.22077679478447,0.219646921379083,0.254965464161837,0.237064783003426,0.128008081547169,0.0484163470963928
"[45,50)",0.143618622534525,0.119873826639329,0.132576561618412,0.205569065646887,0.241298831229998,0.216053750941852,0.213743214194219,0.241534725829627,0.281870425676347,0.3621519397329,0.244426305358945,0.185536477100999,0.163388402898817,0.169081429429002,0.18341840179532,0.137781724529816,0.0580943718620921
"[50,55)",0.108078012262685,0.0828447606628205,0.068890749900506,0.117598403655515,0.194691449752184,0.209943492876169,0.184741865539329,0.176800769349809,0.174976505839811,0.199597396488022,0.303194688411694,0.217910244840233,0.16759859412326,0.148368261321866,0.141483173237219,0.128170937531255,0.0873392583021602
"[55,60)",0.0771053685918431,0.0687157748274679,0.0422456745762029,0.0529575824665386,0.102131199789065,0.159230861847895,0.165366423083674,0.13709062536518,0.116425535987253,0.117669130526984,0.169240366845255,0.284625192800922,0.199585796125633,0.155712410330443,0.136965296282466,0.118887713141099,0.108888535316379
"[60,65)",0.0506182480444967,0.055558422287892,0.0322400198612245,0.0289181633216457,0.0443850939989072,0.0815033834940129,0.11918666713818,0.115401408021663,0.0875469456302159,0.0783205128017668,0.0983824734643227,0.150851866169529,0.222917076200722,0.164318996514913,0.138121602695335,0.107680702508672,0.083368753291915
"[65,70)",0.033823403452684,0.0430787614315478,0.0256753082573124,0.0217585112250117,0.0258160405284742,0.0373947780615365,0.0617265201568001,0.0842391089703731,0.0770153426570926,0.0614228864145174,0.0660037162933087,0.0891916707992007,0.124528222697649,0.193404079398642,0.147006111202216,0.0890023484158217,0.0522321365369987
"[70,75)",0.0194352892201089,0.0280090768416078,0.0168181591872553,0.0154215571204856,0.0184086653052458,0.0201636145920189,0.0252823287911187,0.0393001855845151,0.0509228234294154,0.0473834582278296,0.044759137787664,0.0557906154229694,0.0744373945223919,0.104540585443508,0.162152401860645,0.0806569129870202,0.0424287171655368
"[75,80)",0.00768235002895173,0.0126966925374612,0.00784604897632275,0.00781342726122746,0.0102765823599439,0.0105960648404871,0.00965844568622371,0.0115807927575693,0.0170593451257223,0.0220828437299999,0.0251562565458605,0.0300446478392291,0.0360036862487413,0.0392672546243258,0.0500404411681834,0.0600106965353945,0.0290903783716678
"[80,Inf)",0.00296389815794535,0.00578819520073072,0.00410353560446923,0.00471836339546735,0.00647936367677571,0.00659458133941481,0.00549777060666241,0.00467481633934474,0.00478450820891904,0.00690426990824052,0.0127111917794639,0.0204048129673951,0.0206696304932004,0.0170878404762519,0.0195190983583863,0.021570970639908,0.00643076368371873
