"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00516434128292221,0.0083495691561278,0.00625859562956518,0.00648440874880108,0.0129804192265647,0.0283121344950971,0.0468828434317336,0.0569957823449246,0.0588550423063222,0.0555572955365785,0.043026509193662,0.0238866917230031,0.00982085386773837,0.00377241547940213,0.0016787587718952,0.000910385516573538,0.000660730525863394
"[5,10)",0.00820647552417308,0.0188042905808271,0.0144544823049269,0.0117035645436815,0.0246078669848255,0.0467182686822874,0.0633743110281853,0.0674627234024516,0.0673718354147462,0.0661960498987364,0.0568527064858745,0.0373949311717559,0.0188871961000665,0.00866019409346111,0.00430144893669011,0.00253968454227858,0.00192527676530423
"[10,15)",0.00611582868664493,0.0143710449758213,0.0431795735289397,0.0367076199071263,0.050064169889163,0.0689044147423293,0.0762964489386304,0.0739224378429148,0.0726937043706789,0.0731043109549983,0.0654116179214949,0.0464132249242786,0.0269712444343391,0.0148652101821904,0.00856284748335758,0.005438254751998,0.00420544116721326
"[15,20)",0.00628267380921041,0.0115371800738501,0.0363958558253793,0.15574383979632,0.198549289921325,0.197158616575867,0.188875504001712,0.173637892632911,0.168460631166069,0.169170461666968,0.15052467452899,0.105507723231628,0.0622824031977359,0.0369599619730244,0.0242189666617972,0.0169344965159753,0.0130930975267283
"[20,25)",0.0121844677562014,0.0235016958870403,0.0480912919521995,0.192358797350287,0.546497728612223,0.548943442184909,0.47975998217416,0.424379390384015,0.398480010949866,0.387775791190533,0.33519861883443,0.22780837357396,0.131245659737515,0.0783224537047984,0.0552915781801496,0.0432896144213333,0.0361246075220338
"[25,30)",0.024527272172909,0.041178523005675,0.0610865033969974,0.176286181505042,0.506624741214529,0.81878948023847,0.751775753881118,0.641683503823276,0.577433677184752,0.538484049558803,0.450652590532636,0.299690009466634,0.169795941133799,0.0999730722934669,0.07191113361213,0.0608916294118206,0.0595664262404007
"[30,35)",0.0351053447982059,0.0482814092432307,0.0584635530070011,0.145969058381183,0.382706179710523,0.649786937354792,0.781571310560749,0.686671562883338,0.590229711592143,0.528280766256691,0.430206264622834,0.282445392159213,0.159040442301957,0.0924988163232087,0.0656937610135408,0.0570033760094192,0.0672267538861165
"[35,40)",0.0360393083560026,0.0434015245605749,0.0478334372639393,0.113319358067233,0.285871044834497,0.468358024448854,0.579860454211081,0.647274746645666,0.571873064562859,0.49753196494608,0.398218224311978,0.258574838962732,0.144041077336343,0.0823912043936586,0.0573112896900227,0.0495917038800346,0.0698969565937824
"[40,45)",0.0310101866994387,0.0361165677390712,0.0391957596624984,0.0916104463606621,0.223670856817245,0.351193263165968,0.415319644031039,0.476526018176621,0.5205115035634,0.468759875194966,0.371015352142832,0.236676102381337,0.128361558467965,0.0713553248893661,0.0488538504514049,0.042774574160359,0.072155775703245
"[45,50)",0.0243401575508627,0.0295067753817909,0.0327753137104975,0.0764949374505785,0.180986064721055,0.272319345334176,0.309092016736065,0.344722434483675,0.389773235008949,0.421241811167156,0.34508953707362,0.213606984496365,0.111296858140278,0.0598879097372364,0.0409405269200858,0.0373471683744192,0.0731140118194675
"[50,55)",0.0153930730311834,0.0206941574526422,0.0239478036931861,0.0555805429672019,0.127753731414698,0.186103461740982,0.20554487291667,0.225308004131747,0.251918692239314,0.281798528411258,0.284029874112833,0.180447383636105,0.0905241148313185,0.0478510591651563,0.0332248093494046,0.0316043206462994,0.061747086283423
"[55,60)",0.00663699562498934,0.0105714765921777,0.0131971104981536,0.0302569849376938,0.0674322057794985,0.0961194228693602,0.104807104132893,0.113623473388347,0.124809956146077,0.135471733283454,0.140144771188851,0.111717839256583,0.0586647763319777,0.0312216493295517,0.0219387782691118,0.0205121724181071,0.0318018366312387
"[60,65)",0.00206246141300096,0.0040356311000427,0.00579641069243187,0.0134998149608532,0.0293632207039555,0.0411611263032587,0.0446051350563686,0.0478397846174563,0.0511623942172623,0.0533503409551669,0.0531387889729171,0.044340284528696,0.0314698399544749,0.018587079384667,0.0124796458625821,0.0101097426457933,0.010048661841023
"[65,70)",0.00060039368696204,0.00140233447873965,0.00242108052238932,0.00607119225082269,0.0132796014023083,0.0183663560758113,0.0196604509408579,0.0207378496683193,0.0215537222455921,0.0217557202456569,0.0212872194183072,0.017883680966083,0.0140861130484242,0.0140384599303903,0.00959929733095226,0.00574189644133114,0.00325478260309494
"[70,75)",0.000190000363783245,0.000495322774342948,0.000991758490120856,0.00282909556462758,0.0066666442349125,0.0093947588080198,0.00992958194999917,0.01025823374583,0.0104940766353643,0.0105763856197373,0.0105108882251707,0.00893640925463038,0.0067256121015466,0.00682635677263549,0.00658041690425047,0.00286442382433629,0.000978298976964667
"[75,80)",6.39250404015049e-05,0.000181439915337092,0.000390775025550583,0.00122728049278195,0.00323825872929611,0.00493544855379368,0.00534548295940072,0.00550707477117178,0.00570046995773844,0.00598578429602846,0.00620301617082318,0.00518372319928603,0.00338025285677671,0.00253328719524191,0.00177712023128767,0.000319417065493891,5.57418634050685e-05
"[80,Inf)",3.44025282956786e-05,0.000101992102897501,0.000224077954577519,0.000703613660740127,0.00200378574346243,0.00358006487131253,0.0046746471057023,0.00575559898084286,0.00713044089191143,0.008689290468175,0.00898655508220959,0.00595940175514942,0.00249136659724058,0.00106480817354982,0.000450061072569796,4.13334637164968e-05,6.79594987910048e-08
