"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00632767900899678,0.0103498061192738,0.00777356235158778,0.00804460899254254,0.0160761998994025,0.0349817110677636,0.057969147172994,0.0707057524090083,0.073111204150215,0.0690209341020335,0.0533583347911949,0.0295074653352571,0.0121378367147467,0.00467223589352817,0.00207591041558179,0.00112529973844841,0.000817372731192432
"[5,10)",0.00963161687637632,0.0220057019926383,0.0169818957697724,0.01374054507973,0.0289335799146003,0.0549370030481828,0.0746480300158441,0.0796467165516449,0.0795432793958538,0.0781670490028853,0.0670638162788689,0.0439851298033014,0.022218172382447,0.0102006799557467,0.00505868714716287,0.00298589872933564,0.00226507005452929
"[10,15)",0.00683462978479094,0.0160440532513034,0.0483591363369796,0.0410069043155657,0.0559713782065056,0.0770551971037361,0.0854269628277987,0.0828476377689344,0.0814070286107677,0.081882899863854,0.0732202383715321,0.0518507748871667,0.0301490881897045,0.016636295523059,0.00957045330069706,0.00607661560555052,0.00470320728351016
"[15,20)",0.0068719766678166,0.012612863995577,0.0398417872939142,0.170998923121402,0.218091198742494,0.216605474375469,0.207646052834802,0.190923753586414,0.18503087801437,0.185853818100505,0.165273257312478,0.115629462332463,0.0683250869068533,0.0406076765147893,0.0265916564878217,0.0185915070099387,0.0143855935557268
"[20,25)",0.013251421446788,0.0256279728740444,0.0524747237604737,0.210445901477387,0.59771232604101,0.600796708005306,0.525403771268034,0.464751059485406,0.435873329651183,0.424190702602299,0.366429082433527,0.248552889961574,0.143355074027306,0.0856846484200833,0.0604573144533818,0.0473277713712419,0.0395126582699658
"[25,30)",0.025647105878425,0.0432808015768452,0.0642546176277366,0.185904545486616,0.534374581516431,0.862967497171972,0.793047828695689,0.677067502577116,0.608591863676293,0.567534630716114,0.474639120749521,0.315039031735082,0.178699352569188,0.105393549724752,0.0757798795787729,0.0641584353932191,0.0627278831292621
"[30,35)",0.0333409749066689,0.0461352363489794,0.055883222436388,0.139806810268353,0.366602566107172,0.622133299684258,0.748288984027857,0.657702105503942,0.564709818468215,0.505386412133922,0.411265646954742,0.269505033417151,0.151934130248153,0.0885237397093267,0.0628582867215853,0.0545551804927663,0.0642290187843577
"[35,40)",0.029378226700533,0.0355608162955333,0.0391521892332867,0.0928654264789467,0.234267557455187,0.383712089579401,0.475136810855351,0.530531288501441,0.46800482361652,0.406986766598323,0.325459038322738,0.210940378301511,0.117666242674699,0.0674375586832674,0.0469004816684662,0.0405965531843245,0.0570868450373427
"[40,45)",0.0222663268667869,0.0260316172840613,0.0281988656204747,0.0659678176247606,0.161044490129049,0.252809546136554,0.299025757085014,0.343039509690331,0.37505113137556,0.337516175021953,0.266868015498045,0.169913193891756,0.0922859711742804,0.0514057798421972,0.0351823312701759,0.0308099137487626,0.0518699536905184
"[45,50)",0.016467741553204,0.0200405640992921,0.022220381761793,0.0519096333360679,0.122782164927731,0.18469207508318,0.209650251500188,0.23370212880168,0.264413215304663,0.285950138424234,0.233991817649512,0.144527628820105,0.0754062591727491,0.0406547131939303,0.0277798612877329,0.0253505363880064,0.0495641835266757
"[50,55)",0.0103765091594682,0.0140142636895381,0.0161951597415329,0.037624856869389,0.086448979816861,0.125896953391539,0.139056103885061,0.152326166748984,0.170404433135933,0.190720100633997,0.192239128383889,0.121847623510197,0.0612075123944707,0.0324176937265184,0.0225011303756265,0.0214156010849615,0.0417966494467918
"[55,60)",0.00467968988893048,0.00749590479716316,0.0093528832133263,0.021467275947208,0.0478216897182797,0.0681478590615015,0.0743140047847547,0.0805144924832338,0.0884805123992831,0.0960689040746151,0.0993695277692936,0.079079565991042,0.0415973356330174,0.0221835238486238,0.0155814133678419,0.0145688174867105,0.022544544536403
"[60,65)",0.0015346674541879,0.0030186609701237,0.00433563053162927,0.0101129171402675,0.0219890766397634,0.0308175887277731,0.0334000373815028,0.0358058549822206,0.0383128126446484,0.0399601563467761,0.0397950189051105,0.0331629638720583,0.023560552569262,0.0139448807559576,0.009355737202248,0.00757581305299882,0.00752382611385677
"[65,70)",0.000452177702118513,0.00106083177154361,0.00183124351198823,0.00460061388319448,0.0100602397673587,0.0139123692826473,0.0148957628723414,0.0157078010259649,0.0163354720778815,0.0164908132177937,0.0161330875185266,0.0135372281100591,0.0106739753045476,0.0106403693114811,0.00726985692981697,0.00434794325603025,0.00246743758023361
"[70,75)",0.000143687935299993,0.000376255219372642,0.000753441081248805,0.00215466795199556,0.00507669975703041,0.00715431883749734,0.00756471990985058,0.00781300621325486,0.00799597940026229,0.00805913738505518,0.00800879221690315,0.00680038306079156,0.00512173044909571,0.0051993993962034,0.00500702779147504,0.00217691966820961,0.000744122156789867
"[75,80)",4.94486982349237e-05,0.000140992085462564,0.000303706090447434,0.000956366827158785,0.00252303706597945,0.00384541391269885,0.00416813002736566,0.00429343583895871,0.00444541677819314,0.00466896467492108,0.00483913688832727,0.00403669353305036,0.00263295175847236,0.00197417719889741,0.00138202962272446,0.000247391028820864,4.31810153803204e-05
"[80,Inf)",2.70838540160217e-05,8.0650111690414e-05,0.000177251341441787,0.000558009212427542,0.00158835472443557,0.0028350037309149,0.00370032801137033,0.00455255846333824,0.00564340912816981,0.00688343262407768,0.00712168535317729,0.00471027882841893,0.00197176919310262,0.000844796514340446,0.000356223740121838,3.25609093036906e-05,5.37100076719142e-08
