"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",4.56311589396545,2.76212529278493,1.06163001828847,0.663004802675958,0.890868040843847,1.72511869743685,2.5788697872609,2.24437637302086,1.44156803140559,1.07297839565399,0.9909612838938,0.935362145871693,0.788203607922027,0.60049282616066,0.440248537553468,0.303433584623769,0.184753714586581
"[5,10)",2.44763614702291,10.3256143298471,3.12871717165457,0.864111100002885,0.61784904745883,0.998670757584739,1.88373026277469,2.33781810690115,1.74905163046198,1.18033694645045,0.971598704427665,0.842362229872386,0.750646885890895,0.666649710698469,0.542075593056066,0.392308800988323,0.260395818858568
"[10,15)",0.837436577816889,2.79556181789464,14.3482421498779,3.04996621642705,0.902952632359647,0.727725350280623,1.08137051692936,1.69686680711215,1.83987021934571,1.36394910192709,0.957971839953452,0.663026340901956,0.475708942278632,0.429809437219933,0.383186814543592,0.293692156721181,0.20218795835788
"[15,20)",0.471039150211736,0.693838393463692,2.75350437591858,12.1795085120949,2.7879259848165,1.11900949398936,0.927592147937572,1.12480498213533,1.5169431807601,1.58332728915326,1.14106897879074,0.650705943077513,0.375440535504564,0.303169212461563,0.293908492669642,0.256530134904756,0.195258851530254
"[20,25)",0.567561384195865,0.444867065163307,0.729265539720765,2.50255086730446,6.3512453471241,2.36945719774746,1.32598232968356,1.0863426154487,1.16663821417803,1.44285549181852,1.41770273716366,0.908238949484107,0.467907080611404,0.299651023980242,0.269758247893111,0.25547150643379,0.224000998142622
"[25,30)",0.972133027228,0.636029797682415,0.519870870262195,0.887564976643635,2.09624245987773,3.42592317212244,1.94805654649565,1.25041343682583,1.04448405501293,1.09997342532585,1.25079047646317,1.10711354480985,0.672645489866699,0.365569655910167,0.257578389323414,0.227573685611159,0.219957992040234
"[30,35)",1.26390492910801,1.04340309752625,0.671863087942765,0.639884700713332,1.02005425079013,1.69434473746824,2.36992955477756,1.53243346217832,1.0416435966284,0.905825759690006,0.910599282885387,0.938972049841046,0.801880106136229,0.500403136774392,0.28166846737308,0.190952550650408,0.182589607228042
"[35,40)",0.935465339730277,1.1012632435864,0.896604740951297,0.65988599857897,0.710721362358547,0.924866244194751,1.30328858196854,1.76353759260886,1.20472521918429,0.869856612174157,0.735483945017173,0.666783598005904,0.661105292088012,0.586255371517039,0.374652185329887,0.200367453084502,0.152493011652733
"[40,45)",0.500333053954105,0.686080530848057,0.809529176526644,0.741059426192871,0.635566196163893,0.643308294354755,0.737663351452355,1.00319927075318,1.3092224458798,0.940593176233435,0.66381716863478,0.49260363398636,0.419203592984981,0.447474877141296,0.416587053740882,0.25292146416292,0.149198787622829
"[45,50)",0.304380043696428,0.378424819407632,0.490506340286695,0.632201561309638,0.642463670150106,0.553733342135972,0.524306052358827,0.592026100528781,0.768788212315249,0.995032056838386,0.708504638129652,0.429831606734082,0.292724841457288,0.269564834734031,0.309532296091394,0.279037092946477,0.180338478329536
"[50,55)",0.224498512767425,0.24876662917936,0.275125463850618,0.363855001724496,0.504129949526357,0.502845573026252,0.420919544393302,0.399758737750001,0.433292537466179,0.56581927113465,0.767381891884107,0.493140780777095,0.275674008667212,0.202393503423617,0.200586521592096,0.229190990003386,0.220538390926696
"[55,60)",0.165164246867433,0.168106130004177,0.148418588711106,0.16172631614443,0.251731123377043,0.346913898614994,0.338301499611435,0.282480938074292,0.250616586475925,0.267552738863776,0.38437247367798,0.547789626085961,0.335910850674956,0.20089017494686,0.163867799034919,0.163986346462154,0.20216740415912
"[60,65)",0.105460988371984,0.113510887521751,0.0806893092699304,0.070705671131142,0.0982683300855477,0.159710304397571,0.218916181660187,0.212222799718069,0.161604839683477,0.138066336310135,0.162814267323354,0.254531966760695,0.379397994344265,0.246322252977063,0.162158340500419,0.124298196233306,0.123774500045785
"[65,70)",0.0590867635555433,0.0741358868797799,0.0536141703232626,0.0419881890648735,0.0462805685043917,0.0638330804490823,0.100465606187569,0.138400354049282,0.12686066514576,0.0935018962199421,0.087906738254182,0.111945031941944,0.181147862594671,0.297486706265111,0.199601570801181,0.104427600435346,0.0660882519598425
"[70,75)",0.0301208039835747,0.0419157175228427,0.0332353654263562,0.0283035195090151,0.0289696941479146,0.0312731296402763,0.0393207574516419,0.0614985527018647,0.0821202673992919,0.0746533686735808,0.0605778149357196,0.0634930233137078,0.0829190867781315,0.138787496672059,0.225864289695696,0.115986267504205,0.0501898951155428
"[75,80)",0.0133536251966599,0.0195124588125768,0.0163851019174413,0.015890354787129,0.0176473111785871,0.0177725957236744,0.0171465205900654,0.0211558607529719,0.032069867809511,0.0432884739674409,0.0445221670040531,0.0408702198215702,0.0408833940196123,0.0467055461272502,0.0746059573307391,0.104364968015082,0.0467297244329783
"[80,Inf)",0.00619691434316458,0.00987108142147797,0.00859723632320832,0.00921833983386853,0.0117932310668858,0.0130922818078942,0.0124960678695572,0.0122715732214627,0.014418615345873,0.021322863050849,0.0326519960139523,0.0384022966089682,0.0310284496433696,0.0225280810624413,0.0246053736492554,0.0356155782305279,0.031149518245908
