"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.29591835200419,1.07710753381323,0.539549486852535,0.363881186765644,0.518225652585948,0.983977050548509,1.33971501051716,1.02257667800606,0.555311578781587,0.368488777797241,0.377877910476965,0.439893396905902,0.411715805126964,0.299137216731955,0.206319264760308,0.156335226214784,0.10595212411162
"[5,10)",0.953038949702296,1.5402124834242,1.01797747103142,0.370350401423272,0.241289540120205,0.418466039063119,0.924455977645987,1.23030031982477,0.834199337426501,0.417491233633157,0.276509155853668,0.284088092534127,0.320496186715037,0.295765019434864,0.224393706275836,0.165249666475791,0.116243960694686
"[10,15)",0.4256082326695,0.907539039956484,1.48895604604356,0.770981252655527,0.262089384717686,0.195377945832172,0.386661780284295,0.824080802357998,0.9778322026771,0.61688867339257,0.309041446599439,0.204519954162276,0.200512777275215,0.217747636072429,0.203668142879758,0.159888820323096,0.106355116351635
"[15,20)",0.258523444023827,0.297373020137455,0.694393124460596,1.11577611753343,0.561512037078609,0.212192719244872,0.180597270205665,0.345054054281879,0.656877162293601,0.731131561193118,0.460312640614176,0.226635416763257,0.139096230219867,0.126843744127034,0.136698964810715,0.131072513263007,0.0922784177791317
"[20,25)",0.330155371191546,0.173734620146084,0.211675285891518,0.503521709591014,0.794395253949085,0.429144662893661,0.185800801775763,0.155670151916749,0.264947175235128,0.471881041828978,0.52167209041709,0.321063378429604,0.147214944712753,0.0846033166429176,0.0784761179415198,0.0897443857336584,0.0821778754169877
"[25,30)",0.554487404428367,0.266511128057831,0.139573676649637,0.168304940138707,0.379586686437198,0.598021534197739,0.357358240450706,0.154533100102322,0.115748957569543,0.185035659565503,0.331834889007272,0.364736503555278,0.215280561008746,0.0956751614581593,0.0580581973211831,0.0590122001638275,0.0699609077110554
"[30,35)",0.656594766341847,0.512058573174736,0.240235676508854,0.124582156556778,0.142933200095366,0.310800764630423,0.492973427058134,0.292846586595038,0.115649613585834,0.0824095102010053,0.135380960659336,0.24668658159314,0.266918233999459,0.156799328746135,0.0744955260649745,0.0492309060887598,0.0529585794805397
"[35,40)",0.42621418180573,0.579550871300052,0.435434738439252,0.202431837331714,0.101844575436393,0.114300153602167,0.24905036681254,0.394303073932149,0.222457091621624,0.0858483125418764,0.0642858353593105,0.108691254921248,0.194484793035232,0.207007765421452,0.126567030763066,0.0632059319586221,0.0406854006322586
"[40,45)",0.192735085722565,0.327221857998269,0.430238877444264,0.32089864613425,0.144339064417842,0.0712909537584874,0.0818998761457657,0.185241502340195,0.302857157257942,0.174295267636361,0.0713606947453158,0.0546496120428724,0.088057188617913,0.149624064287544,0.16061084592655,0.101019074068793,0.0441333063850653
"[45,50)",0.104532049053238,0.133850800118565,0.221846845401037,0.291931123574731,0.210115585189756,0.0931480814231375,0.0476999075242685,0.0584285283342392,0.142457966490009,0.250792817660066,0.15264971762551,0.0623791843077209,0.0439614302709703,0.0653365088174932,0.11171573818862,0.12554771982211,0.068047202714158
"[50,55)",0.085606804512488,0.0707969764939807,0.0887553973912929,0.146780834250681,0.185504702584853,0.133405001119608,0.0625791095504603,0.034941380532572,0.0465791756563605,0.121906703840484,0.224085840892832,0.133072770073926,0.0495918713050748,0.0323235899494903,0.0495387315968506,0.0911664807366766,0.0932484832790475
"[55,60)",0.0776754350414846,0.0566940778237593,0.0457818356337576,0.0563279180878986,0.0889872042739644,0.11429014034626,0.0888785140101939,0.0460467350163499,0.0278034879921278,0.0388285117896046,0.103721471063638,0.188516457699858,0.105725217474878,0.0378135156714346,0.0260142351139599,0.0428156185074543,0.0792977315691665
"[60,65)",0.055087232918822,0.0484646073741899,0.0340107911796537,0.0261956059067788,0.0309176060376246,0.0511153712431795,0.0728696474142417,0.0624319722962245,0.0339464357837347,0.0207348087926182,0.0292891746696255,0.0801116643630978,0.149284542224981,0.0840118974149997,0.0314486491457241,0.0224325695652654,0.0417582912403019
"[65,70)",0.0294342400536446,0.0328910395848603,0.027161708973601,0.0175675460804833,0.0130668320087218,0.0167060919296824,0.031480497332267,0.0488693996118842,0.0424189363179291,0.022662775999155,0.0140392913461163,0.0210713899810963,0.0617831082751447,0.11891669922004,0.0675564570932202,0.0251580278061292,0.0191807680097802
"[70,75)",0.0141158950042525,0.0173511283788586,0.0176649740998487,0.013164171549582,0.0084276538435345,0.00704896686509818,0.0103995329649502,0.0207757742153493,0.0316606229028869,0.0269437350963009,0.0149608662187527,0.0100796034749143,0.0160811541331885,0.0469735220347852,0.0868867853040579,0.0476203811127847,0.0148936313720777
"[75,80)",0.00688006246406691,0.00821910521196006,0.00892020626529877,0.0081190801983679,0.00619931014492016,0.00460861708795401,0.00442067279040399,0.00667361826830472,0.0128089893926066,0.0194768700598291,0.0177098117184718,0.0106709111944268,0.00737838205381263,0.0112520006518516,0.0306309004416382,0.0535027731740857,0.0220585459297515
"[80,Inf)",0.00355379180908628,0.00440657459786465,0.00452232703116214,0.00435654418610533,0.00432651051296313,0.00416419476643373,0.0036243793582274,0.00327407707075972,0.00426505589520253,0.00804576592808983,0.0138059822216921,0.0150628387439781,0.0104681904306912,0.00653831632325171,0.00730153677469548,0.0168121656463248,0.0253267918076252
