"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.38408396651579,0.682708365927214,0.15266566027648,0.0755254928591101,0.0970654968054813,0.159639166043897,0.205611418674947,0.208011929353756,0.200602181929925,0.186994147533688,0.147939153707327,0.0905566909873492,0.0403259637885441,0.0121725456011322,0.00278671143399918,0.000843469379239451,0.00264538056485647
"[5,10)",0.607740628931311,4.92494531282766,0.59074377127457,0.0872172434761782,0.101348267388458,0.213270538447947,0.3480189956115,0.354940824719293,0.325963876091347,0.354851422185967,0.348260914994438,0.216012158893057,0.0899032552544647,0.0357982986018416,0.0157898053904326,0.0077075196417383,0.00710930300418533
"[10,15)",0.120425954324656,0.53292830314483,7.43653586929954,0.670702803550597,0.143033309777152,0.154227258458679,0.26746602724248,0.346453766601453,0.331849079740386,0.345936353649372,0.373030761478422,0.245889693728923,0.0818090069521119,0.0235015552622975,0.0114946100635852,0.00881367920323895,0.00616310713686412
"[15,20)",0.0536579280151386,0.0700311245806715,0.61059344327074,6.26237889092109,0.549383433541959,0.143182446133814,0.13078612229026,0.188216336937468,0.231138155856594,0.236999506483122,0.218885651590012,0.138424732740062,0.0431755135038115,0.00889060117720098,0.00287878761391092,0.00247273414496228,0.00267192134867026
"[20,25)",0.0618392682179904,0.0729733362184938,0.115520194653063,0.495194483148809,2.15753189488537,0.335706032536946,0.104021291652041,0.0825575414917564,0.113151828199436,0.14312784436621,0.122408981227335,0.0642705611557777,0.0194066010277882,0.00405566496086776,0.000992004246788876,0.000624712471523235,0.00093675587883295
"[25,30)",0.0899593204693607,0.135826964382861,0.110176537126469,0.113568048476044,0.297350541626511,0.636298385863252,0.188779809600975,0.0576235049645656,0.045190365552843,0.0669535887564742,0.0767567442837854,0.0436325797380644,0.0129542673067132,0.00312100091045098,0.000865728831177162,0.000407967731291755,0.000377633087213461
"[30,35)",0.100770223773173,0.192768627862961,0.166178518990134,0.090220727833061,0.080021700400537,0.164270730125445,0.301184955563132,0.101164285757162,0.034001499872114,0.0335515363862956,0.0533507247949279,0.0490473379116495,0.0186264396505451,0.00457240464230358,0.00127716656947261,0.000512046689037555,0.000216566439517983
"[35,40)",0.0867002310753046,0.167200041251167,0.183062152169711,0.110420319452243,0.0540118812680088,0.0426211307751155,0.0860706606679929,0.145563182331258,0.0588414405365015,0.0307704095104212,0.038612542693525,0.0504532853614906,0.0291807692820795,0.00778834470576024,0.00172604047762151,0.000559263790125237,0.00017780274670991
"[40,45)",0.0696241177164513,0.12786213125508,0.146011120473972,0.11291596898477,0.0616433408092797,0.0278332032409127,0.0240789272177691,0.0490142136860098,0.0770328428824245,0.0476260024414144,0.0332220023096242,0.0312762202326886,0.0215860175638663,0.00762077714864525,0.00174971142595721,0.000523077839449074,0.000201419835692706
"[45,50)",0.0530460697324559,0.113768009856076,0.124406383318069,0.0946307557854139,0.0637308730594305,0.0337048456049173,0.0194201516186648,0.0209424005050629,0.0389331253363795,0.0592568431718292,0.0405828160661481,0.0187545915470564,0.00859482355544292,0.00401539241723427,0.00164985083403061,0.000764205889446678,0.000405251171527579
"[50,55)",0.0335150530370524,0.0891681859015242,0.107132858192665,0.0697965159136593,0.0435281895915429,0.0308579172845549,0.0246610811097684,0.0209871356581702,0.0216849553771696,0.0324141065692822,0.0412620744174601,0.0197758734159362,0.00536896028126076,0.0022537372200503,0.00169818168664547,0.00152169365799876,0.00101072271872083
"[55,60)",0.0159903067830416,0.0431084951076931,0.0550424607146177,0.0344040535167828,0.0178134846220884,0.013672263711814,0.017671226710389,0.0213743880630334,0.0159120619739535,0.0116739724489146,0.0154156652029876,0.0192965257974738,0.00842838535201625,0.00256570502828561,0.00149364555619882,0.00159942218822482,0.00146013317914533
"[60,65)",0.00539558047622308,0.0135949385614477,0.0138763678298871,0.0081311242927352,0.00407571151337422,0.00307581037258226,0.00508508568178458,0.00936738009676302,0.00832150526901211,0.00405382677337687,0.00317093127026316,0.00638714404623641,0.011239068836404,0.00491444916743867,0.00121319484553806,0.000712387307166564,0.00107335886434836
"[65,70)",0.0011977434075303,0.00398100917624955,0.00293156984835966,0.00123132636093789,0.000626390250762758,0.000544966189008401,0.000917998650218274,0.00183863503364718,0.00216051650582268,0.00139278851208104,0.000978878691980543,0.00142972612483918,0.0036143829309689,0.00556689588100162,0.00155459042781205,0.000431366674750372,0.000632395979384623
"[70,75)",0.000190660460404326,0.00122093861255543,0.000996974716762513,0.000277228536856957,0.000106532644867613,0.000105109943585889,0.000178291724920209,0.000283326763955995,0.000344914151510277,0.000397912993650701,0.00051285667214487,0.000578735252933609,0.000620362840206127,0.00108098279057949,0.00132904306097746,0.000498838476285695,0.000234957569636954
"[75,80)",3.71197340241311e-05,0.000383352754711771,0.000491715657731379,0.000153169618346348,4.31535224260793e-05,3.1860650044319e-05,4.59790616399317e-05,5.90500437367886e-05,6.63250832456463e-05,0.000118555230065499,0.000295601058180464,0.000398623042896632,0.000234314027524537,0.000192929992083709,0.000320874806163814,0.000126340712268024,1.76012469269697e-05
"[80,Inf)",8.87299982150321e-05,0.000269499368737511,0.000262061543977244,0.000126143725666616,4.93184343995948e-05,2.24773773934041e-05,1.48213743792394e-05,1.43083240443612e-05,1.94652730102861e-05,4.79160926260484e-05,0.000149643397887368,0.000277356617736467,0.000269075305974802,0.000215570354255935,0.000115186907231609,1.34150056070112e-05,1.30326999559998e-08
