"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.861201770385909,0.712899728469944,0.355752441333848,0.239374370780024,0.337573827032261,0.643882285800902,0.885938356268561,0.675120047310868,0.366448541079883,0.243088831056869,0.24890710473038,0.289717631953446,0.272216365969136,0.198553105324796,0.136738896286636,0.103503485063058,0.068490524459965
"[5,10)",0.737922899791483,1.19514520149517,0.787084331856002,0.287710615998281,0.185681812447872,0.318783656160428,0.712931164912567,0.950340491211346,0.644161897173983,0.322813061725573,0.213511814188531,0.218682746757776,0.246784238355291,0.228806401557645,0.173863366703794,0.127928319800327,0.0881824532676614
"[10,15)",0.38635433552753,0.825803329542585,1.35269163368753,0.705463343580988,0.241393693578992,0.176811900815847,0.350697725622307,0.749318708425265,0.887382341776139,0.560832627026984,0.281426676885237,0.18584692902647,0.181445660996795,0.197135846167204,0.18496687395237,0.145386731279414,0.0949038660481644
"[15,20)",0.259813286694403,0.301687318845271,0.705050554563687,1.12582878530865,0.572544412542923,0.215379010702383,0.182597871488582,0.350729316840565,0.664742044220282,0.7365689793007,0.463523033029551,0.228820922721271,0.14045931004276,0.127749106276516,0.137724445830186,0.132173573133177,0.09133151644323
"[20,25)",0.323022672434732,0.171652868978783,0.212692539895948,0.504765556139938,0.790044154787926,0.425426330246925,0.182811314746512,0.155364231836812,0.26647163830166,0.471905455693655,0.517094027064201,0.317281929553833,0.146049820425853,0.0841146062965504,0.078051512354232,0.0892481943274902,0.0801743872537943
"[25,30)",0.498737248595836,0.238549679054151,0.126106920358597,0.153703939420672,0.344370114416686,0.543177144054157,0.321016552068036,0.138763424042525,0.105504055855085,0.169756452707341,0.303000511728979,0.331017562862266,0.195522024622811,0.0870417879343606,0.0527230748715482,0.0536573508485308,0.0630104240516841
"[30,35)",0.612452157487379,0.47613896697877,0.223235732941398,0.116300255226728,0.132071009584669,0.286504047763225,0.459015321335742,0.271486789517859,0.107395308608219,0.0767211118181363,0.125876463986139,0.229036556476473,0.249229575366043,0.1475438701186,0.0698638704135557,0.0459406987704139,0.0493252782713229
"[35,40)",0.457804026258603,0.622580191332176,0.467872240210843,0.219122495715599,0.110099515318848,0.121480979035199,0.266304583342476,0.423221008138867,0.239173113591073,0.0924882435440016,0.0689912056816522,0.115869180614756,0.207511062598499,0.223357864807871,0.137365999441174,0.0684384583398492,0.0437007262968535
"[40,45)",0.242028915673026,0.411023593392746,0.539668587022314,0.404504818434495,0.183925104556136,0.0899617894629026,0.102605562173963,0.232952841285907,0.380481711945897,0.219686882965319,0.0901076443818992,0.0686053501207631,0.109587880747526,0.186698016009463,0.202311927799292,0.127825940237131,0.054847835601944
"[45,50)",0.14898280591334,0.191134772734093,0.316494752958611,0.415911435619528,0.302246933894236,0.134317347805161,0.0680169835700973,0.0835909137143332,0.203854833381131,0.35817925328034,0.218626837708418,0.0895327654890649,0.0626416819099009,0.0923511872567188,0.158699341881839,0.179459205135411,0.0949693134904204
"[50,55)",0.134055995013251,0.111093415588374,0.139564932170816,0.230004620139135,0.291041037631062,0.21068178118148,0.0980674353247477,0.0547953970862937,0.0734778306274591,0.192123847893079,0.352198651286451,0.209953522205929,0.0784785852498723,0.050711925207321,0.0774343100405172,0.142928555357288,0.14290758018224
"[55,60)",0.12803740603229,0.0933671111895662,0.0756274449819262,0.0931695430814313,0.14653556383215,0.188863332746111,0.14641921749229,0.0755146601949394,0.045905599899252,0.0645613785654109,0.172280513553957,0.311777014355584,0.175721992851205,0.0629029567819113,0.0430041613790913,0.070770781569394,0.129563826097323
"[60,65)",0.0902668697501112,0.0790585838101928,0.0554016675110702,0.0429122191465404,0.050611701645374,0.0837036715561268,0.119548756676177,0.101474472217842,0.0550202324395806,0.0338927194023224,0.0483188254103595,0.131849452316504,0.244473391486464,0.13782042974912,0.05138923882856,0.0367352551884203,0.0695356159655702
"[65,70)",0.0455289964634415,0.0506870512361612,0.0416235477719039,0.0269889232005447,0.020156660085954,0.0257675940292168,0.0489399927675845,0.0755290530750675,0.0648181809456278,0.0345527591534802,0.0215909894406718,0.0326377727372668,0.0953039373908117,0.183064518977583,0.103507403016194,0.0385108001442192,0.0303985112510846
"[70,75)",0.0206753432301655,0.0253972213659654,0.0257523409550049,0.019186156573103,0.0123332558776223,0.0102919119217074,0.0152807487599305,0.0306295985464604,0.046315663314238,0.0391529634940322,0.0217392793657252,0.0147132698621288,0.0234325036031798,0.0682528319933026,0.126829433774937,0.0693568821545787,0.0215249067906722
"[75,80)",0.0101511991478194,0.0121212255356685,0.0131295320054908,0.0119432713169286,0.00914739797779879,0.00679401144086487,0.00651765408497614,0.00989837696338543,0.0189813506684667,0.0287181837787003,0.0260274985853927,0.0157055961669495,0.0108650388968217,0.0164715141151716,0.0449874398144831,0.0787720962330286,0.0313803224404104
"[80,Inf)",0.00536882332777003,0.00667802836385939,0.00685006392635708,0.00659607496086927,0.00656780170295297,0.00637669574143788,0.00559306029080211,0.00505171303664801,0.00650959331702175,0.0121467690851774,0.0207995978990011,0.0229810805692029,0.0164377275063277,0.0103917703776676,0.0111591018813375,0.0250809306908002,0.0369918874367975
