"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.489383653754483,0.255994338063478,0.0925628684167751,0.0553042763599205,0.0673313147304213,0.141706560874553,0.250431397362676,0.239944751359407,0.15493455587321,0.11353286181652,0.104859106910925,0.0962845848825575,0.0837724423194374,0.0739307914217386,0.0595166760093074,0.0373656003555475,0.0193955912856893
"[5,10)",0.25522679985229,1.12472302767438,0.431822116214093,0.112840636642176,0.0713213336874533,0.0906354638191688,0.15526495782219,0.193547805730963,0.145714774626497,0.0941337524429389,0.0801363849392324,0.0856551430855758,0.0915415443981009,0.0936642118366369,0.0854518489683112,0.0617772608445296,0.0346686399734589
"[10,15)",0.0978586476421242,0.457900767551096,1.8568120763489,0.535214823856459,0.153009021272684,0.105347221786484,0.119269443057984,0.153730131613651,0.155263136970501,0.110499446092723,0.0703317950696872,0.0556540555910092,0.0561392556685705,0.0590036472291604,0.0542641453728211,0.0404476649978035,0.0265239841873735
"[15,20)",0.0701143015378658,0.14348863709817,0.641820561697031,2.1303187976308,0.68240986964495,0.265001903405779,0.200153709986798,0.194577236317753,0.213838740306335,0.207543979230965,0.145285956260179,0.0844011363489889,0.060897577061993,0.0602715902715488,0.060131377085855,0.0488574939900643,0.0382562065039961
"[20,25)",0.106156005803541,0.112784914688339,0.228182380566501,0.848642693028425,1.81234005139419,0.702028736906905,0.382155011096703,0.29388632304887,0.270433725298454,0.302100144294901,0.298714532853451,0.202542932621352,0.117076093354601,0.0893359006875822,0.0893178333849494,0.0799962708265722,0.0650916657925852
"[25,30)",0.263198058688403,0.16884763030607,0.185077406526727,0.388234225606783,0.827027857787818,1.23279651547082,0.627868098181026,0.402111347048627,0.318977001869542,0.318273428668564,0.378919140622792,0.370482161204799,0.253054217271292,0.153259542421871,0.114962322048139,0.0966256745276062,0.076487756130248
"[30,35)",0.510851505599586,0.317675290224554,0.230129708240142,0.322048771916442,0.494444994657945,0.689575137309026,0.943612401884891,0.568719812411638,0.396372033592984,0.346020260508847,0.366256671377045,0.421289533277744,0.403412294720105,0.277806394039765,0.15851195755741,0.0963655300225403,0.0698404135801235
"[35,40)",0.505259206857323,0.40878534546791,0.306196043897755,0.323181962735667,0.392513756344741,0.455886347479396,0.587077503316826,0.839898758733493,0.537649311610929,0.402805179033839,0.361024550785714,0.360084183553071,0.400615572118955,0.388113418896852,0.254010178355962,0.118567237992607,0.0604484734233363
"[40,45)",0.331760622652638,0.312956675462545,0.314472372447842,0.361172799372066,0.36729069144778,0.367741966436022,0.416076942908892,0.546729689573509,0.737358181465276,0.476795403772237,0.362559834305187,0.310801300445572,0.308762337114527,0.358212815737114,0.333804427496477,0.177140348953698,0.0594548280229553
"[45,50)",0.252786895073609,0.210224063480401,0.232718369841016,0.364498051942298,0.426634948248129,0.381540486827356,0.377684009770256,0.425917058689418,0.49577940815835,0.637578506481255,0.431190674906039,0.327778093687572,0.28885019972252,0.297668642730133,0.3226962872854,0.239854202533842,0.0863363347355728
"[50,55)",0.243026924435422,0.186286793794215,0.154183369711407,0.265597494972361,0.439113828082009,0.472826769427,0.416128901089283,0.397358027438062,0.39242022292371,0.44883284037422,0.684827394699424,0.493660628866944,0.379648011698266,0.335603302351455,0.318812820571723,0.28766866611875,0.171615496738849
"[55,60)",0.211378536558566,0.188608670691001,0.115568249912513,0.146151918418254,0.282028984408283,0.437903788395633,0.453397261858904,0.37540943956704,0.318647419566255,0.323184913363927,0.467610635404064,0.782422467168562,0.550979393726541,0.429196840966939,0.376792599105051,0.326087490578255,0.274897452965526
"[60,65)",0.150801257313873,0.165282207760578,0.0955890246436066,0.0864680969951758,0.133673257892221,0.245258823853344,0.355997554367737,0.342474807585872,0.259568243977898,0.233530434397384,0.294874134212078,0.451788339474652,0.663934280030328,0.489960870326755,0.410676224991647,0.317518484328428,0.235982954669654
"[65,70)",0.0976021621828354,0.124025746928984,0.0736801558637731,0.0627622979055471,0.0748053447760848,0.108935362879682,0.179792023313352,0.243326696753391,0.220850637395669,0.176495728945991,0.191166624942271,0.258099091407069,0.359328525642243,0.556556336207709,0.420763832977825,0.251897092775809,0.148980484510714
"[70,75)",0.0566553960001551,0.0815883519216489,0.0488599674935313,0.0451498033787726,0.0539278761013153,0.0589203631854501,0.0739705316190576,0.114828779651528,0.14839462079006,0.13796331142731,0.130945371677367,0.163380737023517,0.217169277932272,0.303393960138714,0.471938837765443,0.230203232403635,0.129894672782713
"[75,80)",0.0287390755522552,0.0476577530503969,0.0294260439726854,0.0296404040084318,0.039025016632698,0.0400129567572377,0.0363342870708643,0.0433074438755958,0.0636270487540688,0.0828543265161036,0.0954652145358979,0.114243327429877,0.135664449555339,0.146753984449332,0.185998583005586,0.220211337217641,0.10576264892568
"[80,Inf)",0.0234000355573421,0.0419521654927977,0.0302684267591458,0.0364055417852727,0.0498094108167811,0.0496835581075403,0.0413061193070615,0.0346334574738126,0.0334984008255021,0.0467814986748052,0.0893350240935985,0.151070645528945,0.158157700717422,0.136147224559914,0.164627439015216,0.165899464223778,0.0303087056932913
