"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00179899832363983,0.00290264373696139,0.00216851784176855,0.00227976407765647,0.00458847182813822,0.00997395172725767,0.0163964739562417,0.0198355781230681,0.0204544342833092,0.0192624299853142,0.0148378986533254,0.0082281997101372,0.00341201019546426,0.00131675509338497,0.000579933733876753,0.000311867917373844,0.000233232277649355
"[5,10)",0.00289394084923958,0.00664981936711801,0.00506478569129492,0.00422117042765045,0.00882051256565772,0.0166163534791322,0.0223977270351498,0.0237686701751247,0.0237399435589953,0.0232931106817806,0.0199261797800645,0.0130889940641609,0.00665471485453679,0.00306401736298695,0.00150850858428666,0.000884713166747411,0.000679376474287354
"[10,15)",0.00229258478062494,0.00537065881631671,0.0162788543918287,0.014124083997507,0.0191328597263575,0.0261456881300306,0.0288145081464906,0.0278751890560826,0.0274416986258842,0.0275745187153027,0.0245864071121814,0.017427740321998,0.0101877930902288,0.00563972146825435,0.00322982715029014,0.00203962309724845,0.00156452690404745
"[15,20)",0.00289026593415189,0.00536765840433299,0.0169373625704493,0.074859220827305,0.0931467651869591,0.0918547227774723,0.0876904603035074,0.0805572383028173,0.0782162307404491,0.0784304617956304,0.0694756439757981,0.0486040157210806,0.0288255653072338,0.0171517396912895,0.0111960972507794,0.00779766094487479,0.00589136929549742
"[20,25)",0.00723428383906412,0.0139484317775754,0.0285328371039296,0.115837014045936,0.324333880472634,0.324656667055749,0.283609404031317,0.250876951720744,0.235690894023186,0.2289866385118,0.19703885312588,0.133707129819607,0.0774211650111749,0.0462981047723703,0.0325701556111078,0.0254631010086251,0.0207900580399072
"[25,30)",0.0185250754507407,0.0309551227638349,0.0459335905485029,0.134569400096845,0.382463129721219,0.611994447700625,0.561824018388923,0.47958935221504,0.431655798382246,0.401880850227588,0.334892680267203,0.222484108019005,0.12675168035826,0.0747816585039564,0.0535770193814049,0.0453851043231977,0.0447234185343115
"[30,35)",0.0334469379450055,0.0458262091850108,0.0555974286692305,0.141094587012126,0.366943376874164,0.617040228268374,0.739829586285712,0.65002521184448,0.558842347019918,0.499533933140756,0.405262406146368,0.265906886042284,0.150579841828816,0.0877660902365263,0.0620591012263564,0.0539239822929144,0.0682762998520016
"[35,40)",0.0417684004890193,0.0502009517088357,0.0555211429423932,0.133801090404808,0.335070559523291,0.54372561151547,0.671007357462054,0.748178660203473,0.661409362092921,0.574964012143397,0.458637223960933,0.297662079370509,0.16674777619249,0.0955826928750672,0.0661831644363322,0.0573959825029561,0.0952928014661985
"[40,45)",0.0437989821934326,0.0509871001820884,0.0555808432011783,0.132106909030564,0.320104570308992,0.497647012763385,0.586624170248205,0.672579927861522,0.734557769186242,0.661141756606546,0.521477607882272,0.332418407348892,0.181283664856733,0.100975594044766,0.0688157698981271,0.0604809998229056,0.132493960579424
"[45,50)",0.0428888146537663,0.0520193049946768,0.0580735675289367,0.137743097358792,0.323381847099116,0.481767566597904,0.545245468018147,0.607953903402544,0.687465663900872,0.74296426362194,0.606432819697221,0.374996436140817,0.196507127472658,0.105968192430063,0.0721448341777161,0.0662102431970094,0.176357011212016
"[50,55)",0.0343890862799868,0.0463208334966711,0.0538990238184106,0.127008538722894,0.289649399547098,0.417889219993565,0.460445946522782,0.504794430811314,0.564426447091292,0.631245017114907,0.634195561671787,0.402707841035863,0.203323874191796,0.107761336517404,0.0745569554709983,0.071388386243828,0.180894283010307
"[55,60)",0.0180637930294021,0.0288213606584882,0.0361895180423908,0.0841643898145454,0.186179224044646,0.262972536768077,0.286172440846083,0.310330637947536,0.340810246180416,0.369741581453789,0.381457338133671,0.30308148541244,0.160372910687019,0.0855949487315043,0.0599087575976112,0.0562200807034712,0.100618396371088
"[60,65)",0.0061420607206575,0.0120153747722632,0.0173468848699227,0.040929243775813,0.0883966919318825,0.122847065665673,0.132881560948289,0.142547910119525,0.152400331557556,0.158872643622735,0.157922469022706,0.131501489603739,0.0936449420084911,0.0554543892648999,0.0370503495879318,0.029981817343578,0.0300757774122645
"[65,70)",0.00173835747877366,0.00405722777778383,0.00704254018731039,0.0178605308280916,0.0387676808911142,0.0531540612554405,0.056800863048777,0.0599253202586771,0.0622549594165238,0.0628313859212547,0.0613830997995577,0.0514728357433034,0.04066925573395,0.04048781296146,0.0274920178599934,0.0163072269837715,0.00833303877917081
"[70,75)",0.00055205326556708,0.00144030504591246,0.00290816797147867,0.00840661920581924,0.019665046159666,0.0274592352007678,0.028960242370686,0.0299190058244455,0.0305924344832615,0.0308442973089705,0.0306226337691662,0.0259769883848808,0.0195925577803124,0.0198232631158373,0.0189728876096608,0.00806453560682282,0.00230286499226897
"[75,80)",0.000239867566811374,0.000682507463828681,0.00148384434430509,0.00473061145489493,0.0124218032930054,0.0187940961404414,0.0203318494919985,0.0209642506059426,0.021724172652684,0.0228714154290527,0.0236908235439355,0.0196964596113491,0.0128101730996487,0.0095005087546527,0.00651594758164417,0.0010849158894458,0.000149387485468637
"[80,Inf)",0.000281385780393383,0.000822106500371405,0.00178539421805328,0.00560637111359436,0.0159089574556936,0.0290506438668892,0.0403810464881628,0.0545972296773661,0.0746505531347967,0.095559364566217,0.0941651274984292,0.0552951143340483,0.0201570312969067,0.00761522628725678,0.00291863213443107,0.000234329454232937,2.6802109097461e-07
