"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.842407773403869,0.317640957995737,0.0477345419378243,0.0238573353243811,0.0311159062357848,0.0514395062530826,0.0660826144012126,0.0665757972748151,0.0642362452531631,0.0600085058782104,0.0473198035509756,0.0286844163373852,0.0127732291121993,0.00389974205413585,0.000898879572745327,0.000274581603073156,0.00137646508765456
"[5,10)",0.331619660330424,4.6691422122121,0.391082600801661,0.0329261732439143,0.0382580110854085,0.0803963207870103,0.130731102564211,0.132606636035209,0.121979682819767,0.133005718324493,0.130243219491238,0.0796791369051944,0.0331106567643614,0.0132788192195177,0.00589666869877211,0.00290039264764564,0.00322288079277689
"[10,15)",0.0523949334018792,0.406773905180213,7.12717306963935,0.465270581321669,0.0629128411631001,0.0679079904531949,0.117744478582698,0.151694651572215,0.145442931851177,0.151694525700543,0.162979960475171,0.105474614436895,0.0348977418540593,0.010086448986526,0.00494547587860983,0.003813851205106,0.00246745706663236
"[15,20)",0.0281536273797008,0.0370396467677275,0.495247909077738,5.81912586808751,0.33897283980717,0.0747477912636751,0.0681956710080119,0.0978748001770321,0.120024868383644,0.123126676347854,0.112941525866685,0.0700585867119341,0.0217143233836045,0.00451391319591891,0.00146497927619266,0.00126750530808068,0.00123807024215143
"[20,25)",0.0404428551917025,0.0474018069039454,0.0744975721584199,0.370640758905871,1.82666494347303,0.220034109732718,0.0662627274301908,0.0526574355865906,0.0719992246849808,0.0911900168869908,0.0775176762379469,0.0399634030619588,0.0120248129377889,0.002542299612436,0.00062506997570153,0.000396447254075496,0.000558467805949938
"[25,30)",0.0720091893998399,0.107285359072884,0.0866074948143192,0.0886700741058456,0.236734731447867,0.525872121713242,0.14625297690722,0.0446092969447221,0.0350693562646717,0.0519681617869488,0.0595256018017236,0.0333259142704862,0.00989734289176598,0.00241222088620806,0.000672667017754148,0.000318092909905536,0.000272102110965106
"[30,35)",0.100787044860622,0.190068248628514,0.163606861165228,0.0881377335615743,0.0777548429815454,0.15928435799452,0.292002631444537,0.0982907038070089,0.0333595245475181,0.0327975044014685,0.0523552525172088,0.047683958845875,0.0180838491638327,0.00447868375652132,0.00124997157250152,0.000499780438851898,0.000182026344853741
"[35,40)",0.111625334678764,0.211945797582877,0.231718193223063,0.139060844627406,0.0679276748287896,0.0534294428980403,0.108026869388798,0.177778529207926,0.0746608113536443,0.0392392735798611,0.0491755041480468,0.0636670848964984,0.0364782437174114,0.00979839431775919,0.0021654954224989,0.000699451365336011,0.000188269694448696
"[40,45)",0.107978381459889,0.195459741189264,0.222737198526551,0.170968255623751,0.09311617574093,0.0421107841909031,0.0367670700835712,0.0748518558575688,0.113856462066442,0.0726481576599492,0.0506066825099608,0.047290228725774,0.0322529981730481,0.0114153961207604,0.00262690610652637,0.000788572332400633,0.00026363361720153
"[45,50)",0.092345749190484,0.195113609089191,0.212675503942805,0.160562391547617,0.107967249386141,0.057128170977635,0.0330923340232377,0.0360146050316481,0.0665112430561925,0.0991225507289736,0.0686509449379121,0.0313654894692955,0.0143892706022055,0.00675789944713345,0.00279307679050452,0.00130279322365141,0.000613821125299801
"[50,55)",0.0683733606811405,0.179395799832036,0.21454661592919,0.138288231021034,0.0861758121193279,0.0614407711350115,0.0496005802765005,0.0423785815959592,0.0435005949147907,0.0644609177541988,0.0808426513842785,0.0387976389474212,0.0106064786580075,0.00449710720854722,0.00341889336728143,0.00308808712968635,0.00181818987773345
"[55,60)",0.0426230955122226,0.112864339622707,0.142787563550643,0.0882161131062041,0.0456879928111225,0.0353744675628307,0.0464572800279059,0.0564244763499657,0.041803603380292,0.0302863504731613,0.0398985165106869,0.0497741882398751,0.0222857835769951,0.00684940012581582,0.00394917366365949,0.00421638369790086,0.00353105248755181
"[60,65)",0.0190056972375024,0.0469638890756479,0.0473068354199526,0.027378962207404,0.0137658197716047,0.010519875261836,0.017642352099717,0.0323720816482091,0.0285493701053515,0.0139129040172317,0.0109222052382484,0.022315743298195,0.0388826120351192,0.0172194960964248,0.0042132808714889,0.00246390012313117,0.00378417185947853
"[65,70)",0.00507297373109419,0.0164664258888285,0.011953869069782,0.00497585265181134,0.0025444510981678,0.0022415719027647,0.00381996720216935,0.00760212920278848,0.00883407439286528,0.00571260718377451,0.004048703552938,0.00599625783791646,0.0150545559663379,0.022738397163294,0.00639588339130771,0.00178911546183115,0.00277017514702742
"[70,75)",0.00093950220923523,0.00587511235351675,0.00470920774142649,0.00129752385825634,0.000502649875162427,0.000502233060495873,0.000856601707253801,0.00134991731088352,0.00163336851152237,0.00189703382735368,0.00247307824119177,0.00277781652297246,0.0029596039734844,0.0051389257751141,0.0062558175016765,0.00236937868990346,0.00101353477625025
"[75,80)",0.000217077766869342,0.00218581729753484,0.00274695231904442,0.000849143857270615,0.000241140395506887,0.000179641539097856,0.000259063165553607,0.000329803327657781,0.000370876041352729,0.000669291492419962,0.00168962162980565,0.00224328816276292,0.00130913340183595,0.00108731541820846,0.00179218639820308,0.000678241014007832,7.60777498278843e-05
"[80,Inf)",0.0012846024777749,0.00286721956132194,0.00209795721129321,0.000979121115280954,0.00040099812590185,0.00018140294570642,0.00011138335830768,0.000104794279145974,0.000146368518656362,0.000372255643482852,0.00117435336514782,0.002217730443335,0.00237351129166739,0.00198739435473713,0.000904994448196298,8.98084852116342e-05,6.60630942922768e-08
