"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.99640239196954,1.0557940701888,0.384742550083619,0.229061648190062,0.275181305135085,0.579668735869993,1.03547466017549,0.998834400868381,0.647171009013372,0.472699358205849,0.434451461749724,0.39727364184516,0.343842708772194,0.302367706659832,0.243232352403236,0.154268295865547,0.0801918937524714
"[5,10)",0.91876540872975,4.0184198451012,1.57509973073696,0.41150778437033,0.257387362019439,0.325393350816279,0.560778262323396,0.703277297385251,0.531878137456371,0.344047703764087,0.291316102424191,0.311530374737684,0.332954961365193,0.34050207514842,0.311005586523413,0.226908207689451,0.138496734113375
"[10,15)",0.293014572971708,1.37848371920972,5.53249534845064,1.61468657232097,0.456511065802629,0.312080705965234,0.354575619191983,0.459324272439181,0.464516190190787,0.331859439863366,0.211229762446061,0.167050167972936,0.169057422462899,0.177585236191457,0.163382706623085,0.12267631640366,0.0860322033188614
"[15,20)",0.153876079473236,0.317666464161783,1.42425569214346,4.68885631390659,1.49376635028751,0.574077254779005,0.433754290400545,0.424213157621375,0.466951759459692,0.452716082509598,0.316913033290492,0.183104583270839,0.132846189207093,0.132081980269004,0.131487374370996,0.107187185487207,0.0870787517708717
"[20,25)",0.162396696452811,0.174550085463045,0.353745213656138,1.31226699190049,2.86779653436058,1.08926656589578,0.590438573017502,0.454754684122927,0.419408491703466,0.467470505506603,0.461861396724469,0.310438343144535,0.178681975401435,0.137544035211094,0.138013137199593,0.124022610047343,0.10526084048914
"[25,30)",0.298795468618334,0.192742454944038,0.211223409160833,0.440499823052172,0.951415097239492,1.43656266053113,0.723102483337887,0.462921783429916,0.367282365763041,0.365514234748118,0.434980427555309,0.424696255925525,0.287426027374806,0.174321933557599,0.132057353566178,0.111873087977039,0.093606097989849
"[30,35)",0.465118900476378,0.289461138284831,0.209129057947222,0.290034435691514,0.449408176847249,0.630130115329772,0.864502116054522,0.519166486299801,0.361995442047094,0.315563765398296,0.333438044256601,0.38472718682633,0.366934444965339,0.251250741707568,0.144201775375143,0.0887637659063098,0.0679505834893034
"[35,40)",0.387855223856919,0.313817627306639,0.234194422732532,0.245211908262171,0.299223067299952,0.348730266692882,0.448805624641048,0.643090504494906,0.412098637332282,0.308524169155179,0.276290953122579,0.275706564857381,0.307040702875291,0.295958693464713,0.193653838505938,0.0918896393834152,0.049887004755477
"[40,45)",0.209630699907642,0.197980561735121,0.197568491744405,0.225158898311525,0.230205017510882,0.230803174565755,0.261044423490873,0.343764364790684,0.464291107125029,0.300753485483312,0.228261774569879,0.195323534938747,0.194461288765749,0.225637469199785,0.209416238651474,0.112712732002653,0.0423513899251841
"[45,50)",0.119542600895655,0.0999840982929225,0.110197784330095,0.170429543009435,0.200324302111515,0.179327896200997,0.177664355645275,0.200932748883099,0.234807804005728,0.301338905418991,0.20298820600753,0.153892336326695,0.13563936413948,0.140559447279857,0.152529783997087,0.114013128843776,0.0473747618201847
"[50,55)",0.0810828535086681,0.062477959168172,0.0517635282813414,0.0880458986250646,0.146063317931781,0.157493758707479,0.138541025833532,0.132793944808491,0.131517977168056,0.149803126957839,0.227358154047872,0.162825894344729,0.12552214288895,0.111233916047747,0.106152385995583,0.0960656501854749,0.0645867227597854
"[55,60)",0.0561861113111691,0.0506307317151773,0.0310218103945226,0.038549585041439,0.0743971529605741,0.116526184588148,0.12113442668782,0.100417678556855,0.0852821162978144,0.0860634058384506,0.123388570979269,0.208487947013584,0.146314247711505,0.114187866889665,0.100356148139659,0.087095120495943,0.0793619465140235
"[60,65)",0.0382465777691701,0.04255913919557,0.0246915301286887,0.0219969836213272,0.033678694057759,0.0620247075050233,0.0908650210258062,0.0879533852604958,0.0667774900598034,0.0596596662037228,0.0748109802399526,0.115074780967146,0.169954963138078,0.125395208415681,0.105253288047791,0.0819717702391675,0.0633456315737408
"[65,70)",0.0250046856063937,0.0323579007152636,0.0192829665740838,0.0162596365132378,0.0192738950329446,0.027966872175502,0.0462560807563444,0.0630290759535942,0.0576051593265915,0.04596299765991,0.0492873488263418,0.0667677480973279,0.0932253821105119,0.144512119946031,0.109613423671288,0.0663626330847963,0.0390490619905041
"[70,75)",0.0145333684050361,0.0213544168166647,0.0128183471087055,0.0116952703201225,0.0139735613574217,0.015307821976226,0.019181874158906,0.0297985340010078,0.0386295338315175,0.0360381019737403,0.0339849739508152,0.0423984229400652,0.0565389647907189,0.0791995461454624,0.123049641030935,0.0611282305139415,0.0324070072758312
"[75,80)",0.00606614180737992,0.010253229174027,0.00633399333757662,0.00627422389729818,0.00826377490401051,0.00853428954052778,0.00777046634001786,0.00930521195417739,0.0136827383723627,0.0177277268980566,0.0202402671996751,0.0242153347555334,0.0289779346483727,0.0315553857329176,0.0402283998677865,0.0480903134960501,0.0233611277848649
"[80,Inf)",0.00252783539598103,0.00501686525051268,0.00356090481987391,0.00408612628672428,0.00562246667966961,0.00572437839200079,0.00476855722999401,0.00404976289502129,0.00412145117171814,0.00590510565934694,0.0109087203365552,0.0176885164082845,0.0179515614412945,0.0148847976420538,0.0170967005596058,0.0187273466596773,0.00537340098247154
