"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.01084807389135,0.842413696766083,0.421391237774643,0.286556847716333,0.41544759054775,0.7814100146687,1.04972133146212,0.795183773152158,0.430754495977965,0.288295100379797,0.298040483232855,0.346049754295642,0.323234837218418,0.234141336526291,0.160682821178717,0.12202731622634,0.0800405506256281
"[5,10)",0.649638526947728,1.0493613758922,0.690890317010055,0.248499019685238,0.165833292465831,0.291163849453599,0.636692454420805,0.840044002041565,0.563511958761646,0.281455850293083,0.188630382730472,0.194896962430049,0.219616380240729,0.202201262459052,0.152434742782248,0.11244352856005,0.0772932311379018
"[10,15)",0.26352084067238,0.560263356707841,0.925328173157341,0.471080074482443,0.159955381336407,0.121978136505238,0.241496525016957,0.514294485738118,0.606599220011716,0.379318502412047,0.190495501421447,0.127107726297218,0.124714943127156,0.135476733005359,0.126346369827235,0.0990887784868585,0.0645024237701008
"[15,20)",0.17361481319506,0.195233487664505,0.456395396206413,0.743877670147716,0.371922384058524,0.142132319579369,0.120379531729259,0.228851126995342,0.437264552485659,0.487366894285496,0.307348558106567,0.152210374453418,0.0930624477800397,0.0842873935775821,0.0909190034565493,0.0872732426697473,0.0601078761010746
"[20,25)",0.286199888710337,0.148142130386533,0.176206775975779,0.422892075176399,0.6699483593713,0.366357860083006,0.159189073570253,0.131152535617106,0.221914951302162,0.396910610330339,0.440850075879429,0.274245693010482,0.126354395327182,0.071679533205877,0.0660975755684581,0.0756696131569397,0.0681857488603596
"[25,30)",0.587091924439639,0.283673150953868,0.146547920924286,0.176256032954265,0.399557632676909,0.624643326433965,0.37623595569982,0.162111121683747,0.120694754633856,0.19334484972503,0.346290015210879,0.381241812379359,0.22734411769039,0.100703774335214,0.0605992659298687,0.0616594738356994,0.0723588862347491
"[30,35)",0.741416217594078,0.583138087694203,0.272752963714124,0.1403345874097,0.163210501085772,0.353688730742662,0.557047543003118,0.330323468707666,0.129976343706086,0.0932746224821353,0.153993577870365,0.278692817125905,0.302209847642233,0.177643887293162,0.0836141921941085,0.055581998001753,0.0599362128173681
"[35,40)",0.496533044451132,0.680199532217039,0.513526723147038,0.235861858517188,0.118878720619942,0.13473062493759,0.292033059712033,0.462899634187315,0.259947680035449,0.100122971972508,0.0756494762150726,0.12750771756212,0.227549967697349,0.243405089325249,0.147751128965803,0.0739964254756743,0.0476999196507466
"[40,45)",0.244429720303574,0.414649336935984,0.550422999712147,0.409536370877305,0.182792149196443,0.0911560408196369,0.104424029765017,0.236226975961745,0.387934493117814,0.222521694889071,0.0913806592378483,0.0699960505561592,0.11177035501272,0.190876600850766,0.205518138066839,0.129412179575846,0.0554645902177564
"[45,50)",0.15527309893581,0.19657255652881,0.326688254129976,0.433250425666872,0.310311915350835,0.13860038396317,0.0711269850820834,0.0863598828261254,0.211206425542315,0.37368335155885,0.228039169092612,0.0937432680316627,0.0652858005453747,0.0962643906815167,0.166121700714742,0.187070257961261,0.0983683964808007
"[50,55)",0.153290013671186,0.125806736454971,0.156672892631201,0.260911846148035,0.329136698084309,0.237056266276772,0.112138090000258,0.0623108796522612,0.0828263835465664,0.217765509036805,0.39958263126715,0.239294222309492,0.0895284441290695,0.0574757736894934,0.0883241189427965,0.162352304767498,0.161103417871249
"[55,60)",0.152252876269306,0.11119510711818,0.0894271611295607,0.110533832555804,0.175151378765916,0.22325456729262,0.173605978645419,0.0898426979554235,0.0542720598295333,0.0765787179032852,0.204701285195984,0.368480810238005,0.208207476137141,0.0741122145129427,0.050940009979824,0.0841453965953146,0.153011785195822
"[60,65)",0.105838733149825,0.0932491425396375,0.0653003483282927,0.050295016672262,0.0600569965217531,0.0990793296089292,0.140102867598829,0.119322571007308,0.0644954251576775,0.0396904703994377,0.0569965940743279,0.154951516321748,0.286559738793598,0.160438288249401,0.059460816248609,0.0431222803299875,0.0820953081065304
"[65,70)",0.0530571395602842,0.0594159777999744,0.0490908993005116,0.0315248027115295,0.0235780395459897,0.0303727666593714,0.0569938438961891,0.0883313253504571,0.0762244395826944,0.0405016248269377,0.0253228137843552,0.0381705633072642,0.111031776287961,0.214586641021813,0.120264172417181,0.0450473128980237,0.0358137903232673
"[70,75)",0.0275431645655113,0.0338830110554407,0.0346320093927197,0.0257230859742221,0.0164466216901,0.0138256200746875,0.0202925361462774,0.0405596827691857,0.0620826653185201,0.0528703028607659,0.0294364273029653,0.0198461584244395,0.0311278255617526,0.0909735027106337,0.170470019966372,0.0938749019521192,0.0290026106382148
"[75,80)",0.015933913400457,0.0190394108140039,0.0206899957223157,0.0188092084275569,0.0143427916728138,0.0107161324633175,0.0102757016928835,0.0154737468087052,0.029779428067709,0.0453535387129894,0.0412178416887958,0.0249728893980422,0.0171965227975597,0.0259578395369769,0.0715106129057983,0.124311102551131,0.0492642961039849
"[80,Inf)",0.0091374455245992,0.0114422081103383,0.0117750104409332,0.011325832367529,0.011299393463396,0.0109946009934543,0.00968759494884689,0.00872070776858861,0.0111585136781575,0.0208502547670103,0.0357586309697914,0.0397020246523747,0.0286224363935926,0.018042606624662,0.0193155659084912,0.0430706694857446,0.063044709521729
