"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.33263072965365,1.10730524585001,0.555244979788381,0.372987555683768,0.529982685832867,1.00820315124972,1.37547572538439,1.05468406688854,0.573509597859505,0.378612158495622,0.38720649322308,0.451031120532471,0.422747196606419,0.307654654327991,0.211922930979692,0.160418584549509,0.104661108486863
"[5,10)",1.02237851595409,1.65102771454799,1.09353335603441,0.398153237716532,0.258240830067754,0.447566390770498,0.987705634136037,1.31850425230178,0.898894276290805,0.449338932425949,0.296258951485824,0.304020663836043,0.343019762116111,0.316978788263791,0.240400492184522,0.176845018503701,0.120749887010955
"[10,15)",0.461882991337991,0.985224054540492,1.61204156968758,0.836187784348159,0.283697196074903,0.21157128330192,0.418183373523234,0.889985628216836,1.0599978842521,0.670174913640021,0.334845522923221,0.221379766748472,0.21707007935961,0.235741624161945,0.220461214849915,0.172836736952007,0.111805572505634
"[15,20)",0.272702080276446,0.31528259974447,0.734937822297546,1.17911878515031,0.592172403949369,0.223637843519611,0.19078648348064,0.363743416059674,0.692713212704495,0.773262244952186,0.486352767009958,0.239142511790402,0.147006359218235,0.134110774269849,0.144551700747543,0.13842175497238,0.0945426705009252
"[20,25)",0.339459926043045,0.179146109960941,0.218441195533664,0.518777207058912,0.819815164596461,0.44226064649922,0.191834024536901,0.160460577078946,0.272200844818983,0.485979567033466,0.538578974814534,0.331227177608172,0.152046798810112,0.0873896566748764,0.0810097830317809,0.0926748526830338,0.0826616680765373
"[25,30)",0.573577629656783,0.275776505082456,0.144695007095639,0.174018468236856,0.39282183518923,0.619638326311382,0.371044928653354,0.160745019535185,0.119764733247922,0.190841036197953,0.343351647096889,0.377961591961177,0.223444306556508,0.099408821828717,0.060162694040128,0.0611924028868184,0.0716551219700139
"[30,35)",0.678450104671629,0.527652690886618,0.247961592037876,0.12871183388637,0.14772833091423,0.321697235860363,0.509353748339708,0.303517422739826,0.119992898451128,0.0850864900251134,0.139801885588419,0.25503622782907,0.275804161012278,0.162179647420915,0.0768541421113937,0.0508117647039422,0.0548410394375302
"[35,40)",0.424067087704226,0.574181717415398,0.430177654101434,0.200038327606757,0.100728809651384,0.113607120938366,0.24741773389131,0.39071559624812,0.220827119105219,0.0850716644701286,0.063689112126329,0.108006094589134,0.192907996985526,0.204952260048345,0.124854508342211,0.0622239810844389,0.0401787814091183
"[40,45)",0.17720075017477,0.300807820845414,0.393715520227762,0.292741455998773,0.131306886618298,0.0650443627137692,0.0751649592231478,0.169693454161972,0.276927858657006,0.159031380510013,0.0649443562054907,0.0499887992659406,0.0807790040261365,0.137029593015441,0.146577407303599,0.0916152869804603,0.0390298871641834
"[45,50)",0.0876082088720884,0.112610772234606,0.186419390074481,0.244727594968247,0.175566408141591,0.0776207538895502,0.0399158948554735,0.0489579238445837,0.11909902552394,0.20988915332305,0.12729406013579,0.0519880261919276,0.0368311892802328,0.0548255993583126,0.0938024819445133,0.104902268963793,0.0541692686687328
"[50,55)",0.0679194279728543,0.056283165097813,0.0706071294205818,0.116683291195779,0.147493863825612,0.105863529362141,0.0497163725241901,0.0277846160671254,0.0368695585933151,0.0964959935181957,0.17802622314719,0.105521649057326,0.039390660591559,0.0256891371668911,0.0394393574423102,0.07265899906692,0.07111559861538
"[55,60)",0.060868474021648,0.0444369917728124,0.0359150521805437,0.044141652071417,0.0697886888133787,0.0896580771729029,0.0697786877939236,0.0362511664633935,0.0218340220602817,0.0303206836763422,0.0811850545904997,0.147876705225081,0.0830630394608941,0.0297373993306036,0.0204099396358379,0.0336969272926721,0.0613339528190711
"[60,65)",0.0429571210904851,0.0377510656698041,0.0265159424355176,0.0204313209003897,0.0241215317221184,0.0399098017562093,0.0568185651525755,0.0487520049344231,0.0265661157231867,0.0161740927519751,0.0228189842086852,0.0625426595486506,0.116386027745023,0.0655750073047569,0.0244708347558004,0.0175000971991542,0.0333987224755801
"[65,70)",0.0222052118376387,0.024778629076066,0.0204540999173898,0.0132391771159124,0.00984746925701635,0.0126116585289283,0.0237313693939536,0.0367901840284714,0.0320096505603507,0.0171011207791182,0.0105703546976915,0.0159040784912498,0.0465774112466802,0.089518427310556,0.0506684492449302,0.0188290900556638,0.0150247980820982
"[70,75)",0.0104186370939622,0.0128004121720729,0.0130292022622369,0.00971990580350053,0.00621789805673515,0.00519895525921902,0.0076601143807568,0.0152659911138839,0.0233225014484848,0.0199295293997085,0.0110537948882664,0.0074351335509297,0.0118393350633553,0.0345127162174829,0.0640654759950362,0.0349834104590428,0.0107772082655622
"[75,80)",0.00523244476087892,0.00624738751865626,0.00677701897196114,0.00617533062654179,0.00471938106731148,0.00350835332939935,0.00336007728695191,0.00504772380122249,0.0096714825531254,0.0147871544494615,0.0135110155857809,0.00814431134119506,0.0056174084249937,0.00850918319431252,0.023210214754488,0.0406591798986447,0.0158713246332351
"[80,Inf)",0.0030095607103935,0.00376062608487433,0.00386486117693284,0.00371836086257563,0.00371103553372872,0.00362176997187086,0.00319711657895793,0.0028734414793217,0.0036323710725294,0.0067316341632893,0.0116581935302787,0.0130687132156691,0.00945133597691167,0.00598597628085185,0.006303635533497,0.0139920381667264,0.0205597197943471
