"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",3.99694977310091,2.42280865651722,0.917471063349028,0.576869432096291,0.783832941289123,1.50850754715922,2.24298658422927,1.94783842496877,1.24646690664097,0.93026644375235,0.861121465864983,0.812979383690249,0.686017016374502,0.521438690273577,0.379030645995059,0.259762794591372,0.156593774935828
"[5,10)",1.96626150959777,9.09192371334213,2.52487245827447,0.6789733454429,0.492583845845674,0.79859537649871,1.50006328817506,1.8613884349156,1.38487277039875,0.93516615446855,0.772440552771992,0.671594311342918,0.599379753497314,0.532204933683263,0.430502156218945,0.310082610885181,0.203092038250451
"[10,15)",0.643241729410606,2.19598758791358,12.6494511735269,2.39539855683196,0.694948544120853,0.56366357319721,0.834367285646144,1.31235954155631,1.4218651662914,1.05099440249731,0.739738092309089,0.513824282073513,0.368862956117278,0.332549362544886,0.295684960816914,0.225596830928326,0.153240662571746
"[15,20)",0.400440028335059,0.582575399114116,2.37176615735648,11.1245496127162,2.38611174204476,0.960432817376158,0.792399700129804,0.955734490861093,1.29050884958833,1.34698594391439,0.971671946690488,0.556893478901115,0.321669766524791,0.257868510414367,0.249712134010572,0.21745332262384,0.163921974399508
"[20,25)",0.573853216820759,0.445755729026643,0.725684962065879,2.51489114327982,6.29838532892364,2.38850259988656,1.33718420956546,1.09029309762843,1.16846510626246,1.44483511224657,1.41918360091354,0.916207726832749,0.474964667267931,0.301474858438836,0.270088661020197,0.255448795072694,0.222260073654218
"[25,30)",1.08133168061626,0.707583488902655,0.576301266368971,0.99178714316523,2.33867235765202,3.77448723230687,2.16582635836925,1.38584828651184,1.15661535588841,1.22016758982703,1.38553967430279,1.22835293267672,0.752600402552746,0.407556335014739,0.284766914881804,0.251701822084147,0.242316656596854
"[30,35)",1.37266662409939,1.13471668200853,0.728305903992188,0.698590609943187,1.11776968835778,1.8491652902756,2.57554554486413,1.66260937633232,1.12922947545686,0.984066107297661,0.9910963686499,1.02172359693362,0.875382090186753,0.546380657383496,0.304000694992303,0.206599068240823,0.199396096284201
"[35,40)",0.983548297965878,1.16176752549547,0.945178339019837,0.695216490018176,0.751984199870645,0.976218450944321,1.37185502977105,1.85879852823427,1.2660725301229,0.915184939451533,0.774999604119872,0.703402402888046,0.697305014588978,0.620205233485872,0.392502460758258,0.208961812578301,0.162808595279273
"[40,45)",0.557344771181497,0.765407148103616,0.906817218820316,0.831274022099937,0.713643996701819,0.721474012991469,0.825062761550899,1.12114868329731,1.46588412611314,1.05279542029706,0.743768631670012,0.552885976193628,0.469189459201184,0.500112947559482,0.465961714233918,0.280804854344732,0.16974225385489
"[45,50)",0.393104829212332,0.488460290150131,0.633460575998221,0.819981644161816,0.833953818354798,0.719298357963698,0.679495992567913,0.76589128173887,0.994953041978131,1.28888239529959,0.920018863435127,0.55991736693056,0.381085425959046,0.348164343602897,0.400597967575486,0.360230261305205,0.235606648526517
"[50,55)",0.336025864710719,0.37257423384148,0.411722346952272,0.546220505062146,0.756431431943363,0.754250867561455,0.631954453535347,0.598917510048206,0.649087090405228,0.849580930386891,1.1499969458512,0.744385505059523,0.417095488614312,0.304347678127186,0.301005612275811,0.344448509295206,0.329256441837788
"[55,60)",0.255138709521394,0.260521332023737,0.230000939999757,0.251772908935823,0.39274753034469,0.537784832542316,0.52395241638336,0.437177605844877,0.388051367202777,0.41583375189791,0.598670085224457,0.84835509933387,0.523522775502648,0.311555428621996,0.253144704385438,0.254608791940522,0.311886488154736
"[60,65)",0.146180226069324,0.157868422292686,0.112108088592707,0.0987424793585533,0.138241276404786,0.223720997690503,0.304798622333238,0.29426171852156,0.2235933120176,0.192165339468076,0.227761828815674,0.355462348491051,0.52719950097801,0.340520520647112,0.223019692688264,0.171448402315437,0.173553927955273
"[65,70)",0.0682265041447018,0.0860732540685457,0.0620617691045088,0.0486058140957886,0.0538795124683117,0.0743919726788827,0.116817198009548,0.160709863094439,0.146343954567203,0.107803568009531,0.102049661301428,0.129893783693455,0.209093347459617,0.343785052717239,0.227714668633821,0.118985913541643,0.0773015244805221
"[70,75)",0.0344821047458322,0.0484099050928593,0.0383677950724674,0.032726467527048,0.0335620502729784,0.0361407808482321,0.0451913816622646,0.0707162239804841,0.0948039640543786,0.0862436560987752,0.0701755366131615,0.0733823246868835,0.0952157764548614,0.158329079820949,0.260567958776161,0.132515503918173,0.0583746699870784
"[75,80)",0.0191948526192001,0.0283220513090655,0.0237771059711859,0.0231480240615718,0.025783055481745,0.0259467372358978,0.0249458205807795,0.0305796139575677,0.0464054797428371,0.062992232959842,0.0652264664034278,0.0599493402780132,0.0594548839215532,0.0671975619865877,0.107635391905397,0.150390020726624,0.0666174799264451
"[80,Inf)",0.0118520833209155,0.018999954445778,0.0165429283296608,0.0178729986239732,0.0229775831800314,0.0255853893763129,0.0246603056900034,0.0244036489673048,0.0287320747977289,0.0421994431647961,0.0638625404806699,0.0752176811303971,0.0616454331924545,0.0447155312072221,0.0485652020166496,0.0682339586835461,0.0567198820629357
