"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00551722196850324,0.00893171648274991,0.00669887846127717,0.00693297695171097,0.0138590372822559,0.0302349186627169,0.0501281471679844,0.0609710453090412,0.0629665888960131,0.0594366883580096,0.0459981119143372,0.0254972843511055,0.0105112376169678,0.00404499416266802,0.00179358796969108,0.000971762412752913,0.00070608173295536
"[5,10)",0.008697768245831,0.019893872880511,0.0153180817043893,0.0123806487058575,0.0260276422627159,0.0494680115714682,0.0671821733658175,0.0715445733191428,0.0714513077864166,0.0702014427162984,0.0602615672207561,0.0395865822392413,0.020031967784572,0.0091977366879087,0.00455383785149556,0.00268658061001342,0.00203925399923601
"[10,15)",0.00635451572684323,0.0149214778802408,0.0448308336295581,0.0380422612138882,0.051895201851233,0.0714854143787495,0.0792067242971252,0.0767552197769189,0.0754767233449579,0.0758994336246268,0.0678861253194672,0.0481223140543277,0.028008565704856,0.0154520485991577,0.00887733517760836,0.00563349964746972,0.00436452382478922
"[15,20)",0.00642711248202427,0.0117860055820044,0.0371776647664609,0.159065654181649,0.203019734857305,0.201663707129945,0.193224124368866,0.177637831939081,0.172335697603543,0.173064169375099,0.153935815184851,0.107804389789046,0.0637473113757813,0.037864220623174,0.0247624840832052,0.0173019138252169,0.0134034512094315
"[20,25)",0.0122321797062207,0.0235902593745884,0.0482856002684193,0.193291564718983,0.549009000744945,0.55162146826081,0.48207221761218,0.426420920815364,0.400388870952208,0.389667697473447,0.336718390103609,0.228639174293916,0.131965261632306,0.0788181866570931,0.0555457049172987,0.0434618691578598,0.0363160124198709
"[25,30)",0.0238499122221569,0.040070940091653,0.0594449627003244,0.171596957212378,0.49300162476039,0.797549191801583,0.732197479126148,0.624960481655548,0.56235672766522,0.524489230220678,0.438775264436852,0.291525140433213,0.165476710421255,0.0975131909036529,0.0700325233004726,0.0592913870808239,0.0580169530003227
"[30,35)",0.0334441972405069,0.0460278055957753,0.0557084167485115,0.139060673094664,0.364401735845827,0.619283305354284,0.745296974130067,0.654745264031337,0.562699914214962,0.503684554120427,0.409994215903469,0.268926469826128,0.151711084669018,0.0883140142319981,0.0626226761864105,0.0543496602694925,0.0640167289819409
"[35,40)",0.0337336984125411,0.0406484614752537,0.0447680189056821,0.106018007267604,0.267305583884831,0.43834382509605,0.542967155216027,0.606160379258659,0.535429239850464,0.465856383795807,0.372685242103462,0.241769151417828,0.134936697829242,0.0772556410439378,0.0536490877574466,0.0464377029638073,0.0651762997339726
"[40,45)",0.029018309203289,0.033814207758361,0.0366686241212177,0.0856724209501306,0.209061058513868,0.328545748731952,0.388686684200826,0.445988545229987,0.487245991593803,0.438822281127719,0.347139622318071,0.221224376042399,0.120216623333978,0.0668910577853056,0.0457162612229003,0.0400458554231907,0.0670164210205507
"[45,50)",0.0228344117141584,0.0276954456801433,0.030739259280891,0.0717209843673461,0.169612884154413,0.255442889413241,0.290037887384816,0.323479644793139,0.365815376984502,0.395330473508501,0.323685142392768,0.200146340334366,0.104502365034859,0.0562877442296393,0.0384105458191352,0.0350622595665619,0.067931120915364
"[50,55)",0.0145523037840784,0.0195775916672779,0.0226408333298337,0.0525333720253472,0.120694587073999,0.175976997236083,0.194415261118935,0.213104992902248,0.238305461727929,0.266550369101557,0.268620548003756,0.170470719557316,0.0857061537469094,0.0453484782625195,0.0314332540141924,0.0299244668887355,0.0579564630452989
"[55,60)",0.0064539687342475,0.010289826099049,0.012841006695277,0.0294356229493893,0.0655711473848564,0.093547236555388,0.102029875633875,0.110609772448541,0.121507747911817,0.131869803722492,0.136392653158142,0.108630939176835,0.0571812653369517,0.0304618756267242,0.0213681026301607,0.0199864756309892,0.0308387944369062
"[60,65)",0.00204593909692241,0.00400395841390012,0.00574710797730262,0.0133845747061469,0.029102324647711,0.0408317267284829,0.0442605735678536,0.0474710249271951,0.050774006677133,0.052945584053259,0.052730162134886,0.0439703253706286,0.0312381221540024,0.0184650682293603,0.0123755849724902,0.0100267322483158,0.00997781394982779
"[65,70)",0.000578545403860815,0.00135091373833983,0.00232983547366121,0.00584187723640054,0.0127724790148543,0.0176809231368309,0.0189325909024916,0.0199714423923461,0.0207599199764741,0.0209555068416175,0.0205017304915171,0.0172124724966716,0.0135684930819517,0.013509990480741,0.00921933112203466,0.0055144745407058,0.00314307546746311
"[70,75)",0.000180481996652502,0.000470560928988347,0.000941701932780198,0.00268787624923439,0.0063327289144742,0.00893373361667503,0.00944503788795854,0.00975738023108053,0.00998205533489329,0.0100606597084243,0.00999790026479032,0.00849462547402335,0.00639790951076505,0.00648621095600642,0.00624914267434471,0.00271262017660502,0.000931075757740288
"[75,80)",6.29232711993666e-05,0.000178639777346823,0.000384546715655939,0.00120850707115037,0.00318851750624024,0.00486703899204353,0.00527483532201372,0.00543477548352247,0.00562661025466275,0.00590956987960616,0.00612471480757667,0.00511274913632369,0.00333558310585286,0.00249652421552791,0.00174553667707796,0.000310923234047326,5.44508099935884e-05
"[80,Inf)",3.51104834467494e-05,0.00010413105139934,0.000228790686528561,0.000718956024089054,0.00204601682001079,0.0036572847017258,0.00477129412632642,0.00585775518137351,0.00723104604625543,0.0087925610152779,0.00910944588767044,0.0060582375109512,0.00254905019402443,0.00109274063638926,0.000460103617618498,4.18152774298321e-05,6.9338559552607e-08
