"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00477611714394537,0.00779340257416487,0.0058530308525643,0.00605876930919663,0.0121767312819548,0.0266390247086794,0.0439860370603023,0.0533079911740985,0.0550245331485069,0.0520006102428588,0.0403897577484352,0.0223900827175071,0.0091738884691799,0.00350958658756007,0.00155431914604793,0.0008438909929861,0.00061668528927739
"[5,10)",0.00732094565085735,0.0167216315366254,0.0129076240758197,0.0104460943223996,0.0220968459462661,0.0420290754543463,0.0568887376578917,0.060464333989798,0.0603906267553999,0.0593680772365611,0.0511018286364359,0.0335889671536926,0.0169186911620068,0.00772850671162887,0.00382150776675392,0.00225910367466905,0.00172161830397038
"[10,15)",0.00519503251053731,0.0121958954488588,0.0367120336676922,0.0311322098391826,0.0426013462771865,0.0586645563996436,0.0648696968014883,0.0628299977945567,0.0618069210082313,0.0621707648766031,0.0557471135806683,0.0395455578552606,0.0229355575709894,0.0126047524446313,0.00723162776710357,0.00459614348048858,0.00356949822020576
"[15,20)",0.00521126652737213,0.00956473054034348,0.0301690310061294,0.129755588262482,0.16531309746391,0.164110895893388,0.157110251862745,0.144485804256753,0.14025031352529,0.140881428806404,0.12564091282755,0.0880440521654091,0.0518837299736733,0.0307295240001516,0.0200867192149761,0.0140509869864999,0.0108947099199653
"[20,25)",0.0105537298231113,0.0203875700240822,0.0415997879981104,0.166580301799052,0.475292216495637,0.476647924596821,0.416508491163289,0.368658465779369,0.346353904583014,0.337151386489781,0.292065504770563,0.19838234036649,0.11406656949207,0.0679415497958865,0.0479025906286799,0.0375472702967905,0.0314179405066652
"[25,30)",0.0238049377389545,0.039981445690665,0.059063212367887,0.170501136002548,0.491440773318483,0.793299283483339,0.728147974656652,0.621887195051767,0.55994850670388,0.522365081249196,0.437997123372435,0.291047473784862,0.164569461839381,0.0967002630016456,0.0694820421677913,0.0589421508403406,0.0580004450879519
"[30,35)",0.0398272291346102,0.0548341962150568,0.0661758713703965,0.165390634391983,0.435124829912418,0.737795791244098,0.886060165835005,0.77898801526304,0.670198872703712,0.600285582520256,0.489751853534235,0.321248728648723,0.180529533208565,0.104778522130457,0.0743188572394424,0.0646136088454508,0.0770120238536225
"[35,40)",0.0463367626268622,0.0559490313890132,0.06153085629558,0.146015742737908,0.369727992168267,0.604917649803703,0.747823123886571,0.833787097731897,0.737788832199549,0.642656983756439,0.515395456170406,0.334341287609139,0.185859133558175,0.106081774622433,0.073694383364215,0.0639173866901458,0.0914487258032432
"[40,45)",0.0416931188751815,0.0487121706217951,0.0527639949753239,0.123552913108503,0.302797897658291,0.474796358021209,0.560849650534683,0.643141780583226,0.701759483510543,0.632850816155072,0.501960529112368,0.319928194474594,0.173166212139975,0.0960632330827001,0.0656963899461197,0.0576777294052032,0.0990505266179231
"[45,50)",0.0305948483639601,0.0371837148811033,0.041211518678857,0.0963684211327478,0.22887036640506,0.34392620956655,0.390060991788737,0.434996462657588,0.491397781989631,0.530613074755977,0.435654344482969,0.269502575181723,0.140174470344971,0.0752827330424912,0.0514153094756774,0.0470300135867093,0.0938496303035423
"[50,55)",0.0168594503740345,0.0227074587080268,0.0262172474686341,0.0609739567469625,0.140662127070647,0.204594847801156,0.225778714201811,0.247502379436525,0.276524563161642,0.309082451680068,0.312094134841341,0.198073035539186,0.0991678677753902,0.0523069929170039,0.0362905920915466,0.0346285349179984,0.0690334345052067
"[55,60)",0.00653762089380694,0.0104404835263149,0.0130093106669579,0.029888573556998,0.0668331289956599,0.0950996984227123,0.103595334166517,0.112310581202451,0.123284515426753,0.133747936226685,0.138553413002596,0.110593288512229,0.0579218975075006,0.0307567264632264,0.0216007550445273,0.020260976156603,0.0318970839742608
"[60,65)",0.00195525804266965,0.00383863939189329,0.00550747419728257,0.0128565057022318,0.0280500574850493,0.0392510378658124,0.042494588433477,0.0455723225332593,0.0487086132026811,0.0507784785280202,0.0506348393670151,0.0422794540767826,0.0299713120403852,0.0176609166830391,0.0118422786692589,0.00961046218881595,0.00960596577944453
"[65,70)",0.000567944510037192,0.00133139052054186,0.00229814172817232,0.00578158491536832,0.0126855745959037,0.0175117226460927,0.0187265147015508,0.0197495565996428,0.0205163040088135,0.020706440871441,0.0202785796882722,0.0170461387647537,0.0134094992659859,0.0133698752278341,0.00910852851342165,0.00544172687992631,0.00306979623527616
"[70,75)",0.000194460559066935,0.000508962761084002,0.0010193420511666,0.00292173937529989,0.00691472773549465,0.00972781221726173,0.0102689277815737,0.0106069946969975,0.0108473791745138,0.0109331151632226,0.0108771025539048,0.0092554221121923,0.00695145930791849,0.00704189607379385,0.00673269022135236,0.00291263587383246,0.000982553458010424
"[75,80)",7.48819145702451e-05,0.000213396198310086,0.000459490683057587,0.00144956785977338,0.00384409141933519,0.00585285599152699,0.00633212281473189,0.00652493556967784,0.00675446142887351,0.00709293251218371,0.00736126651832619,0.00615725186308905,0.00400114451399469,0.0029838527327745,0.00206578656755858,0.00036352167897231,6.22318992665662e-05
"[80,Inf)",4.71354696364329e-05,0.000140081585659777,0.000307385914902124,0.000968146439306156,0.00277068218920141,0.00496097281171616,0.00650096053638586,0.00804134208331673,0.00999155357222845,0.0121920560687825,0.0126407128698591,0.00834970624691094,0.00344488445660055,0.00144991938022011,0.000600273408524836,5.36051748735332e-05,8.61624941427914e-08
