"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.880007491297499,0.351725834131254,0.056799747445056,0.0284092698117554,0.0369671117441231,0.0609935015751277,0.0782166633346785,0.0788878542419375,0.0760857126419631,0.0709531058639376,0.0561123182498781,0.0343213717905988,0.0152770105377338,0.00460706056868015,0.00105060714586925,0.000320221254760302,0.00178088258636519
"[5,10)",0.348844963043208,4.68151717807372,0.405267659594667,0.036969678018499,0.0430740839034508,0.0906643471434911,0.147023406485485,0.14928940780781,0.137308867236388,0.149786164067721,0.146731375572352,0.0908155442018043,0.0376832638259791,0.0149689829851251,0.00660753601342874,0.00323409330262678,0.0037866592384986
"[10,15)",0.0576376122456987,0.413715746442299,7.15224027794401,0.482032268162352,0.0693424197750947,0.0749316346844029,0.129582063404293,0.167240187052875,0.160308801032638,0.167404627012544,0.179860223232212,0.118063126849695,0.0390993224531808,0.0111506146113594,0.00544968209358164,0.00419929295746366,0.00265004621208359
"[15,20)",0.030637446071149,0.0402448920388496,0.507972544175103,5.86392827998352,0.358659278166438,0.0813405167076537,0.0742891800926306,0.10666369218211,0.13098768717972,0.134263095781143,0.123415940435945,0.077614542031591,0.0241254915224075,0.00494149486316959,0.00159680111811569,0.00138700710839975,0.00130879272032031
"[20,25)",0.0432212267334517,0.0508358662838344,0.0798952546431748,0.386763698379221,1.86465761282275,0.234218560076429,0.0712924490580501,0.0564712186068873,0.0774396812879779,0.097889938875874,0.0834473112099515,0.0436309771257749,0.0131305983603871,0.00273693376966058,0.000668595763918166,0.0004258749700101,0.000588805015760852
"[25,30)",0.0779701790083795,0.11699144728099,0.0943953488125659,0.0964182852110664,0.255743201431232,0.558281746388261,0.160150025783249,0.0487466914907851,0.0382218485237883,0.0566965881067589,0.064923932117681,0.0369544225025609,0.0109648363597818,0.0026356001159669,0.000730494443420005,0.000345231118463852,0.000289693626904367
"[30,35)",0.107257719038393,0.203511222326153,0.175111467039831,0.0944631336483027,0.0836163559315671,0.171744666264952,0.311122427336899,0.105471928853467,0.0355788630948649,0.035311471046368,0.0560523767155037,0.0516065954158766,0.0196403980927995,0.00480091298649287,0.00133235479601153,0.000531015085981592,0.000186421946616465
"[35,40)",0.111385192706126,0.212774178606567,0.23270107280513,0.13965016128071,0.068196629025501,0.0538415429659414,0.1085931157506,0.178841332295538,0.0742840421376185,0.0393083082322966,0.0492366899381077,0.0640621341475547,0.0370604588735766,0.00985329136262363,0.0021631967820655,0.000695958427512684,0.000178360830412248
"[40,45)",0.10994173078042,0.200276803576928,0.228274419272028,0.175508212280942,0.0957065023548805,0.0432042210211605,0.0374905879753385,0.0760192536038571,0.116290453113413,0.0745457606739292,0.0520212228673994,0.0484260746587815,0.0332336507802071,0.0117182898180686,0.00268300705760268,0.000802856492669277,0.000258197425918747
"[45,50)",0.103350244785729,0.220234020847979,0.2402967959432,0.181344449382635,0.121954151033231,0.0646029066785387,0.0375082357903727,0.040551519710121,0.0751450631480254,0.111584414855491,0.0781330078102488,0.0359389503139474,0.0163181316083405,0.00761529217090401,0.00314840331143417,0.00146994812930958,0.000670315374903948
"[50,55)",0.0766384139113517,0.202294416257642,0.242082752225461,0.1563029104616,0.0974807978736484,0.06936623878472,0.0558281268913176,0.0476277239617504,0.0491710402752519,0.073264093530823,0.0913071082830362,0.0445481992510036,0.0120999063425928,0.00507555420376414,0.00384551665872078,0.00345362261063587,0.0019543799659216
"[55,60)",0.0404614980037163,0.108071236289973,0.137161436407188,0.0848453275517985,0.0439937203763804,0.0340799363327887,0.0443663046383776,0.0534886214535928,0.0395090993904784,0.0290872463591518,0.0384530997294484,0.0475866067387423,0.021065157981434,0.00640820619913277,0.00373683681620813,0.00401085159528353,0.00322551976702921
"[60,65)",0.0147581635812182,0.0367464223756388,0.0372223335837375,0.0216111373478371,0.0108491793846201,0.00828611833860339,0.0138361402722851,0.0253563896407017,0.022218387491262,0.0108224172614389,0.00855830291478776,0.0172621138478022,0.0301698721797804,0.0132210680187147,0.00324220978109904,0.00192368077174788,0.00293059148095503
"[65,70)",0.00358137513500282,0.0117460216499556,0.0085421092531624,0.00356198225828061,0.00181973694089235,0.00160273029198717,0.00272157592938306,0.00542487705360133,0.00630420997750494,0.00406417465889292,0.00288882388252354,0.00422556756330911,0.0106391326541582,0.0162500621622605,0.0045281406738784,0.00126798549270898,0.00199746102279387
"[70,75)",0.000660963893645956,0.00419613579760179,0.00337869491193369,0.000931527596252149,0.000359765436561715,0.000359508644477566,0.000611262852222485,0.000963864747513095,0.001168153040576,0.00135983948465877,0.0017713475715465,0.00199417927727601,0.00211146825132457,0.00366466628375767,0.00446981015437667,0.00168657901680317,0.000702978284906699
"[75,80)",0.00016525710038841,0.00168474869464703,0.00213563274269879,0.000663737219770456,0.000187979513165231,0.000139371811170823,0.00019984236526156,0.000254375894866831,0.000286740105231889,0.000520801089951219,0.00130495806546273,0.00175577655947127,0.00102765901356152,0.000841779540520917,0.00138350358448655,0.000511247098301323,5.32825931030142e-05
"[80,Inf)",0.00132316839348402,0.0028399367377445,0.00194032152687576,0.000901691993346067,0.000374170688459364,0.000168373526176136,0.000101006098900627,9.38559909581382e-05,0.000132761540258689,0.000341915597603742,0.00106316467129438,0.00203283541874639,0.00225393388245051,0.00190911571417607,0.000830203108550115,7.67105792904061e-05,5.1570966047651e-08
