"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.07124135225729,0.560043305837346,0.20313693419598,0.12120369887447,0.146108297073681,0.305738931673211,0.544535664569387,0.52724504015268,0.340639344063227,0.248713514721759,0.229397912638009,0.210734331429284,0.183273556417287,0.161776515863989,0.130689113073412,0.0830374452640568,0.043267762722896
"[5,10)",0.563537038558007,2.48359537910201,0.959973210852194,0.251253239900839,0.157606635709789,0.198366913873115,0.339584303577908,0.427317548314677,0.323367105449193,0.208618027212123,0.176771749536806,0.188848447297697,0.201935140951845,0.206620229870873,0.188888832936374,0.137712575283205,0.0847346326281364
"[10,15)",0.213808755496102,1.00414134854385,4.04156969883728,1.17785562719381,0.334901473758344,0.229140971485226,0.258394408965566,0.333914124350518,0.338643634744299,0.241679663000985,0.153653278880193,0.121303284109434,0.122412295119634,0.12864307476948,0.118511683586246,0.088965364906403,0.0629119270076317
"[15,20)",0.138312223915625,0.284941368914871,1.27702723570534,4.19440554567692,1.34707773773615,0.520653907009626,0.392419241813651,0.381645621658212,0.419734655027469,0.407561181141346,0.285405356102525,0.165424400693835,0.119537211300212,0.118524811236455,0.118240890858353,0.0965030262224564,0.0788284985196244
"[20,25)",0.17743336158525,0.190210306494532,0.386403336975112,1.43353522814171,3.08264526203869,1.18850186081503,0.644416285320057,0.495128147750949,0.455384024623845,0.508216015663069,0.502147394242943,0.339125401510064,0.195560016491108,0.149890239135012,0.150147180140845,0.1350088062964,0.115000752437626
"[25,30)",0.364050440588981,0.234735729429928,0.2592250550147,0.543269418208839,1.1653336350462,1.7457367725077,0.884230405078312,0.56490635342277,0.447467608318038,0.446154531206545,0.531084910886372,0.517893175253492,0.351434187663753,0.213122271569183,0.161152434374652,0.136279378216899,0.114526145977024
"[30,35)",0.575127063446947,0.356438188753163,0.259288941910314,0.363197690999037,0.560458655523316,0.784317855839383,1.07344167011252,0.644130341452223,0.448429353885768,0.391265660262778,0.414660241758949,0.477719083575904,0.455194085261204,0.311731086622555,0.179169226001866,0.110103765192614,0.0847221468288114
"[35,40)",0.468647252767753,0.377470873102705,0.281988742187298,0.297268687965822,0.362402168203352,0.421695740688458,0.542088075764923,0.77684418955741,0.496179405158013,0.371852530118597,0.333461018471672,0.333241511849757,0.370978626736052,0.357577176513754,0.23436549303496,0.110885816392003,0.0605723381395449
"[40,45)",0.260204975169141,0.245479806661741,0.245769006096601,0.280964160644508,0.286442976325207,0.287059268419057,0.324322699807686,0.426408594806534,0.57671007962481,0.372754368260898,0.283373240773658,0.242820403303644,0.241606474747085,0.280295708389222,0.261036228352178,0.140487136742387,0.0531655241125037
"[45,50)",0.16848950491907,0.140450874836596,0.155552495945292,0.24194775177966,0.28350545181491,0.253832928426006,0.250961861807778,0.283407042253598,0.330579122607398,0.424879361597463,0.286819442798441,0.217820006702568,0.191950337544393,0.198333849825695,0.215195169334539,0.161444861516212,0.0681177522181787
"[50,55)",0.137870129514763,0.105582691089308,0.0877376427610912,0.150313556390618,0.248514385589815,0.268061144167436,0.235958508968823,0.225471794584683,0.222955797857467,0.254457842274368,0.387301295702359,0.278526892818932,0.214358426769275,0.189705977700776,0.180633628337264,0.163534860593534,0.111703967040794
"[55,60)",0.107940021932088,0.0961301836029133,0.0590314125072308,0.0742509624775898,0.14303658328324,0.222780194581512,0.231676681405492,0.192031613867454,0.162821441769523,0.164691621677463,0.237374258319125,0.398786727337698,0.280283955930073,0.218568324292676,0.192157106032876,0.166592783494751,0.152799809640956
"[60,65)",0.0749278388806963,0.0820454395695614,0.0475479555253202,0.0428254394798002,0.0658359433330561,0.120663686432983,0.176198632824955,0.170631306400272,0.129309722444747,0.115840069646677,0.145815347906366,0.223714652330711,0.329628828111245,0.243281363094952,0.20425324869358,0.158940031155616,0.12329228613678
"[65,70)",0.0490821455920217,0.0622988524422763,0.0370815501746031,0.0315117587683106,0.0374473433152505,0.0543032822764157,0.0895469296886825,0.122051825576986,0.111327824258108,0.0888242264643947,0.0957653401467774,0.129463718217106,0.180540026872768,0.279719769737287,0.212397248531289,0.128397721838466,0.0755836198703409
"[70,75)",0.0274540810113725,0.0394341903672471,0.0236533182979939,0.0217665953076578,0.0259731293817325,0.0284310928285617,0.0356363686268674,0.0553895192988888,0.0717872799049027,0.0667308334371778,0.0631372096096294,0.0788091677877046,0.10495256907374,0.147064660678654,0.228460386795308,0.113142076120384,0.0598119119180163
"[75,80)",0.01130776513258,0.0186369802598623,0.0115103140366674,0.0115159306843931,0.0151392547167495,0.0155855497712825,0.01419604919875,0.016988116320038,0.0250448579752073,0.0324529034482466,0.0370537718867833,0.0442906217162326,0.0529410675921825,0.05763045612737,0.0733431306106629,0.0877852862931246,0.0427264462085318
"[80,Inf)",0.00470509479082434,0.00915722813460095,0.00649980509366205,0.00751177380158666,0.0102977944358334,0.0104591831214582,0.00872295063852067,0.00741045208420256,0.0075685598439861,0.0109342947571164,0.0202111866612993,0.0324399026964996,0.0327941549457978,0.0270909081539969,0.0309616518411624,0.0341191269168527,0.0100079196847546
