"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00394536441151765,0.00635252977732264,0.00475133561332615,0.0049556673862183,0.00992985307503531,0.0215912192701453,0.0356652614861508,0.0433422233987636,0.0447503061247862,0.0422137293078492,0.0326228236816739,0.0180776648869349,0.0074654009693218,0.00288045069982158,0.00127770833728354,0.000691225604713209,0.000503188463833338
"[5,10)",0.00639215892905194,0.0146912795661029,0.0112280457115575,0.00920668794657855,0.0192636687897919,0.0364076758899487,0.0492840539687784,0.0524432056437897,0.0523707030348362,0.0514375381532933,0.0441096888793827,0.028968810816821,0.0146828961317683,0.00675943175303715,0.0033488148311089,0.00197337467964243,0.00149980346207158
"[10,15)",0.00500094755515747,0.0117446454076636,0.0353929851973463,0.0303836974066452,0.041268624340155,0.0566013871614846,0.0625810641494266,0.0606122121689301,0.0596105485451753,0.0599371012751339,0.0535559702265203,0.0379501089848283,0.022119522581079,0.0122348220796342,0.00703834754480416,0.00446348975575217,0.00345919615887312
"[15,20)",0.00565518530819661,0.0104411241331872,0.0329419057938,0.142617399556115,0.180009821226479,0.178229375208777,0.17055484526309,0.156734199923634,0.152034291373186,0.15259930532094,0.135535184088239,0.0948315615775602,0.0561123006454605,0.0333777494296376,0.0218494410804257,0.0152653002612043,0.0118239163697214
"[20,25)",0.0120587758973239,0.0232486933574453,0.0476150014464097,0.191563124317768,0.539951281012569,0.542005893845909,0.473729361846513,0.418962761735631,0.393277702959308,0.382511866465349,0.330044910962515,0.223939637980212,0.129352058374854,0.0773538218071193,0.0545373106575373,0.0426832775013732,0.0356882725984597
"[25,30)",0.0257091658073535,0.0430827005875691,0.0640326241341356,0.185971079202152,0.531440226823688,0.85527224880382,0.78560511770986,0.670496727092944,0.603125084724927,0.562192288808379,0.469698989378765,0.3119075124998,0.177215107262513,0.104564619009269,0.0750948707257999,0.0635708582157153,0.0623151421740301
"[30,35)",0.037668895611857,0.0517300674558838,0.0627977128912596,0.157854456121875,0.41200963922032,0.696836613986456,0.837310779486565,0.735625171610132,0.632031265885366,0.565516941637876,0.459826897965244,0.301501944046365,0.170259483376979,0.0992462731632824,0.0703702916762861,0.0610564233416365,0.0721810640481873
"[35,40)",0.0385251872996183,0.0463256954944624,0.0511866980887708,0.122082286096283,0.306653972187074,0.50051767385424,0.619088417513951,0.69100356397223,0.610197503728648,0.530721523648306,0.42415208357008,0.275066526875844,0.153675811253964,0.0881070351138195,0.0611821849227075,0.0529443912140133,0.0748717209689888
"[40,45)",0.0341835213604983,0.0397565177134287,0.0432620718823877,0.101769502596954,0.247377223764178,0.386916599923509,0.457111214372081,0.524393913601727,0.573052836737309,0.515931702590884,0.407710191809999,0.259714883024061,0.141263709226622,0.0787084738995714,0.0537890549901407,0.0471130903679667,0.0798302648782122
"[45,50)",0.0285974421608096,0.0346300237310029,0.038577369677294,0.0905902243735395,0.213382097739159,0.319850870102866,0.362728445072243,0.404488890339184,0.457556675629513,0.494539533025244,0.404469579545311,0.249959060037642,0.130628037944166,0.070458936355516,0.0480806840147065,0.0439000953958749,0.0863123216032725
"[50,55)",0.0196065991813407,0.0263459498884896,0.0305810238330279,0.0713818963125625,0.163340304470867,0.237077058538571,0.26166016970277,0.286793136714127,0.320783115799652,0.358833611391703,0.361256860597321,0.229168173574379,0.115340946848491,0.0611263711960712,0.0423710939062019,0.0403457241379402,0.0790438664783735
"[55,60)",0.00925954271969913,0.0147460947782599,0.0184681606489459,0.0425652726614296,0.0944534397474926,0.134172102754838,0.146217666899773,0.158508070569247,0.174149911323972,0.18899165220753,0.195308340541216,0.155372353344175,0.0819067326166414,0.0437072948261557,0.0306560795441236,0.0286646411052048,0.0444735885544933
"[60,65)",0.00305208439200876,0.005965601933407,0.00859176829336131,0.0201028107417483,0.043546809506269,0.060846180834207,0.0659048286607071,0.0706830597414502,0.0756054698067662,0.0788326876985113,0.0784596180614114,0.0653756157753387,0.0464828348196426,0.0275249292008574,0.0184441708377496,0.0149292736218531,0.0148573871213282
"[65,70)",0.00087391362005933,0.00203806201183333,0.00352670495194765,0.00887402036150516,0.0193254419945835,0.0266429312168014,0.0285091844419639,0.0300735762462839,0.0312614245871641,0.0315551809475939,0.0308571601194515,0.0258889705071275,0.0204263548772304,0.0203410672317795,0.0138830061025859,0.00829369671148202,0.00471209566031276
"[70,75)",0.000268410331784745,0.000699129744737696,0.0014047583304139,0.00402219518344016,0.0094341074172103,0.013248507531636,0.0139964976715934,0.0144596875958142,0.0147924675849509,0.0149095545520501,0.0148100476194292,0.0125729418306951,0.00947726964558979,0.00961264609496906,0.0092687615107564,0.00401509142850541,0.00137046179900514
"[75,80)",9.41288206407026e-05,0.000267061630894456,0.000577485056597094,0.00182164380295433,0.00478630267140008,0.00727026192581583,0.00787221025676355,0.00811127613704543,0.00839892309288435,0.00882459524491015,0.00914154482651896,0.00762082696014378,0.00497276663512713,0.00372257013302851,0.00260273971587102,0.000460777710232912,7.99788163822095e-05
"[80,Inf)",5.47185542073869e-05,0.000162082988186502,0.00035739011476619,0.00112673191658107,0.00319572252527874,0.00569097543340575,0.0074317269131584,0.00915984618959673,0.0113645101252733,0.013854895894955,0.0143018227744928,0.00944188928416841,0.00395187298908546,0.00168892348587385,0.000709419908538804,6.38669402431921e-05,1.04520376224229e-07
