"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.707488291331106,0.371124622196968,0.134320710844984,0.0801882676409235,0.0979339409179927,0.20522836219083,0.362354243443071,0.350032361402728,0.225893229200903,0.164905551829572,0.152157134048417,0.139535194008026,0.121379541423757,0.107016976036412,0.0860032037798774,0.0542525067933143,0.0282895847687429
"[5,10)",0.357050113204305,1.57068025391077,0.604904726056118,0.157660435242838,0.0997799662289616,0.126791091503047,0.216413068610463,0.271626271016718,0.205071926865489,0.132008209678621,0.112420090188148,0.120226697271071,0.128409009252015,0.131391803194954,0.119832541160728,0.0869636580271984,0.0528408067955287
"[10,15)",0.131545582433643,0.615759126822328,2.49541011115175,0.716282181030766,0.204678492349542,0.14149101983649,0.159816015476748,0.206324984485651,0.20912066119504,0.14855544616186,0.0943989384559711,0.0748952983667556,0.0755968678016987,0.079464192709207,0.0730549290336987,0.0546328002290551,0.0385004562964641
"[15,20)",0.0914175443184478,0.186823728117748,0.833814763361764,2.77980051530101,0.88672268420022,0.34653372750019,0.261702467155507,0.253785150403671,0.278892100511344,0.270964178953016,0.189254452410463,0.110018514657509,0.0795310461847115,0.0786664466943617,0.0784867862613349,0.0639266321515054,0.0524995453851003
"[20,25)",0.142072459100826,0.15045638141766,0.303190499937141,1.12835502033062,2.41626505307115,0.943455501122228,0.513386946181733,0.393870083748647,0.361063127519524,0.403413220535963,0.399093272961773,0.270664366685954,0.156921468477878,0.119460737192164,0.11936246473571,0.107102699036204,0.0915009711991523
"[25,30)",0.350970319421827,0.225378428104956,0.247074884972588,0.519828159646181,1.11218687657651,1.6530486376715,0.845240612938635,0.539470475748496,0.426837518741682,0.425571870629645,0.50704239028133,0.494476984806714,0.338088758427507,0.204717600621938,0.153565303909722,0.129427399474985,0.108668201167075
"[30,35)",0.602375998961503,0.373945562918926,0.271282213205788,0.381613214533691,0.588304896606495,0.82164014880053,1.12082383041165,0.673984716915205,0.468712114556441,0.408886392559167,0.434199592492842,0.499467876999512,0.476546352418889,0.327060088250406,0.18639423325095,0.114386229087685,0.0881528373046415
"[35,40)",0.50227929762347,0.405134702792718,0.302312158987311,0.319436521172445,0.389595031136683,0.452659615593293,0.581772007849014,0.832697421908669,0.53136331789491,0.397960588575843,0.357119095260385,0.357392426052582,0.397462601283682,0.383634237877709,0.249518742636759,0.117479029515655,0.0643237511328561
"[40,45)",0.283122388948123,0.267157767621244,0.267629915545762,0.306611538164501,0.31194460104347,0.312824367645459,0.353380736113945,0.464114877240836,0.62776921570558,0.404487172102064,0.307912088183236,0.264264789224591,0.262903121096483,0.304978280672131,0.283324823952083,0.151109896632101,0.0563081752870973
"[45,50)",0.199988594435397,0.166403127864084,0.183960779965365,0.288245882853519,0.337243362719993,0.30179348044148,0.298289729835606,0.336335674852735,0.391384573210884,0.50413395698871,0.340278258334597,0.259020917464947,0.228435289803111,0.235341754094191,0.255231287416821,0.190532995781272,0.0783207398484775
"[50,55)",0.19604338023519,0.15055472341456,0.124192018703609,0.213888408201939,0.354452140659266,0.382006823227686,0.336523166082257,0.320653404137378,0.316530527320708,0.361513161331181,0.553153520941581,0.398884922734422,0.306983146780471,0.271188289780541,0.257377307532491,0.232642247318984,0.15645802551775
"[55,60)",0.177656087969038,0.159106471414973,0.0973683033835781,0.122869302138893,0.237547657236608,0.368136945677372,0.382533600502596,0.317106101340742,0.268450758303468,0.27193256580018,0.394170476511426,0.65904848075292,0.465219289285496,0.361824326445845,0.317437986143309,0.274952518327036,0.251016862138398
"[60,65)",0.126773459814161,0.139401978975305,0.0806219625243606,0.0728619560657565,0.112976612242837,0.206481225661778,0.299401307343756,0.289295741459683,0.219082451594661,0.196732493439122,0.248849929222555,0.3816315137793,0.5596026785696,0.412405026604933,0.345511634672971,0.268082700676329,0.209086442942641
"[65,70)",0.0767458088114913,0.0979401711549895,0.0581889045537963,0.0494849124797836,0.0590541627120826,0.085846810353358,0.141089675323193,0.191726556111265,0.174501797060806,0.139165321602578,0.150943029436224,0.203799643823416,0.283167294806054,0.438334248227308,0.331068375713274,0.199593859422917,0.118579446528531
"[70,75)",0.0448624180294589,0.0649730733814907,0.0389120655192393,0.0359125195126225,0.042919945272143,0.0468412137423347,0.058487924717008,0.0907056084411576,0.117918426469449,0.109782219850232,0.104202572017982,0.130056064832783,0.172563076029534,0.240815121278413,0.375484116473021,0.184700175358953,0.0998333073631573
"[75,80)",0.0218496066969968,0.0364042599473503,0.022466943245261,0.0225832748010697,0.0297336046608747,0.0304801449092041,0.0277117051176696,0.0329721360866699,0.0485563152065738,0.0632738206163771,0.0727197765498046,0.086973146383415,0.103373626738236,0.112090549291772,0.142601165026843,0.169117282318194,0.0830779434975339
"[80,Inf)",0.0120972415883195,0.0234865817661243,0.0168109544271032,0.01969230727439,0.0269717309023567,0.0271724780906589,0.0226757556293023,0.0191687619215814,0.0192114539618256,0.0276163711804576,0.0519275417332845,0.0843075256091658,0.0856057239908661,0.0707077808788582,0.0818402960789169,0.0882107885659691,0.022830298278718
