"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.54074762836065,0.784265919117556,0.182663178531958,0.0900009776616428,0.115210570522076,0.189533193305677,0.244439238473182,0.247449858708743,0.23862825655243,0.222365595198836,0.175687575220117,0.107314193493759,0.0477117890174844,0.0143901053317036,0.00330043496100415,0.00100262880756131,0.00349423865804463
"[5,10)",0.682342779617285,4.99522772821246,0.645214896860682,0.101416951641011,0.117570353755208,0.247628710906006,0.404877097735794,0.413304169870729,0.379452655612144,0.413003979009993,0.404921106209027,0.250373003134655,0.104203266984626,0.0415586308963436,0.0183457605095579,0.00897099174740435,0.0086002446751484
"[10,15)",0.135340344147469,0.561154069679038,7.50096802278356,0.719010719856997,0.159911351797116,0.172405884146532,0.299416073756977,0.387965319258493,0.371416477161405,0.387237669438555,0.417622395369696,0.274215907929749,0.0911469533275617,0.0263101393414407,0.0129195045234379,0.00990520893524991,0.00683334657123706
"[15,20)",0.0561497601154524,0.0731818553647153,0.616057714358534,6.32147964625451,0.572215811207751,0.149791359665645,0.137214890779794,0.197701459333261,0.242588431617309,0.248653079861053,0.229816060510096,0.144967130273737,0.0451034470307314,0.00931290389809564,0.00303515239257065,0.00260916230959855,0.00276161136511981
"[20,25)",0.0596474177483164,0.0704027024184074,0.111738374275415,0.47908471149853,2.14711865453715,0.326127275227625,0.100775084710041,0.0802077032340447,0.109991454722191,0.139043117686302,0.118706017515525,0.0621593583818936,0.0187430132908132,0.00391938905056634,0.000962467151642715,0.000607762963677963,0.000896365932173654
"[25,30)",0.0811751399197079,0.122667905006112,0.0996583251607681,0.10283095068597,0.270404789078091,0.593532633817532,0.171453989100135,0.0522564179415203,0.0410256062121395,0.0608208595714377,0.0695778472963151,0.0393282538200565,0.0116569013285433,0.0028124574633329,0.000782097479898059,0.000369807439139859,0.000337490531570438
"[30,35)",0.0866520416345723,0.16600580465904,0.143253988630316,0.077966572731086,0.0690020081088488,0.142023692458731,0.26597206580886,0.0875056856120972,0.0293258959504392,0.0289440973180724,0.0460636673665144,0.0421096276877308,0.0159240053093433,0.00391505924374332,0.00109774499520126,0.000442167584953645,0.000183466913135071
"[35,40)",0.0716222113078587,0.138363802136197,0.15155740292109,0.0917211966946648,0.0448412051408428,0.0353152581954455,0.0714915235295862,0.123525751128017,0.0488262207849639,0.0254372045406275,0.0320123217777119,0.0417479747498578,0.0240134435866729,0.00640486539250451,0.0014253316777253,0.000464457346505448,0.000144445783161132
"[40,45)",0.0552642819163729,0.101641822813407,0.116093408861947,0.0900517323144272,0.0492019470569442,0.0221840024267888,0.0191587016661156,0.0390872716240949,0.0625625376181098,0.0378654224942422,0.0263950578010213,0.0249003636623857,0.0171427372011782,0.0060392669739902,0.00138920505222218,0.000417184174541846,0.000156972986314997
"[45,50)",0.0409056897196555,0.0878744353822268,0.0961429532326397,0.0733177774417204,0.0494044767459091,0.0261234730055498,0.0150199421017908,0.0161668345302731,0.030084655685825,0.046457163454621,0.0313236805204172,0.014439446455406,0.00662624967580711,0.00309696901988315,0.00127389541003308,0.000591685311175946,0.000307350816609588
"[50,55)",0.0260958204191077,0.0695652749656294,0.0837215808692479,0.0547154031900163,0.0340567594218652,0.0241303225874087,0.0193010324077821,0.0164280707454942,0.0169289436916764,0.025296431029387,0.0324979992210427,0.0153923394111741,0.00417759672892221,0.00175839304264151,0.00132785771717905,0.00119269424272323,0.000778369437586268
"[55,60)",0.0130423340672195,0.0351947462120119,0.0449794907130015,0.028240151209244,0.0145916820293842,0.01116002203314,0.0144368245313736,0.017529642160797,0.0130671591575579,0.00953965287694283,0.0125956253155003,0.0158552155797588,0.0069093502016029,0.00210631577241934,0.00122514609716694,0.00131013005290097,0.0011806296015837
"[60,65)",0.00467316673425106,0.0118048125611649,0.0120490128019651,0.00708100060062654,0.00354589334569197,0.00266582066024661,0.00439977037605348,0.00812605024328225,0.00725008468762459,0.00352807041726802,0.00275474994748116,0.00556885103069461,0.00981937609422085,0.00428798572789026,0.0010586279031101,0.000619747024292959,0.000929556149243471
"[65,70)",0.00108558350072694,0.00362620772060331,0.00267883610356612,0.00112611749222015,0.000571108095679542,0.000495390253467865,0.000833162514161422,0.0016693551937541,0.00196725576520051,0.00127004759275738,0.00089306961125757,0.00130744848750839,0.00330290670566384,0.00507261506357035,0.00142172519741927,0.000395528055101735,0.000575737852017088
"[70,75)",0.000178670665281452,0.00114870888620799,0.000943955819034172,0.000263367328884552,0.000100639546747851,9.88564922032644e-05,0.000167639232453334,0.000266586097772239,0.000324732507914234,0.000374886431433223,0.000483953585044956,0.000545722427702882,0.000585113121163398,0.00102026862346863,0.0012523259086333,0.000472289539204224,0.000218018421976764
"[75,80)",3.42423727143552e-05,0.000354369482109484,0.000456573863013681,0.000142831530449523,4.0092079505836e-05,2.94891020674718e-05,4.25993228134934e-05,5.48035880003543e-05,6.15217717226905e-05,0.000109849562815916,0.000274235003869848,0.000368162818750773,0.000216098895134648,0.000179061287976942,0.000297961335656152,0.000118371808708691,1.62028330050626e-05
"[80,Inf)",8.83233778503284e-05,0.000251435212037892,0.00023312040423349,0.000111888380806933,4.37632058152788e-05,1.99180552487078e-05,1.30819649746735e-05,1.26144249796764e-05,1.71326823624831e-05,4.22319709832939e-05,0.000132458238339689,0.000245549254360291,0.00023989056025536,0.000192907284545109,0.000101796822482173,1.19919872155455e-05,1.14365365585052e-08
