"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.965572758752093,0.392830170926909,0.0699947896353163,0.0350010612952591,0.0454303968808497,0.0750968472452177,0.0967588320930871,0.0975919820848042,0.0941271221454118,0.0879288433200031,0.0697381768421925,0.0427577614986804,0.018995176065958,0.00566244238290769,0.00131558843360535,0.00040641397161308,0.00136525545567351
"[5,10)",0.408837846166532,4.7502307862231,0.440260886680357,0.04813599829281,0.0555896410006886,0.116601054121143,0.190460222092902,0.193711455657925,0.178205392512121,0.194328918818318,0.190955405683241,0.118734041098517,0.0490487708613621,0.0192919277041123,0.00861487551574387,0.0042832757195977,0.0040074199943111
"[10,15)",0.0771376606940307,0.461292545782585,7.24849596068085,0.540756992590463,0.0930251528329278,0.0995868393016382,0.172534061930744,0.223472812385211,0.214153263239642,0.223535408640449,0.240471896949701,0.158829236194439,0.0524254804577952,0.0147660921780663,0.00728490856828031,0.00563830567030142,0.0039255043677351
"[15,20)",0.0402512608142461,0.0530143779804966,0.561227596522178,6.02310101707056,0.439946940459229,0.107208973248605,0.0974727178676348,0.140484584771476,0.172227474893508,0.176408242906395,0.162524322217648,0.10280683784222,0.0318688381164974,0.00642460575501866,0.00210812355063852,0.00181927141929752,0.00195005990716211
"[20,25)",0.0525487050404208,0.0615793029175479,0.097637157646198,0.442323400123081,2.00700697604488,0.283930985949696,0.0869109532459604,0.0691380265454838,0.0950526625700563,0.11963143377127,0.102232318253798,0.0537554313201961,0.0161237489044124,0.00329982772039925,0.000819240414850767,0.000520259723809403,0.000766168688587682
"[25,30)",0.083542302013615,0.124226034428249,0.100527742718263,0.103709274176761,0.273226510625281,0.591456435721641,0.171139529022095,0.0519141219508389,0.0412511694637638,0.0610564751955637,0.0698290930513578,0.0398579106424094,0.0117673975492439,0.00278272566727797,0.000781399188371782,0.000372758948696355,0.000337683082808117
"[30,35)",0.102713140078505,0.193626630006943,0.166191758865249,0.0899746548025636,0.0797617023860509,0.163338589535453,0.299332307115083,0.0994934459201595,0.0336987131622148,0.0336284427833957,0.053310170588624,0.0492778345266361,0.0186837168445133,0.00449841256836312,0.00126855591339368,0.000515252963833379,0.000214425718730186
"[35,40)",0.104564222663607,0.198769475161163,0.217266574773852,0.130887861291202,0.0640428228571294,0.0499999711949275,0.100421427321683,0.167562085692035,0.0692013201138148,0.0367802451555199,0.0457864879014749,0.0598397149279976,0.0347313625312129,0.00909859713974244,0.00203004827655272,0.000666784104602778,0.000210320312070698
"[40,45)",0.11073246055445,0.200773515283972,0.228604152350251,0.17618313292832,0.0966738398459455,0.0436226155176011,0.0373454844811601,0.0759692399691878,0.11628564801288,0.0750784233233707,0.0522321079161252,0.0484262006625764,0.0332454459986299,0.0115897981619956,0.00270067628696688,0.000825279499021537,0.000316731446592875
"[45,50)",0.104700053541924,0.221604405367948,0.241524459267529,0.182656925131545,0.123153104446313,0.0653525501244416,0.0377213226213184,0.0408753221617386,0.0759917813279402,0.112212055544328,0.0788376129960297,0.036391828244867,0.0164924233402636,0.00762248124006268,0.00317255030241982,0.00149798457310549,0.000786839274706095
"[50,55)",0.0714140951365175,0.187271080873051,0.223448233728468,0.144721627025409,0.090507812834031,0.0642783938309579,0.0514266259716492,0.0437604425573368,0.0454664170782768,0.0678037273691069,0.0845997860336837,0.0413571550602823,0.0111733294026462,0.00466331867441806,0.00354176212795509,0.003184074564496,0.00209363754407
"[55,60)",0.0343974653991043,0.0914770483281319,0.115942104166511,0.0719176036222554,0.0373868043739017,0.0288231391022598,0.0373445910645467,0.0449295452812251,0.0331155299609828,0.0245866756791215,0.0324915382682213,0.0402123381322014,0.0176153918320129,0.00530483225283423,0.00313846845297566,0.00336579343827315,0.00303825008260794
"[60,65)",0.0114442541448168,0.0283007347308529,0.0286606369646847,0.016695988042177,0.00839836429879268,0.00637294048450174,0.0106040571200253,0.0195297649749111,0.0170261385923276,0.00834474559227564,0.00657375364288439,0.0131931822522247,0.0231707436085965,0.0100003774418301,0.00249451924627594,0.00147799038272827,0.00220613561172522
"[65,70)",0.00290066347666518,0.00946443271493407,0.00686370128512843,0.00286181633076528,0.00146140076337924,0.00128138374676057,0.00217078816834077,0.00435009771121493,0.00504672050769196,0.00327924882227496,0.00233278813078057,0.00337795394450367,0.00850299345572823,0.013062387319653,0.00371283902238117,0.0010461489904589,0.00149431037113497
"[70,75)",0.000571790985176138,0.00358584634054544,0.00287303297948851,0.000796737102574774,0.000307831556952076,0.000305285009629078,0.000519387487417576,0.000823483020350277,0.000997768109427682,0.00115800445611448,0.00150322260816809,0.00169560052757822,0.00179953354261314,0.00315015857733102,0.00382254434944562,0.00146999025166117,0.000673069625599356
"[75,80)",0.000120302447783626,0.00121424766606966,0.00151444567574071,0.000468279402710432,0.000133140613280405,9.91857265812314e-05,0.000143678221744599,0.000184213773075171,0.000207657069826793,0.000372389675443456,0.000920398104385185,0.00123845950827562,0.000726161587976698,0.000604513249488497,0.0010011650526172,0.000395021186642682,5.51636367525757e-05
"[80,Inf)",0.000287051099415864,0.000806929450559061,0.000748927895704231,0.000356529090940374,0.000139268919448704,6.38219198692693e-05,4.24704418821635e-05,4.12721921422003e-05,5.6607804135358e-05,0.000138936316199284,0.00042986634351097,0.000794067333458304,0.000769898243277466,0.000613327663986495,0.000325602723248477,3.91825410888828e-05,3.85936472341531e-08
