"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00328140955622799,0.00523716619347012,0.00391539961243151,0.00407116524439294,0.00815911843233431,0.0178142431604004,0.0294751468924829,0.0357326539647762,0.0368269989878892,0.0347346253092837,0.0269323960692701,0.0149828927824654,0.00615005143620392,0.00233947086470527,0.00104584416554606,0.00057162853117863,0.000414770453952729
"[5,10)",0.0054685343462255,0.0125695567676671,0.00960953378054524,0.00782246916860274,0.0163819872705921,0.0310545137255123,0.0420529658799937,0.0446649781929131,0.044609106900096,0.043797507923395,0.0376338056876432,0.0247877298641268,0.0125043597939502,0.00568775497685664,0.00283581786242986,0.00168596743968048,0.00127876242121548
"[10,15)",0.00431496070434496,0.0101421138401703,0.0304135459982215,0.0260041795256688,0.0353748190715306,0.048624530375326,0.0537641493765843,0.0520262480200181,0.0512314589327532,0.0514832362056801,0.0460677815387103,0.0327130982779966,0.0189851574281354,0.0103995519219976,0.00600660073291786,0.00383687214102656,0.00297087591180137
"[15,20)",0.00468184472143849,0.00861524330964235,0.0271356781504339,0.11643584324876,0.147791433548155,0.146553565100717,0.140236029163921,0.128828899060508,0.125196651483034,0.125621342324292,0.111756461177768,0.0783736165611181,0.0461871352682258,0.0272643645346178,0.0179062122284275,0.0125750217690106,0.00974271541239917
"[20,25)",0.00943753824152322,0.0181471104753979,0.0371286332912124,0.14865053398104,0.420734176387225,0.422279275951449,0.368790604718422,0.32599738539091,0.306567369125107,0.298253996253781,0.257826829887652,0.175335379039967,0.100844243405224,0.0598940449375715,0.0424008087272562,0.0333027742183606,0.027842360658729
"[25,30)",0.0198176479685027,0.0330852848655207,0.049083938336084,0.141769512421011,0.406133687566751,0.656024834425822,0.601787462638805,0.513082145467566,0.462214355714965,0.431170524702243,0.360940552026179,0.240190135294182,0.135850996965203,0.0796021523875754,0.0574482472174222,0.0487819554844669,0.0477072833690953
"[30,35)",0.0312889772035436,0.0427520979218874,0.051787794530538,0.12944840967747,0.33845407693408,0.574240462582042,0.690811131544546,0.605889792583333,0.521151248588033,0.466849155761926,0.380359988866143,0.249885022051335,0.14045909523587,0.0812756585247216,0.0579144090631958,0.0503903940027866,0.0591601468549192
"[35,40)",0.0382854933952227,0.0458312299772701,0.0505813865454009,0.120028393848046,0.301972645845518,0.494164044964558,0.611543313359463,0.683019861221737,0.603884041419373,0.526121295313513,0.42137859938699,0.273765100564177,0.152186987677719,0.0865595129137403,0.0604051632939032,0.0524230765797879,0.0731509269330067
"[40,45)",0.0433237957330241,0.0502584522261391,0.054688516372889,0.128072122662511,0.31179605014168,0.488786121416057,0.577548637326139,0.663047661721314,0.724288899318143,0.653401260833713,0.517526276662145,0.330236408223744,0.178636079829838,0.0986793003070321,0.0678076368354617,0.0595881127163185,0.09887947774181
"[45,50)",0.0413597744758841,0.0499448088271207,0.0556263585332911,0.130071065511534,0.307033898986782,0.461508680897984,0.523668839898851,0.584699132677302,0.661356067307034,0.713543777338518,0.58504655066026,0.362342284620413,0.188360203111399,0.100753409500296,0.0691862111018647,0.0633285957150476,0.121106238745048
"[50,55)",0.0275796239912824,0.0369076928892086,0.0428065172986383,0.0995148090547913,0.228257980075652,0.332249467075828,0.366921183444382,0.40273265844379,0.450490445100809,0.503139284527341,0.50656182567033,0.322128930174117,0.161271514482385,0.0847676129094178,0.0591428262968791,0.0564091878976894,0.107794948812918
"[55,60)",0.012053332962233,0.019097373775428,0.0238798947790293,0.0548255622737417,0.121945436116859,0.173692839614342,0.1893722411162,0.205551471911548,0.225827207608959,0.244801997218993,0.25306254069587,0.2018062760841,0.105747799999366,0.0559734702912976,0.0395151891353107,0.0370408449140869,0.0566668788378663
"[60,65)",0.00370529609176661,0.00721491208226167,0.010379050416204,0.0241973006772882,0.0525266610497404,0.0735736440276117,0.0797184137023374,0.0855761445844361,0.0914856925937545,0.0953054588913354,0.094883017193692,0.0791961426650843,0.0561621494422137,0.0330007459743394,0.0222337825897751,0.0180594458373228,0.0178972489746891
"[65,70)",0.0011984259146648,0.00279035745432616,0.00483400868902891,0.0121448080471173,0.0265253856898466,0.0366550341185351,0.0392209996789534,0.0413846588904584,0.0429694151341841,0.0433448753809353,0.0424043251331882,0.0356421835312568,0.0280590612734865,0.0280843323578785,0.0192048740989077,0.0114881965323979,0.00652152415554987
"[70,75)",0.000454552693291382,0.00118037771826927,0.00236889205108673,0.00676741343961797,0.0159322058945494,0.0224444675217656,0.0237120170195225,0.0245031740813989,0.0250516131594809,0.0252534816221914,0.0251018646618591,0.0213486216443118,0.0160393380845627,0.0162942798589821,0.0155157051296153,0.00676891326156686,0.00233899506689623
"[75,80)",0.000169207547788779,0.000477947758379124,0.00103058166089762,0.00323680327223341,0.0085225735924847,0.0129801677885981,0.0140513547937035,0.0144830278141143,0.0149935784153732,0.015743096176035,0.0163058083469095,0.0136293529058484,0.00887291014911871,0.00663841104842625,0.00461007006472725,0.000831835748214604,0.000148085095899399
"[80,Inf)",8.72073532594768e-05,0.000257490120679094,0.000566798973225325,0.00178125885082601,0.00506099445409342,0.00901665073370623,0.0117176129506067,0.0143547671740958,0.0176722272740088,0.0213843604671018,0.0221324940539047,0.0148102743851701,0.00624579036387398,0.00267670709727921,0.00113150725345538,0.000105184273206979,1.8123503162269e-07
