"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00603693038314454,0.00995669492423676,0.00748917565898987,0.00773659527983247,0.0154601659176062,0.0337592860158606,0.0560071200528982,0.0681860382494831,0.0704446971643297,0.0664624138484796,0.0513906651697768,0.0284705648206674,0.0116903961471671,0.00447861620307874,0.00198945285442344,0.00107962479003918,0.00078601769442474
"[5,10)",0.00892541955286132,0.0203666041771761,0.0157584086842978,0.0127187956306859,0.0268604806017086,0.051172270044344,0.0695608709501159,0.0741266837302261,0.0740459287170913,0.0727311329419202,0.0624084528084425,0.0409923422474056,0.0206785806155825,0.00945489176996793,0.00468717784169152,0.00276959793699201,0.00210424673551082
"[10,15)",0.00614506833032021,0.0144241961385095,0.0435579441463007,0.0368270588891465,0.0503490026175893,0.0694219819456339,0.0769431225826663,0.0745766871239041,0.073337857805322,0.073736895337186,0.0659444393437341,0.0467647695311543,0.0271673827734693,0.0149449011509121,0.00859310284032832,0.0054605726047865,0.00423034385652512
"[15,20)",0.00601764160765462,0.0110359313432576,0.0349100746472983,0.149571144351912,0.191194514911813,0.190005965912955,0.182086253091609,0.167413505836577,0.162430362831827,0.163110117532567,0.145080848051083,0.101661674239953,0.0600282722831529,0.0355933740827284,0.0233033586976179,0.0162997054919211,0.0126147071993612
"[20,25)",0.0113930891994901,0.0220814549994675,0.0452194754039388,0.181144993531543,0.515848770565899,0.518225674388032,0.452939811328135,0.400663660162862,0.376199917464381,0.366085561156784,0.316332077498011,0.214914321449786,0.123851787569166,0.0738647238880687,0.0521309144891715,0.0408284922594864,0.034086377060822
"[25,30)",0.0225787390413663,0.038179274781117,0.0565862273463516,0.163379374122368,0.470324940601357,0.760866789467665,0.698601431977787,0.59629095175202,0.536508626253885,0.500297039655187,0.418538239621311,0.278238000204825,0.15768290062553,0.0927851831082618,0.0667464983025422,0.0565593004489611,0.0554161773930726
"[30,35)",0.0321128389885419,0.0444925228310876,0.0537665992897476,0.134225855050241,0.352410312123066,0.598905775016785,0.720504729517359,0.632995317892546,0.543957528213159,0.48683971312454,0.396318373504932,0.260112560745034,0.146503207601243,0.0851521769297641,0.0604844987059907,0.0525403606503722,0.0622361928010034
"[35,40)",0.0325995196413946,0.0395345568072363,0.0434536368644831,0.102903416402883,0.259937148171509,0.426253081030172,0.527813847723528,0.589198043137569,0.520397092776707,0.452720943209772,0.362226024135885,0.23512961105645,0.131015709624964,0.0748891631239103,0.0520980378697883,0.0451392535485815,0.064135527322842
"[40,45)",0.0282643847416969,0.0331420199821714,0.0358613595757855,0.0837880346556348,0.204824818399802,0.32185592452956,0.380645553465012,0.436727307797278,0.477161907862914,0.429692002498629,0.339964395892876,0.216786698702736,0.117598804829881,0.0653205124749213,0.0447274660954254,0.0392213183281838,0.0669398450043559
"[45,50)",0.0226817148871419,0.0276889629258511,0.0306684569286263,0.0715655868313539,0.16953330540856,0.255282637735366,0.289767927109611,0.323157782540501,0.365481852469788,0.394994214670148,0.323458409413531,0.200131586972297,0.104296730939757,0.0560760884450191,0.0383470953419289,0.0350431835900582,0.0695175955375626
"[50,55)",0.014671198579337,0.0198751920081986,0.0229438786725528,0.0532494346878485,0.122545464657553,0.178652899332547,0.197328631014772,0.216294393571928,0.241893146063435,0.270582700253459,0.272628576731336,0.173138247598432,0.0868801209420926,0.0458915507381974,0.031881031566483,0.0303795430731219,0.0600520525010711
"[55,60)",0.00647396229091636,0.0103983247524584,0.012959856160824,0.0297204170652438,0.066315048580218,0.094598466105282,0.103157295242078,0.111831890035154,0.122861406982741,0.133349055786757,0.137906819751402,0.109873437956821,0.057721201384654,0.0306997236829542,0.0215817105594076,0.0202052134259894,0.0315574567827079
"[60,65)",0.00204590030123217,0.00403703508669182,0.00579442492858976,0.0135062455599092,0.0294123801260138,0.0412603974744024,0.0447164081070713,0.0479581993549192,0.0512940412120664,0.0534842804864771,0.0532591582795654,0.0444238830906296,0.0315381679555453,0.0186161842620927,0.0124977402286448,0.0101313840439404,0.0100883551622035
"[65,70)",0.000608164432005674,0.00143225482029417,0.00247330410195218,0.00621398053827053,0.0136109018355165,0.0188386322470493,0.0201668219981143,0.021270632523482,0.0221072907920242,0.0223128530714276,0.0218287339191143,0.0183331695296537,0.014444835520025,0.014409148595132,0.00983968935255179,0.00588164671027284,0.00331941074114952
"[70,75)",0.000203284952753642,0.000534280807592274,0.00107011115544957,0.00306135476693194,0.0072283567325948,0.0101974981838515,0.0107790430512948,0.0111346662870453,0.0113908110222452,0.0114816493134118,0.0114109706986546,0.00969802641683119,0.0072970586453892,0.00740416006279879,0.00710329467490583,0.0030846549646611,0.00104515995616334
"[75,80)",7.30222185608753e-05,0.000208970731488687,0.000450119328226348,0.00141737736330598,0.00374729747593715,0.00571978590986484,0.00619783149432515,0.00638588076787735,0.00661169989927291,0.00694521912831547,0.00719750634564766,0.0060099593603529,0.00391557651900421,0.00292957040465135,0.0020418187468549,0.000363910861339379,6.28119001662243e-05
"[80,Inf)",4.23191774719995e-05,0.000126382842188026,0.000277579804589248,0.000873183718772807,0.00249033855279678,0.00446102882054098,0.00584403021083082,0.00722250451780718,0.00898252362237899,0.0109673034776268,0.011325343794124,0.00747193024899743,0.00310363056619168,0.00131609948759427,0.000550701267311127,4.9999383748946e-05,8.10611111011933e-08
