"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00241649768914771,0.00389489002163648,0.00291607711568201,0.0030447306796424,0.00614393465860949,0.0133814653513551,0.0219781210703143,0.0265871044533094,0.0274337205534921,0.025857042292964,0.0198652741840587,0.0109322641645659,0.00453514000758969,0.00176014082706889,0.000778297125736385,0.000419143014202535,0.000312483871742173
"[5,10)",0.00386379875300874,0.00883850116573912,0.00677845575914258,0.00557320757489948,0.0117298799800165,0.0221554216512505,0.0298659419934032,0.0317104755441261,0.0316701813825472,0.0310908198359034,0.0265495827234064,0.0173329042933434,0.00880779950267728,0.0040707992458678,0.00201034400395263,0.0011802225974943,0.00091015401702078
"[10,15)",0.00289186795686135,0.00677627342326243,0.0204166458079238,0.0175288040993701,0.0238864125037126,0.0327338766439212,0.0361117826295971,0.0349614102522961,0.0343979003945944,0.0345757914387718,0.0307878152277942,0.0217138151088606,0.0126878193590197,0.00703866165033051,0.00403665660361852,0.00255034293758153,0.00198534946530519
"[15,20)",0.0032702380166822,0.00603415413523044,0.0189846813726663,0.0831913084151229,0.104495529202874,0.103316056625227,0.0987489049496535,0.0907822057164595,0.0881010630350359,0.0883979733345571,0.0782247853116728,0.05447808057836,0.0323353244785257,0.0193020252654676,0.0126167508749939,0.00878838790557321,0.00678126711120639
"[20,25)",0.00772208296133866,0.0148614828439662,0.0302732709882665,0.122279908470209,0.345877455816201,0.346295432158871,0.302645664092187,0.267871133434903,0.251531914534438,0.244452016622186,0.210035137884409,0.141818952832129,0.0821863713063097,0.0493292943464571,0.0347632963561412,0.0271866862522573,0.0226559570267635
"[25,30)",0.0196439906483401,0.0327858740176325,0.0484556062799785,0.141209328186931,0.404468712849171,0.648490923865863,0.595541745296979,0.508730897631536,0.457715263928545,0.426127306479888,0.354413928485094,0.234245526951353,0.13355953994389,0.079100212569468,0.0567760836189772,0.0481061384998341,0.0478590951746781
"[30,35)",0.0351875460405315,0.048200921094982,0.0582999110517264,0.147197430085456,0.385518302002063,0.649508117971264,0.77845689985517,0.684649955646064,0.588550133271737,0.525980341178085,0.42578382242521,0.277943865767996,0.157525335464472,0.0921696587279665,0.0653007064352795,0.0567407412662336,0.0705928171909866
"[35,40)",0.0415200507280693,0.0499195072483781,0.0550549435761109,0.131994879710491,0.332831846296952,0.541188929383982,0.667816275318631,0.74418443511431,0.657918089903304,0.57173337943839,0.454991025532062,0.293788643004349,0.164731086676817,0.0948092964305268,0.0657891543445206,0.0570498381573466,0.0891007255089667
"[40,45)",0.0387135558811472,0.0450515362516168,0.0489475358613044,0.115752138199962,0.282412278492935,0.439994962035097,0.518756314853352,0.594515726299477,0.649121401517936,0.58397021516955,0.459486002638981,0.291390410264139,0.159098231445986,0.0890135075399711,0.0607990141141028,0.0534081842884595,0.104926194374318
"[45,50)",0.0336952477705872,0.0408415940006994,0.045434157991759,0.107251070840828,0.253451903907273,0.378271070551141,0.428115450753624,0.477085835907383,0.53926489836703,0.583086009465122,0.474709891644144,0.291919864096171,0.153151784121774,0.0829667195615214,0.0566048016642582,0.051909076514073,0.121437598054131
"[50,55)",0.0263839567756807,0.0355454293241,0.0412329853999207,0.0967295714018823,0.221947084529654,0.32064915495307,0.35321252929354,0.386955799475759,0.432453380223457,0.483820021080179,0.486260257529595,0.306890248564321,0.155097243811069,0.0825836490848604,0.0572659792626061,0.0548077883312468,0.124882810375364
"[55,60)",0.0153950299818065,0.0246049485866783,0.0308338036738543,0.0714268898201482,0.158897411031051,0.224706524919533,0.244471983576045,0.264922345406254,0.290781868934902,0.315459972730399,0.325392956180673,0.257504832950241,0.136496745795746,0.0732099955658981,0.0513436505185787,0.0481187982311864,0.0814207320023589
"[60,65)",0.00603994266740053,0.0118247029168907,0.0170392176185251,0.0400948747327815,0.0870871440093938,0.121168850206952,0.131037051198027,0.140485288239316,0.150151306737532,0.156521632610995,0.155525223521978,0.129090413826613,0.0920922271543218,0.0548269143388769,0.0366768365493458,0.0296218941354508,0.0298083554188243
"[65,70)",0.00187227596154098,0.00436498576056203,0.00754975884163066,0.0191159041774952,0.0417483650984712,0.0573157593422789,0.0612367319085568,0.0645782890832797,0.0670965216035945,0.0677230571918425,0.0661410599500859,0.0552996526681376,0.043789918002237,0.0436971149508791,0.0297307765594461,0.017633270504664,0.00948531848242779
"[70,75)",0.000611878534507595,0.00159320210443125,0.00320008963110597,0.00923499871640192,0.0217446723068495,0.0304059920975733,0.032065591224388,0.033119766143341,0.0338717765149273,0.0341494140169102,0.0338977693073927,0.0286639549902111,0.0216505804335429,0.0219737206749808,0.0210212657670919,0.00896068613225088,0.00276865363633146
"[75,80)",0.000258899372292493,0.000734874862923134,0.00158850246681515,0.00505414274258422,0.013360944675215,0.020241524465073,0.021890987420568,0.0225650525011266,0.0233775086168422,0.0246049371189643,0.0254897560663517,0.0211063490379043,0.0137385049185491,0.0102395103766288,0.00704028498629002,0.00118326888283409,0.000179054108508115
"[80,Inf)",0.0002556397506526,0.000750578931437183,0.0016377902717214,0.00516512873260323,0.0147467159748606,0.0266709949439083,0.0360713895968847,0.0466761669944714,0.0608283934961637,0.0762367086750662,0.0769233303865623,0.0473004594365549,0.0183103513118854,0.00729508322908574,0.00288104217012728,0.000237146273006221,3.09373062207201e-07
