"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.381932637966779,0.316036756869103,0.157699601797185,0.10568468810799,0.15032404338737,0.287609894225117,0.392164449059302,0.298035573548421,0.161943489851522,0.107419050273924,0.110055457325635,0.128095180256939,0.119859956040987,0.087096030097054,0.0601077371363104,0.0455723918414386,0.027513382523973
"[5,10)",0.346916701807017,0.561249797717726,0.369938303894329,0.13456429059134,0.0871975544127625,0.151903879848554,0.336885262099247,0.445540402250163,0.301532006859584,0.151120202135686,0.100012251344031,0.102677820487106,0.115758353711649,0.106783889576788,0.0810024747027556,0.0596465833282886,0.0383584865463872
"[10,15)",0.185577112385523,0.396584288488463,0.648205940504299,0.336179707123821,0.114069497359981,0.085259962474761,0.170086479836715,0.360652391353679,0.424820770672812,0.267888415732535,0.134209872611941,0.0888456770753705,0.0870996186491231,0.0945204418708006,0.0882915716942848,0.0691853657912569,0.0422985115805169
"[15,20)",0.128780237427941,0.149375497663933,0.348108661891855,0.558231310537512,0.280426562144417,0.105798789741397,0.0909632050526296,0.174493979125735,0.329665586752042,0.365288711517479,0.229473906738682,0.112888476735992,0.0693481120717847,0.0633512384380679,0.0682912165360339,0.0653148724044282,0.0420282688750164
"[20,25)",0.187255042348143,0.0989513593115084,0.120748232994617,0.286673183121544,0.452299350116206,0.243594656970163,0.105460460892947,0.089068221010384,0.151554543072797,0.269073975067171,0.296919798443205,0.182303944327727,0.0834585867181808,0.0480501448039106,0.0447366677004226,0.0512200011745833,0.0434147653156199
"[25,30)",0.380356095670182,0.18300704667723,0.0958159653540314,0.11482332180372,0.258612340235512,0.409149278129686,0.243860816030789,0.105456278526228,0.0790891408309164,0.12614210016788,0.226464294584047,0.249211785443695,0.147076502592326,0.065348880091455,0.0397145008800556,0.0405054299632765,0.0463244769461587
"[30,35)",0.583027310902995,0.456262817269082,0.21488032637687,0.110981165358653,0.125865084230542,0.274142357014553,0.436508576701173,0.259158944975209,0.102579372661711,0.0727157925367828,0.119080230970157,0.217473159167969,0.236228833586377,0.139148916379502,0.0660944557590313,0.0436709435789643,0.047108564507236
"[35,40)",0.50151800488385,0.682995598315221,0.515719347726797,0.240969301905091,0.12031953099741,0.134185104121974,0.293335043752366,0.464253976362953,0.263075880471141,0.101700634724397,0.0757144735356416,0.127617554407344,0.228641906561956,0.244029629895363,0.149326749523747,0.0744597141475701,0.047544847331189
"[40,45)",0.290219245605872,0.492275838610693,0.646955845584416,0.484840820712189,0.218035194762885,0.107174882040242,0.123652264888031,0.280172382276942,0.456535296386964,0.263695728774527,0.107950493150796,0.0824859288263815,0.132730605005235,0.225444331676875,0.241742486872326,0.151568401781026,0.0611339152588611
"[45,50)",0.190581368655185,0.244249704312102,0.403886420018263,0.531861107113902,0.383235520831529,0.169228159903348,0.0867775125438384,0.107227053473252,0.261059507074228,0.458756565688995,0.279287115296912,0.113990722552631,0.0802985911714889,0.119528956856085,0.204534238299842,0.228984100155812,0.10825012891086
"[50,55)",0.187409324308713,0.155147650558694,0.194209406094914,0.320682876203413,0.405894995644325,0.291603540409048,0.13639504779698,0.076619637761126,0.102575000520316,0.268059608628187,0.492931886476235,0.292322604602693,0.108709221656877,0.0709812392398984,0.10935007931299,0.201442493247059,0.181658321443748
"[55,60)",0.205509843484307,0.150068267383156,0.121127380331679,0.148631992857675,0.234796074736781,0.302330427096852,0.234684725647144,0.121672332176976,0.0738443026460321,0.103079003795203,0.275411852787101,0.500620325648497,0.280439122089458,0.100278234546861,0.0692757419315548,0.114699364237425,0.201972151276663
"[60,65)",0.178830777412958,0.15733772990156,0.110430893973236,0.0849113296013507,0.0999618083981999,0.165929989638167,0.237072062457298,0.202724182967147,0.110503621066363,0.067526920246846,0.0952477937218949,0.260799593420353,0.486668665447493,0.273842029110545,0.102405813776696,0.0733437639084915,0.145500847265542
"[65,70)",0.118880554136867,0.132779364072438,0.109633779963395,0.0709627469610387,0.052650450232315,0.0674472196677227,0.127753148255399,0.197941381718192,0.171707421402486,0.0919573520332023,0.056895304496749,0.085313802820581,0.250521160330295,0.482351829452931,0.273501274981842,0.101621190293009,0.086136261054413
"[70,75)",0.0729983415295185,0.0896175959949318,0.0911188115576225,0.0680628785879958,0.0436155320159347,0.0364707895471992,0.0539916957288734,0.107770972541712,0.163822249666404,0.140006919284395,0.0779869804221026,0.0524401543461359,0.0833564244722627,0.243348968275719,0.450012999180115,0.246115814741706,0.0731370518909232
"[75,80)",0.0472264215280444,0.0563094357388496,0.0609261368590385,0.055546685271156,0.0426106077091242,0.031740217940498,0.0304407335620292,0.0458549428336727,0.0876454091218289,0.133748651075091,0.122589900426875,0.074087405730008,0.0509422660307777,0.0771533935445283,0.21001007140595,0.36641089955262,0.127539714320514
"[80,Inf)",0.0389252263328996,0.0494380134525851,0.0508532167462198,0.0487968188818645,0.0493082450500336,0.0495576981566175,0.0448297536940633,0.039973501559923,0.0482621489812344,0.0863209972888859,0.150925577064172,0.178106107470594,0.137969957978284,0.0892813432476213,0.0852004709802718,0.17412029078343,0.247602716779804
