"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00386895146066705,0.00620650225451842,0.00465093826827081,0.00480000455768251,0.009598630822264,0.0210727996840911,0.0349917224534538,0.0423838381934652,0.0436763819864584,0.0411524099072303,0.0318149820873454,0.0176483963044094,0.00728658114720749,0.00280650023213454,0.00124258345729861,0.000672152863661309,0.000497364558278424
"[5,10)",0.00630217703248196,0.0144398782903112,0.0111066059452217,0.00891524121435263,0.0187564228239448,0.035795890888649,0.048599346773907,0.0516017744250417,0.0515421693496193,0.050577898093227,0.0433666946399298,0.0284919773623911,0.0144335108223236,0.00663221629244821,0.0032794384355881,0.00193238815963978,0.00147308860954801
"[10,15)",0.00472321415853432,0.0111079711984556,0.0332198255825919,0.0280999085818954,0.0383796787004112,0.0529980170934598,0.058685536109341,0.0567974664643563,0.0559378271363574,0.0561934714685358,0.0501893685627942,0.0355697121193908,0.0207130724860408,0.011428790886976,0.00655596787922639,0.00415408163300649,0.00317467332370909
"[15,20)",0.00462109277538566,0.00845264160130844,0.0266385684646035,0.11270355475076,0.144683301343872,0.143953217438334,0.137882273357856,0.126739243437182,0.12323003958809,0.123653319877982,0.109835451875138,0.0769218964246702,0.045519839086339,0.0270436666436474,0.017658834364511,0.012312681967263,0.00929330086211396
"[20,25)",0.00826772110573594,0.0159104646533859,0.0325522342417645,0.129446973697625,0.369396701488963,0.370926315233334,0.323816710970652,0.28640241455697,0.269499218187013,0.262169890163947,0.226274681929715,0.153652986465643,0.0887545910635482,0.0530361985076656,0.0373498014357892,0.0291859404275394,0.0237554298749993
"[25,30)",0.0161968655899025,0.0270955664002069,0.0401117211779903,0.114928325068359,0.330993796941227,0.538010840266715,0.493045465745824,0.42054079522247,0.379036998055972,0.353376503304426,0.295304218539748,0.196203117037921,0.111444829069524,0.0657021894188998,0.0471760124369823,0.0399586585870934,0.0390638921096533
"[30,35)",0.0259593854268509,0.0355071517619776,0.0428709492175078,0.106251356396946,0.278902118493979,0.475890807002867,0.573410032579658,0.503037148484369,0.432815606175473,0.387294086115268,0.314966765467631,0.206604032523314,0.116626629833208,0.0679099360859799,0.0481300271456752,0.0418161868257097,0.0521530172780889
"[35,40)",0.0335211395274159,0.0401919840652905,0.0442334070653391,0.104118178829498,0.262977526380061,0.432730875114028,0.536277360737821,0.598800379360144,0.529630522636253,0.460897212069692,0.368504061649114,0.239054857476172,0.133466274684011,0.0764117027656695,0.0530274451177336,0.0459646364703487,0.0743935651604213
"[40,45)",0.0380493522746379,0.0442200902730518,0.047985402550663,0.111510089006787,0.272572220579876,0.429609104782331,0.508246549308981,0.583384823887948,0.637001616881801,0.574010693600499,0.453856675460868,0.289164981320014,0.157131016673737,0.0874069556946744,0.0597120299034155,0.0524356814080603,0.110702861172696
"[45,50)",0.0379826087460856,0.0459733988853269,0.0510714651272483,0.118547461864582,0.28092849942519,0.424344372173711,0.481838276773169,0.537867257391548,0.608147446949329,0.656644668062134,0.537381898743069,0.33219449386667,0.173470257635106,0.0934443464982795,0.0637745987991545,0.0584114212982848,0.149010660080345
"[50,55)",0.0281418098191069,0.0377774797578758,0.0437154557107373,0.100915957188509,0.23236984805043,0.339845287737602,0.375539812946384,0.412139394738468,0.460827572171131,0.515007859832347,0.517838692601208,0.328706516864473,0.165368033523985,0.0875501685413498,0.0607079275493831,0.0579746326842914,0.141616484662392
"[55,60)",0.0135158826308653,0.0214890924218874,0.0268239327771377,0.0611907968869275,0.136616652689385,0.195495303042951,0.213279381454477,0.231482543809727,0.254205094154441,0.275639895689387,0.2845949162352,0.226382099116627,0.119303373415044,0.0636032176032617,0.044622317996698,0.0418181230777013,0.0731290089412982
"[60,65)",0.00449649332294435,0.00877159251078224,0.0125862863911737,0.0291774831698479,0.0635864302858546,0.0894749223386704,0.0970105099262009,0.10413655222666,0.111304175039812,0.115980680728123,0.115366938622139,0.0961310545929064,0.0683475403766134,0.0404354517551729,0.0270833592584695,0.0219340154701033,0.0218584738867513
"[65,70)",0.00131397974567917,0.00305800779681842,0.00526898318207167,0.0131518281152028,0.0288283274242654,0.0400216224756657,0.0428575977638247,0.0452339980791175,0.0469752359679555,0.0474009561780196,0.0463404486481717,0.0388833353284946,0.0306786144029451,0.0305779638256176,0.0208277143239433,0.0124091726915868,0.00641735049729645
"[70,75)",0.000431326795772846,0.00112108017552417,0.00224089045232023,0.00636707354948996,0.0150519455681718,0.0213055800024834,0.0225199744085784,0.023273574176563,0.0237926104688821,0.023984965035634,0.0238235204283057,0.0202252470039506,0.0152346771520282,0.0154418345684843,0.0147984124101784,0.00636703293967777,0.00187179972439216
"[75,80)",0.000167904297132119,0.000475383872841095,0.00102181370197658,0.00319479783727725,0.00846429750596043,0.0129866136030385,0.0140802089455807,0.0145177427550527,0.0150355756972182,0.0158089131863348,0.0163723651777017,0.0136401494902601,0.00887895298192115,0.00662083855303138,0.00458194617202587,0.000793461109516197,0.000114619004776493
"[80,Inf)",0.000151080207862231,0.000440674509005218,0.000949586909965258,0.00293224124554881,0.00837759001667255,0.0154383012617276,0.021354189517595,0.028572590710809,0.0386003259699627,0.0490411403759832,0.0486324566168228,0.0290056941064759,0.0107597561542823,0.00416356079560598,0.00163799000136321,0.000139378444844139,1.72303685891547e-07
