"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.6650923337597,0.874491972394511,0.318756831144145,0.18903674163742,0.224488267295102,0.470822079755311,0.846895120574474,0.816431551286934,0.527479173848189,0.386316910432165,0.356495806705335,0.327649182355489,0.284963261511886,0.251352162941257,0.202592299606732,0.128325489580716,0.0667332244886015
"[5,10)",0.865931182336711,3.78414739160538,1.48683132029372,0.388263304611135,0.241101924282505,0.301984457128141,0.521214070245271,0.653906024828701,0.492829578473597,0.318905216616303,0.270758027319258,0.289291925760066,0.30932656909729,0.316499243059187,0.288849532446195,0.210062944451554,0.123456873868208
"[10,15)",0.297199887919386,1.39998470101344,5.55775998363118,1.63602755485977,0.461915089693007,0.313828691322451,0.356091148447764,0.461606910078497,0.465157525528555,0.330961713893563,0.211208306739433,0.167549030680032,0.169433071025138,0.178040785232076,0.163673799779581,0.122536699779883,0.083499484285873
"[15,20)",0.155518852664382,0.322578646617355,1.44357148274771,4.71341198493912,1.5088718834815,0.576724227336069,0.434806456210031,0.425992901193332,0.469337591554094,0.452687548089824,0.315688435128997,0.183489449404478,0.133373159104822,0.13261798195672,0.131908477604785,0.107237458489328,0.0859676324690611
"[20,25)",0.151669213709498,0.164504170325684,0.334716249576628,1.23913702181161,2.71035155764108,1.02263596359895,0.552532061936182,0.425606138178562,0.394116198811259,0.439871718334807,0.431618673657535,0.289925059475129,0.167265106126778,0.128854108337894,0.1294214784632,0.116010754729551,0.0971459271377485
"[25,30)",0.252839775231304,0.163774247687944,0.180755732483688,0.376460963436263,0.812841462349013,1.23216972239852,0.615584667054526,0.3940971032644,0.313083755005633,0.313181707746565,0.372486544289201,0.362269148766229,0.245184523747904,0.14844933533726,0.112674808552804,0.0954577008810118,0.078277129202282
"[30,35)",0.385284912951524,0.239464396475122,0.173749838760707,0.24044266663628,0.372054078007771,0.521496733214208,0.717381951449077,0.429490328943778,0.299848730553931,0.261942073725387,0.277343187350859,0.319456914421245,0.305064319166098,0.20874496506825,0.119554602530635,0.0734332931951676,0.0551289398719769
"[35,40)",0.343823090946365,0.278101318197902,0.208496333099906,0.21806240709707,0.265289069131596,0.309050840430762,0.397572445321015,0.570932844729046,0.365433560417454,0.273981673259837,0.245513695904943,0.244722434969711,0.272382933798815,0.263379068124,0.172381236014985,0.0813361276232546,0.0429713791532498
"[40,45)",0.214326445195105,0.20222724108736,0.202712884981562,0.231802952443044,0.237023246064982,0.236887641090065,0.267805989344264,0.3525848215121,0.475890330212253,0.308402181067986,0.234295199167693,0.200638729437951,0.199218111033875,0.231298033690272,0.215250758243327,0.115479590639629,0.0410986234260865
"[45,50)",0.148251700158632,0.123591907480334,0.136221161735052,0.211162935825096,0.249849345335203,0.223801904116286,0.220957553336896,0.249667617333453,0.291274832174554,0.373926674029335,0.252876928971258,0.191911217452977,0.169014298064028,0.174585848239126,0.189289669418044,0.141381830299591,0.0549127138696743
"[50,55)",0.120955038280466,0.0927733687635155,0.076858409270537,0.130194125565534,0.21675342859967,0.235337725719992,0.206840065808628,0.197801691481354,0.19564217560415,0.223574764840855,0.339631315990636,0.244355185588416,0.187982534494203,0.166285263478463,0.158369317779995,0.143161257659316,0.0911178027744167
"[55,60)",0.09110870265515,0.0812380583131662,0.0499693330755151,0.0620190416203895,0.119325356768392,0.187583031635207,0.195258835129859,0.161588071852136,0.137307765436398,0.139057741366317,0.200263958535525,0.336289246283303,0.236286813793317,0.184098057101895,0.161710881693391,0.140272045284153,0.123860940689194
"[60,65)",0.0602455097482154,0.0660428008671593,0.0384188934993541,0.034274207995534,0.0523404405251007,0.0965251066323549,0.141766903284503,0.136741532677316,0.103655937734878,0.09311149359745,0.117134215668886,0.179648883580264,0.264930122825744,0.195080678094827,0.163766119043236,0.127256128204206,0.0971773294024742
"[65,70)",0.038872528941139,0.0494316711089593,0.0295318415256259,0.0249302000270586,0.0294954245290405,0.0427513518347973,0.0709616663754321,0.0967221997418731,0.0880362765546649,0.0703579606275471,0.075795669648063,0.102390249183814,0.142704811010829,0.221653447567392,0.167832744540273,0.101153884328407,0.0597949371992803
"[70,75)",0.0233563659834133,0.033629968056086,0.0202382223046665,0.018484947653992,0.0220843645270166,0.024189149149367,0.0302967654795388,0.0471907704325999,0.0610740308568402,0.0568660793934595,0.0538125839315513,0.0670456813622309,0.0893039326742747,0.125111970865816,0.194411683002298,0.0959727484918064,0.0525154357781492
"[75,80)",0.010674589236367,0.0176465633349062,0.0109323941537675,0.0108429619645213,0.0142834364573287,0.0147863382971869,0.0134269964735296,0.0160659523242466,0.0236413914747956,0.030646146865437,0.0350989568935904,0.0419622336571369,0.0500704088151852,0.0544077339208279,0.0692474582334987,0.0823539052781499,0.0399356091919189
"[80,Inf)",0.00612423386062344,0.0114418797764368,0.00821872234608901,0.00958976140785219,0.0131956402303128,0.0133769151309807,0.0111208229060675,0.00936426484831811,0.00928253271353498,0.01313187078109,0.0246458248305189,0.0408783404495861,0.0421831303976361,0.0354824746850679,0.0418036585913515,0.0440587049712521,0.0101242469405893
