"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",3.38627842427291,1.97929274987357,0.741893328223092,0.463598809481861,0.624793930016703,1.2092556617517,1.80511391251087,1.5729042339487,1.00994366963124,0.751281620451757,0.693878808359611,0.654951025599945,0.552704185450103,0.422005872414138,0.309750584407326,0.213648922422389,0.126543574014009
"[5,10)",1.89359986662632,8.93103563058985,2.42828414278089,0.652928729400441,0.467769236272825,0.755931921434787,1.42163426697801,1.76604922109833,1.32270337843783,0.891973193697276,0.733777385167084,0.635422678022885,0.566162260932443,0.503181205684144,0.409360386915552,0.29637164253808,0.189640981554528
"[10,15)",0.686800876911144,2.35333501944694,13.0161791689263,2.55104645202009,0.741415726296804,0.598488659588515,0.886481806762143,1.38973771553373,1.51012187249631,1.12010958518723,0.785759811287028,0.542855435447824,0.389453892293843,0.351886323992174,0.314032364648519,0.240942303945932,0.159641919729893
"[15,20)",0.424399578716467,0.62524255655733,2.52335411307998,11.4817760359699,2.52072943435765,1.01242839266728,0.838379195802508,1.01285299546624,1.36566148088797,1.42789601754799,1.0287579163261,0.586021880545307,0.338470304918077,0.27307864474742,0.264769363970846,0.231393542735818,0.170881192234644
"[20,25)",0.571297466157549,0.447411633366781,0.732314973966829,2.51774589849347,6.3290356437973,2.38209855328409,1.33596319399233,1.09275728790064,1.17078367136665,1.44782107062619,1.42337796380775,0.912541565110817,0.471210402709207,0.301484308768721,0.270958475344484,0.256682315435801,0.219725022663371
"[25,30)",1.07975930119373,0.706060033914503,0.577265196487878,0.987507740147395,2.32624985014345,3.76981892469683,2.16224702118256,1.3877875638132,1.15794153107924,1.21860173582836,1.38513274125207,1.22592433218337,0.746889398013105,0.406372282390658,0.285688808260035,0.252104530271506,0.239702022662876
"[30,35)",1.48311959593311,1.22182656280953,0.786777644200254,0.752453073413825,1.20044027280184,1.98966391209802,2.77036846510215,1.79774625010307,1.22141920585804,1.06195257447115,1.06760228837206,1.10039063683506,0.940125802851352,0.587727121769252,0.33071620022942,0.223988609222803,0.214047332242095
"[35,40)",1.1191291438097,1.31440997835595,1.06812330884601,0.787212005671827,0.850307754061539,1.10583948083011,1.5568400972225,2.10207451749063,1.43745178603015,1.03776071930829,0.877401049913296,0.795783610422219,0.789160077211344,0.700177188247002,0.447718620068738,0.23947845160693,0.185618111258232
"[40,45)",0.607762286596134,0.832624486045975,0.981655758232879,0.897732657247247,0.770526814006535,0.780394863745056,0.894601827430441,1.21578685979922,1.58584617053879,1.13937958142703,0.803733931337417,0.596478104968044,0.50804659651328,0.542274710479629,0.505405213516727,0.307244014856558,0.186238508635334
"[45,50)",0.383728038910901,0.476565602237103,0.618004885134685,0.796681477472327,0.80874231419275,0.697065739585935,0.660167791973486,0.744972212400165,0.967063669645159,1.25185262386251,0.891017474422025,0.540433449347025,0.368477511210628,0.339075310107342,0.389345337545305,0.351775004189948,0.230615882660874
"[50,55)",0.302263113257739,0.334361272797075,0.369744705780796,0.489533126058488,0.678103941850417,0.675746955843304,0.566030018043291,0.537182372378718,0.581804712470847,0.759921660722803,1.0310608128107,0.662932819937846,0.371165900330916,0.272428265920614,0.269550381901308,0.308013728744693,0.29365447769643
"[55,60)",0.238987663064758,0.242537829306214,0.213974229481496,0.233586562545184,0.36416132025916,0.500981278389132,0.488699598994204,0.408116094767456,0.36168006040643,0.386089603583041,0.555310137434399,0.790970696430794,0.486419700429848,0.290946723256716,0.23708761654858,0.236889652203251,0.287083186003721
"[60,65)",0.159933412924256,0.171371062108982,0.121734345421445,0.106987833270164,0.149119975984899,0.242043777405315,0.331101283723385,0.320947231797464,0.244294338287832,0.208754895600273,0.246554534600336,0.385737258395752,0.57378857383617,0.373115922235119,0.245465658654549,0.188083443831608,0.186995941860454
"[65,70)",0.0896722846930437,0.111844407129636,0.0807704966732649,0.0633862190718548,0.0700614236325656,0.0967063505305601,0.152000113902472,0.209107578957623,0.191479593001876,0.141063656930543,0.132889411858941,0.169428534727551,0.27399174999244,0.449211583403501,0.30145874253849,0.157829112678079,0.101408319726787
"[70,75)",0.0453693827452442,0.0627200896544294,0.0496861985161434,0.0423629149984732,0.0434038226180901,0.0468635451640709,0.0589569008359044,0.0921675341834872,0.123013806630439,0.111651598381627,0.0906335853585582,0.0951684401203793,0.124249607719591,0.207796852760966,0.338288886448014,0.173800113095617,0.0758317942383307
"[75,80)",0.019747204043742,0.0286544234026254,0.0240562866633602,0.0233627257127409,0.0259462954436357,0.026096167576144,0.0251976059771747,0.0311095281695402,0.0471901918002109,0.0636574318786486,0.0653541926486601,0.060004571850762,0.0600771087032044,0.0686518557542979,0.109674143715449,0.153445210438564,0.0658047325910143
"[80,Inf)",0.0100680422701138,0.0157829161151821,0.0137202650172803,0.0148513716863216,0.0191187262896617,0.0213583553774575,0.0207273219772435,0.02075617669536,0.0246228218691466,0.035923064516517,0.0536339810513872,0.0625959212271291,0.0514150975382325,0.0379698411516771,0.0411913029473433,0.0566444228130308,0.0454241857467119
