"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00211315681613121,0.00335969127814513,0.00250553765108252,0.00262510758664693,0.00526403418676304,0.0114833899309468,0.0189527669587601,0.0229143374005575,0.0236132574705886,0.0222534436071014,0.0171950196896418,0.00955025945889599,0.00394769282778786,0.00151567484681512,0.000671585248975306,0.000364299039416938,0.00026917981183032
"[5,10)",0.00358993040651566,0.00827942373473485,0.00628688861377846,0.00519262090858724,0.0108124885344217,0.0204333733760649,0.0275986652367902,0.029267353106399,0.0292277787548302,0.0286869543432184,0.0245900278360656,0.0161725295525114,0.00820406567540521,0.00376223487610511,0.00186214084830829,0.00110013479338167,0.000842743992602315
"[10,15)",0.00299099463549444,0.00702366531948761,0.021153250684067,0.0182871696943554,0.0247552156371188,0.0339192102225169,0.0374234627375756,0.0361933909007746,0.0356398790252896,0.0358149536670485,0.0319803148061111,0.0226804606631412,0.013225137297476,0.00729433658235773,0.00419297435023405,0.00266431209710844,0.00206330173815237
"[15,20)",0.00363195121707539,0.00672346052909431,0.0211945740858114,0.0921064680673657,0.115599224066319,0.114250949742531,0.109147579462457,0.100273738135654,0.0974180016073861,0.0977092937231418,0.0866995998904558,0.0606944949733857,0.0359088271824806,0.0212992344884788,0.0139346738647061,0.00974727871697982,0.00749827989768548
"[20,25)",0.00808573657382341,0.0155431804684464,0.0318531876556218,0.128340257605925,0.35991220620616,0.360784212223643,0.314996373583126,0.278630170878814,0.261980628813177,0.254704124032034,0.21959122104084,0.149105212641282,0.0861217602818731,0.0513654929455411,0.0362171696518636,0.0283756416121887,0.0235632801060336
"[25,30)",0.0183881374829584,0.0306211180260049,0.045498665731154,0.132231385859666,0.376109469232417,0.605563886663874,0.555399369120743,0.473960073402373,0.426924330835662,0.397821163544265,0.33212078167735,0.220720457627113,0.125398437321581,0.0737874819986527,0.0530181243164635,0.0449700110726612,0.0443701073498297
"[30,35)",0.0319323346275182,0.0435170523123097,0.0528186525758266,0.132916610711351,0.345511666183378,0.584380614861634,0.702379120360167,0.616684970469173,0.530441403408781,0.474521613530695,0.385589427629458,0.253032567925087,0.142877113512258,0.0830378207291727,0.0588922506966324,0.0512155150959565,0.0627843375929905
"[35,40)",0.0411551214089382,0.0491941400691196,0.054454171683993,0.13016999542827,0.325794567068115,0.531607025243111,0.657388191521781,0.733391951399785,0.648623618988026,0.564350055797036,0.450875908227083,0.29263498678925,0.16343868256365,0.0933950163132664,0.0648652990966212,0.0562842329261364,0.0860299167841472
"[40,45)",0.0454075075871249,0.0525994151455511,0.0574107581524761,0.135399817357427,0.327974481881461,0.512690225743097,0.605412143584774,0.694461120964127,0.758294561227289,0.683167327059087,0.539735089797746,0.344066495368996,0.187042705924704,0.103842928578564,0.0710015237460011,0.0624127818398574,0.119331115581137
"[45,50)",0.0443028980676036,0.0534481522286218,0.0597289120146218,0.140597592972854,0.330118604658585,0.494601198267593,0.560702975063475,0.625557016587051,0.70727814282205,0.76381151657822,0.624562649932219,0.386297360557621,0.201801760936834,0.108478379667815,0.0741088253078996,0.067944871579411,0.153866210247429
"[50,55)",0.0331392525497849,0.0443519168150533,0.0516307061663655,0.120771434567786,0.275520626761565,0.399731572948122,0.441069573597732,0.483816279863008,0.540939784183672,0.604618079168449,0.607913081204837,0.386093851761071,0.194301717749296,0.102648763299616,0.0712618221452067,0.0681211357951743,0.150596404964175
"[55,60)",0.0162611292971588,0.0257707363752105,0.0323498821587469,0.0746950693948184,0.165282727786372,0.234698595262033,0.255713647104589,0.277424745950542,0.30465348791993,0.330386552469262,0.341105236910279,0.271336546312112,0.143046346739409,0.0761034356769715,0.0534509505883722,0.0501356900175147,0.083361764396605
"[60,65)",0.00537887826480699,0.0104614247027549,0.0150950255137467,0.0353636174714314,0.0763941975824587,0.106702073036978,0.115545485419755,0.123989992014731,0.132530970395668,0.138114222615876,0.13736780906087,0.114469451317457,0.081392580465533,0.0480543615480401,0.0322108876701254,0.0261162631026645,0.0261862956639551
"[65,70)",0.0016084076385986,0.00373636530790837,0.00648427136837989,0.0163365813187796,0.0354862948491141,0.0488995816565809,0.0523007572984649,0.0551819701839711,0.0573053605760712,0.057822699346337,0.0565202108977195,0.0474306213961327,0.0374260964406835,0.0373416605064389,0.0254238966620591,0.0151520021938719,0.00822076712303492
"[70,75)",0.000557975334340236,0.00144790384680248,0.00291824236199072,0.00836792466673348,0.0195896859116985,0.0275087325859764,0.0290411597383606,0.0300061097835617,0.0306767791703606,0.0309277887909581,0.0307206743189276,0.0260815713687296,0.0196412074687939,0.0199051696611559,0.0189966644403903,0.00817787048240546,0.00258837712178769
"[75,80)",0.000226131576780462,0.000639090596450235,0.00138539488808309,0.00437314291119491,0.0114669518269528,0.0174324548575422,0.018868904254321,0.019452407234153,0.0201467484306022,0.0211848286661701,0.0219404249068789,0.0182774097840676,0.0118977778930885,0.0088630485008221,0.00610983610355572,0.0010585518922704,0.000167111424003734
"[80,Inf)",0.000176956677872211,0.000518481755589203,0.00113624638487583,0.00356281456877363,0.0100846151646937,0.0182157610420057,0.024497272809923,0.0314888927949702,0.0407949504765255,0.0508080839458555,0.0513687555149994,0.0321851721822717,0.0126342706335386,0.00509268404954379,0.00204803875786089,0.000176981318503239,2.51226757527448e-07
