"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.08979051428473,0.4780299144062,0.0942741234852909,0.0469540763898934,0.0607452344286577,0.100280928639902,0.129217281108256,0.130468782866448,0.125825865951356,0.117401866261561,0.0929627610369453,0.0570459861046984,0.025445192656585,0.00769062259374515,0.00176168887348845,0.000536008826310205,0.00246833134408476
"[5,10)",0.475270898297922,4.80966830993901,0.490728858333235,0.0612763673107903,0.0708743534732262,0.148818229639784,0.24305121198046,0.247521325200163,0.227517651534037,0.248088917484293,0.243367490268773,0.151324147685508,0.0628466480946018,0.0249408908136397,0.0110232904317999,0.00541107229716457,0.0057769127682839
"[10,15)",0.0934556897203969,0.489602066576505,7.32033790190329,0.589892918385548,0.112070783715424,0.120241353936815,0.208377702201554,0.269932014528685,0.258665249476526,0.270026868299374,0.290462876429996,0.191763129155119,0.0637157714021376,0.0181602890349282,0.0088602495228813,0.00681839405732657,0.0044792238483577
"[15,20)",0.0461245307812889,0.0605706664516065,0.585005852698235,6.12534137304498,0.487738061410405,0.122910903462627,0.111917887246713,0.161155929224382,0.197764509166941,0.202639283831806,0.186722950213713,0.118196679553607,0.0368792302895599,0.00755302647334885,0.00243852346064561,0.00210249796394159,0.00209082405304872
"[20,25)",0.057481394637259,0.0674861847907988,0.106977944598214,0.470732202931578,2.08159577561217,0.310336078235504,0.0956024728464135,0.0759756767172463,0.104342181585044,0.13161649137294,0.112285231660677,0.0591111695876132,0.0178473771224303,0.00371418837751937,0.000906445691454028,0.000573613001485067,0.000812705503574779
"[25,30)",0.0883102624740046,0.131874141294853,0.106815294591751,0.110185533941845,0.289066403736216,0.619806841414309,0.182218416424737,0.0554689275892076,0.0438287393102611,0.0650217717735685,0.0742267777540599,0.0423365042172518,0.012574549265714,0.00301705307906286,0.000834926259010059,0.000394519873410777,0.000343167141563018
"[30,35)",0.10478122275417,0.19832220248792,0.170451514514704,0.092385477442639,0.0819250858467049,0.167842065153902,0.306726553199374,0.102808315372553,0.034695181505772,0.0345437062237311,0.0547804221398742,0.0504604855594695,0.0192161282009469,0.00469640572000599,0.00130650897201342,0.000523644584426555,0.000198604824852401
"[35,40)",0.099548686460429,0.190043152883985,0.207763893374886,0.125174698107144,0.06126161136295,0.048060232116498,0.0967520450540555,0.161830542841862,0.066369943928758,0.0350433943053879,0.043888270757828,0.0572446686520834,0.0332747332611028,0.00886024800974427,0.00195104840957119,0.000631199558344778,0.000177254223344228
"[40,45)",0.0937755220080006,0.170626051593464,0.194466324420776,0.150040761325261,0.0821796696107214,0.0370924664603165,0.0318878958390595,0.0648294267598662,0.100088105976843,0.0635277741214332,0.0443243208314775,0.0413721427118938,0.0285262745524914,0.0100815865206003,0.00231404199175491,0.000694264873400639,0.0002403545160711
"[45,50)",0.0838291254450173,0.178253465201383,0.19449734196036,0.147293952969191,0.0993150715293244,0.0527212751156634,0.0304176741212054,0.0327942102751156,0.0608659855133029,0.0908981277926262,0.0633797736728352,0.0292930769835959,0.013318664350646,0.00621446151829936,0.00256792551208722,0.00119942555749967,0.000580037830840668
"[50,55)",0.0594056833714254,0.156492031361638,0.187239025530339,0.12146692122972,0.0758274650083998,0.0538625315521906,0.0431699447960799,0.0367568705398383,0.0380050676134779,0.0567239899066254,0.0710232701611765,0.0346896238903682,0.00941487618620485,0.00393623586684786,0.00297230618357544,0.00266940657803818,0.00161201164514452
"[55,60)",0.0290479333331612,0.0775370129631588,0.0985013111479213,0.0612684318266631,0.0318086044569959,0.0244800507441586,0.0316868238170339,0.0382028945987875,0.0282669271127286,0.0208898444241982,0.0276437196541354,0.0342201692651036,0.0150607176933665,0.00457410896627106,0.00266932532879782,0.00286277863901263,0.00241467787133671
"[60,65)",0.00967374309815821,0.0240426098181513,0.0244355719084762,0.0142728925274761,0.00717047824881159,0.00542860702753151,0.00900931621540319,0.0165796159408484,0.0145517190674997,0.00709136020490453,0.00560124329759906,0.0112453089361034,0.0196888059738131,0.00861839607971825,0.00212406080936382,0.00125600200837249,0.00188207453485573
"[65,70)",0.00216585118354083,0.00706788959238632,0.00515913183524585,0.00216535676538436,0.00110539108012596,0.000964844300051658,0.00163105970287574,0.0032702734520187,0.00380957416163278,0.00245104159626869,0.0017347194400834,0.00252978417914179,0.00638442241600442,0.00981486395018769,0.00273714307555494,0.000763565123427948,0.00115319948139995
"[70,75)",0.000365013636964122,0.00229827403708087,0.00185187891759221,0.000514337462441376,0.000198475353196626,0.000196442372335139,0.000333833112496461,0.000529808596719377,0.000643326663774123,0.00074514770110885,0.000963727920981758,0.00108615358180059,0.00115759866753177,0.00201380683780966,0.00246799023434217,0.000931275834739402,0.000406252787356223
"[75,80)",7.7680549718008e-05,0.000789104223855365,0.000996802692141898,0.00031018248717208,8.78505027841442e-05,6.49256648643088e-05,9.35866931701165e-05,0.000119888661744319,0.000135003795742233,0.00024344099420503,0.000605391185424908,0.00081477551556301,0.000478786478138154,0.000392933737512311,0.000651392009741332,0.000251528220656788,3.00943010876138e-05
"[80,Inf)",0.00035380858922475,0.000833242485664465,0.000647670977789155,0.000305087028050914,0.000123107079990512,5.58570226054674e-05,3.51068485028825e-05,3.32991066496906e-05,4.62272052205352e-05,0.000116439759231634,0.000361588080951611,0.000679726134884199,0.000709598887463664,0.00058695152974581,0.000281048575762095,2.97652187774512e-05,2.394954028334e-08
