"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",5.37391212297328,3.30051472525562,1.28335143025785,0.800172402464142,1.07334949643967,2.07915269259678,3.10999926959484,2.70837538780512,1.74025615412423,1.29424580641835,1.19498729566413,1.12744067509125,0.948754999512445,0.722027956732699,0.529298926491263,0.365063219849067,0.219575615065428
"[5,10)",2.81728368078829,11.2504569695876,3.59981793957771,1.00520813384163,0.717297792125325,1.15973116930583,2.18926147499225,2.71784955627161,2.03427856471411,1.37195171333993,1.12898363151568,0.979117915199742,0.872775774757471,0.774680957855616,0.629735501519893,0.456053877740342,0.297851685076184
"[10,15)",0.924830435749879,3.05307686930292,15.1094135539602,3.33671571004458,0.993680611632742,0.801195524276056,1.19263223208883,1.87210314574348,2.028962995413,1.50286375993217,1.0551094594923,0.730285490281717,0.524828515790679,0.474568841008001,0.422686781863906,0.323944403746676,0.219264065824101
"[15,20)",0.483679092188,0.713019261612625,2.80969994613408,12.3823040050373,2.85435000514075,1.14476841410043,0.950259834777917,1.1545228887081,1.55754378796303,1.62459663439938,1.16885250261534,0.665781714013985,0.384492609542925,0.311294796799579,0.301769657809636,0.263226257365606,0.197500700439848
"[20,25)",0.545596476132793,0.427859733015222,0.700907490219283,2.40420484602809,6.18508570568402,2.2798430302048,1.27473380151136,1.04493267487677,1.12262615041589,1.3890948250866,1.36381813895507,0.871142707074348,0.448318347210893,0.28787078718392,0.259602724266593,0.245842505312577,0.213174373773664
"[25,30)",0.891785112037309,0.583717460333129,0.47686542199801,0.812302378279718,1.92430185511162,3.16369299404526,1.78928395052072,1.14843467552302,0.959234894225164,1.01025510541412,1.14932071125596,1.01545950925546,0.615156013802624,0.334511212109416,0.23634853757076,0.209050976487841,0.20063954365328
"[30,35)",1.11945958215507,0.924734983758333,0.595714482851028,0.565870114659413,0.902687093917415,1.50170265857049,2.10613748450208,1.35878232691927,0.923425468049216,0.802783466582317,0.807258868910473,0.832418215031064,0.70929680121686,0.441674252329671,0.24898453355042,0.169189639459467,0.16199076633808
"[35,40)",0.801421519390698,0.943732858367876,0.768715077636347,0.565172396698606,0.608289123486402,0.792290786346565,1.11704421396699,1.51383417708282,1.03261890994728,0.745199750012743,0.630013312955564,0.571427947568133,0.566672024869358,0.501324231108168,0.319899703593526,0.17142492637812,0.131871285233087
"[40,45)",0.410575902656593,0.56319945132829,0.664259676555548,0.607920511811469,0.521056757751542,0.527632349008067,0.605248881116576,0.823339276618215,1.07554344616377,0.771439637766258,0.544220955531461,0.403842422217818,0.344185374833753,0.36760517857203,0.341262688108184,0.207073528977272,0.123870391321703
"[45,50)",0.238435751561876,0.296595772727684,0.384200305376367,0.495138175129822,0.503449718242854,0.433922159968774,0.41087043988105,0.463954261182369,0.602395978194761,0.780469044662542,0.554639813257015,0.336226564784703,0.229124451925958,0.211507811394196,0.242802638405902,0.218528733310911,0.141974843508041
"[50,55)",0.171966178186955,0.190650925876782,0.210698164971843,0.278269569655829,0.386105345105168,0.385608991063137,0.322733795386192,0.306391940272725,0.331951575138074,0.433252475348719,0.588450007848965,0.377303344296322,0.210862857119932,0.155019230356459,0.153804612776051,0.175678696533798,0.168151002246397
"[55,60)",0.128215822808383,0.130663547123112,0.115245527977175,0.125258164004684,0.194897752134729,0.26923821521846,0.26299129197847,0.21961260360713,0.194661284479151,0.207551243495629,0.298168061915497,0.425575193877551,0.260669862726113,0.156017170302041,0.127367007085207,0.127423117619673,0.155999634725879
"[60,65)",0.0855334947955679,0.0923328721022591,0.0656573044187272,0.0573451100064646,0.0795130206655852,0.129298528107522,0.177648690247018,0.172648087432164,0.131520749120194,0.11212410006104,0.13209989582024,0.206645626901701,0.308332254874528,0.200293826678756,0.131927102449728,0.101074391088012,0.100573367243018
"[65,70)",0.0507920495920019,0.0639493489327793,0.046325960205862,0.0362276230358394,0.0398390450760719,0.0548628760546487,0.0863168684545282,0.119181344275972,0.109608205390351,0.080763201679656,0.0757787695964539,0.0965086401959687,0.156288753808575,0.256811850143413,0.172429902696858,0.0901817761397202,0.0574181624310138
"[70,75)",0.0273024082432531,0.0381179593442089,0.0302553439993401,0.0257514547046911,0.0263438223414591,0.0284235965296241,0.0356799455031464,0.0557649913964874,0.074611964050976,0.0679827512160441,0.0551301980130954,0.0577708772053364,0.0754834649182825,0.12643605158447,0.205365548285497,0.105690588667715,0.0459201069530955
"[75,80)",0.0123480342411911,0.0181016190110311,0.015204905038593,0.0147294051470887,0.0163589836529364,0.0164857273498393,0.0158984717331987,0.0195952846032888,0.0296875290491502,0.0401221026811009,0.0412923019356136,0.037899200376245,0.0379217821611516,0.043361750404866,0.069305253882159,0.0967718156428594,0.0425287413257402
"[80,Inf)",0.0060133532054328,0.00957203304326245,0.00833265793525145,0.00894803141018299,0.0114851640216943,0.0128107720736776,0.0123246539662563,0.0122048010227384,0.0143787071051542,0.0211051962987283,0.0320001721446747,0.0375671511667989,0.0305515646456704,0.0223532240341471,0.0243801039833785,0.0344338347083086,0.0289300762788585
