"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00804844056400899,0.0134091422950897,0.0101215984023017,0.0103650183018551,0.0206822333517833,0.0453695132736827,0.0754867744053855,0.0919583345819448,0.0950465039610169,0.089740092387235,0.0693850754914832,0.0383068847025943,0.0157058985483628,0.00603284502072712,0.0026796190788755,0.00145124740661329,0.0010565454300027
"[5,10)",0.0114269276452221,0.0259713194656198,0.0202618014431325,0.0160885190318131,0.0342250121367944,0.0656353020375089,0.0894567664291514,0.0953929967189403,0.095297406462413,0.0936445326120128,0.0803649404262299,0.0526559718662956,0.0265225874747764,0.0121471298116864,0.00601990998811023,0.0035507029666708,0.00269740978899682
"[10,15)",0.00729399760672354,0.0171342891640942,0.0516408641492157,0.0430561847034676,0.0592060435707199,0.0820305053519307,0.0910896565671495,0.0883419088384725,0.086854723392861,0.0873439883968239,0.0781398947424075,0.0553136280256587,0.0320974711737809,0.0176693263926322,0.0101490415856313,0.00643720409645997,0.00498780253188665
"[15,20)",0.00626532810593646,0.0114119887954581,0.0361154287214195,0.152544688990556,0.197490584277716,0.19703972197629,0.189110595779934,0.173986312712882,0.168820711334479,0.169634497278454,0.151011891088404,0.10569648868444,0.0624084074665912,0.0370631260388837,0.0242448973122201,0.0169238979943467,0.0130971777808156
"[20,25)",0.0105130283031938,0.0204148189441702,0.0417618688733198,0.166074536278197,0.478216995150614,0.480671493310214,0.420143300087975,0.371817606764154,0.349175447175029,0.340000627815659,0.293998149398293,0.199445201514345,0.114922274943939,0.0686633926607341,0.0484417506936868,0.0378813382711334,0.0315986270272371
"[25,30)",0.0194597811992906,0.0330356489741195,0.0488239267021671,0.139815034032615,0.405594259401545,0.659814068523412,0.605589477890738,0.51708244838471,0.465337721958576,0.434123685937571,0.363310807827568,0.241097910926575,0.136593644225139,0.0805228919384357,0.0579201915381275,0.0490462089739716,0.0480393351381789
"[30,35)",0.0271718369069251,0.0377861677994526,0.0454988773529436,0.112613445923778,0.297519320610804,0.508221014807658,0.612045303968299,0.537884216698162,0.462339501783298,0.413911217288859,0.336978738842332,0.220749599003303,0.124291063479981,0.0723743293309502,0.0514032867913831,0.0446305452839354,0.0528916599692715
"[35,40)",0.0272109208173779,0.0331238001213509,0.0362745810591221,0.0851713398759253,0.216447060708531,0.356728744236281,0.442173601563731,0.493525360509892,0.436046796634421,0.379441560948931,0.303590893205028,0.196689645839426,0.109562798864933,0.0627475946157013,0.0436492143704252,0.0378001238819791,0.0537145593082278
"[40,45)",0.0224241724792442,0.0263835287672035,0.0284352600804923,0.0658919344881166,0.16206662059677,0.255961534340756,0.303035248466227,0.347665212541624,0.379728615184444,0.342018131934774,0.27059813628108,0.172228031838548,0.0934127646155728,0.051999789837398,0.0356044117936877,0.0312009206557087,0.0532034616687648
"[45,50)",0.0165325985739884,0.0202445700105343,0.0223290945656738,0.0517005351624224,0.123226447312922,0.186463682772895,0.211842783264067,0.236236699044701,0.267068988146937,0.288632057474156,0.236349753983607,0.145955746538434,0.0760562950150547,0.0409858416518638,0.0280209773933405,0.0255868915788618,0.0507234648728302
"[50,55)",0.00998494820721291,0.0135711890523369,0.0156040041961527,0.0359515112916793,0.0832326933418562,0.121894535334378,0.134720634903423,0.147644186091634,0.165053323755629,0.184620659242722,0.18618862058208,0.117976776294065,0.0591831151694831,0.0313293250180063,0.0217577881236455,0.020724612414483,0.0409961218198834
"[55,60)",0.00435637000676018,0.00702695350014242,0.00872898113269509,0.0198854186525114,0.0446211867855151,0.0639245293772125,0.0697428542495809,0.0755922516726579,0.0830178506678159,0.0900978681109942,0.0932319350836354,0.0742235517637629,0.0389831176054168,0.0207784553626667,0.014603437740178,0.0136654801429851,0.0213455490794878
"[60,65)",0.00141594025057729,0.00280588296325023,0.00401547052517392,0.00930789539948334,0.0203824297609105,0.0287103706228575,0.0311296266932929,0.0333805214437867,0.0356950575995934,0.0372188282868025,0.0370766262725888,0.030903721619074,0.0219424615494542,0.0129815965055356,0.00871261956443276,0.00705507778668893,0.00702048837284169
"[65,70)",0.000424388779709084,0.0010027367201713,0.00172482565351497,0.0043133035709908,0.0095024716541985,0.013206485403351,0.0141441920858936,0.0149171777710651,0.0155046881191741,0.0156502389841795,0.015314859302893,0.0128530755207356,0.0101294925879444,0.0101040227169708,0.00690240715762559,0.0041225700685826,0.0023271657661823
"[70,75)",0.000138220673359095,0.000364385815360188,0.000726454570173307,0.00206893356836217,0.00491574530964182,0.00696556099783525,0.0073661863459794,0.00760894129155879,0.00778437017985578,0.00784564429558338,0.00779892843220581,0.00662379864119129,0.00498501597493061,0.00506126168444467,0.0048642043535966,0.00210994247594312,0.000714491857719823
"[75,80)",4.90875325011094e-05,0.000140933945441875,0.000302141589324246,0.000947013997469488,0.00252072029912366,0.00386777637814654,0.00419385882552153,0.00432086628914834,0.00447318516713091,0.0046977799013583,0.00487120504763513,0.00406449614364661,0.00264697239406402,0.00198223922828367,0.00138356770826865,0.000245856002252241,4.23277813114342e-05
"[80,Inf)",2.89348197717629e-05,8.66864178555616e-05,0.000189550678040123,0.000593385025503655,0.00170243452739532,0.00306729651503651,0.00402412693981383,0.00497132872575141,0.00617578570756833,0.00754027021013832,0.00780181466642691,0.00514034196564961,0.0021326411777462,0.000905979145511152,0.000379341141436786,3.42711253373122e-05,5.51709168858934e-08
