"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00328012608713446,0.00525518479896425,0.00393756964287648,0.00406818086287543,0.00812818467350649,0.0178253058151542,0.0296190841967305,0.0358752351029463,0.0369679849681497,0.0348039611596009,0.0268028611373972,0.0147802810749386,0.00607835668503064,0.00235148772969691,0.0010538289346828,0.000572637969467661,0.000419914393940633
"[5,10)",0.00534783300081008,0.0122348418878005,0.00941236609136571,0.00757252074584867,0.0159030120638749,0.0303315102712511,0.0412068142986239,0.043756274743373,0.0437073012650084,0.0428709293774477,0.0366554096872232,0.023964231911049,0.0120943630712568,0.00557268724016235,0.00278383120038324,0.00164639693598099,0.00125295055489133
"[10,15)",0.00397593076160755,0.00933941192852325,0.0279400082574295,0.0236637578771904,0.0322871819902611,0.044570912029482,0.0493665850850849,0.0477794314564506,0.0470583908621164,0.0472616041624187,0.0421111980360691,0.0297253204962723,0.0172660230127561,0.00954820008860206,0.00552099996345861,0.00351014536050849,0.00270285719201192
"[15,20)",0.00394569064749127,0.00721727755780013,0.0227298164292055,0.096629131223019,0.123753841873598,0.123035663187257,0.117809004544155,0.108276569178013,0.105274821694264,0.105605419887212,0.0935650205205972,0.0652652510404857,0.0385492577945835,0.0229709033963163,0.0150980940248011,0.0105607770134633,0.00808406520175218
"[20,25)",0.00718639724269269,0.0138167914332372,0.0282707437901325,0.112811550455178,0.320935176314598,0.322281448200276,0.28129349615028,0.248787229950741,0.234090894262148,0.227647785687919,0.195958777343252,0.132534453474791,0.0764250123942758,0.0458372427786868,0.0324634484793409,0.0254163803785023,0.0209922924301291
"[25,30)",0.0139033430366378,0.0232480451193129,0.0344289045766551,0.0989442323458682,0.284315081550367,0.461811611287269,0.423160041903623,0.360942872955851,0.325288633429928,0.303143970285567,0.252653309557822,0.167206911360868,0.0948092366954935,0.0561154557870584,0.0405176246449365,0.0343382943533869,0.033682017135885
"[30,35)",0.0221541295818181,0.0302874187127712,0.0365683686727248,0.0908528952559931,0.237971582383004,0.405793856740447,0.489139007376502,0.429099010390528,0.369104637173266,0.330096453372167,0.26772917480775,0.174947288522406,0.0985801180368427,0.0576236101475913,0.0410762302447735,0.0356822102502965,0.0434895721139106
"[35,40)",0.0284847268109227,0.0341403366360625,0.0375705640940099,0.0886398493456251,0.223422923164652,0.367429079540794,0.455503533597503,0.508610923972545,0.449714993671429,0.391105103252659,0.311858264703497,0.201536392886822,0.112310356236121,0.0645458439841136,0.0450647618704758,0.0390436849876434,0.0593400315773089
"[40,45)",0.0327482305576455,0.0380475071781802,0.041284646310133,0.096153211679616,0.234546482025807,0.369444069619518,0.437148000666102,0.501743927423192,0.548008874415688,0.493482082650948,0.389085114430074,0.24689608085412,0.133883108871651,0.0747671839742781,0.0514008283857141,0.0450992572798468,0.0858147144988087
"[45,50)",0.0343758468689742,0.0416100066259141,0.0462298649246786,0.107544488539862,0.254314137339249,0.383876402579137,0.435895638552855,0.486520238260151,0.550217069276217,0.594339562169928,0.484915502820117,0.298422777799311,0.155468186691481,0.0840993818251244,0.0577749286942411,0.0528476453733694,0.119146930132854
"[50,55)",0.0283283417358354,0.0380704692690701,0.0440785225156731,0.101960212932235,0.234254023957009,0.342359780493693,0.378314189353547,0.415126016181207,0.464218615584557,0.518897208765693,0.521022321124448,0.329206241484006,0.165236767006609,0.0878981194951075,0.0613569167160823,0.0584871888167352,0.128392873003428
"[55,60)",0.0158749549619363,0.0252931825384887,0.0316188295896576,0.0722751566637954,0.161005585508246,0.230251137650896,0.251219854224212,0.272625193769342,0.299351848697218,0.32451669672668,0.334547564649538,0.264966329026432,0.139470390194735,0.0747434308844382,0.0527624028377532,0.0493220000518979,0.08106924924456
"[60,65)",0.00631569755616917,0.0123489007676626,0.0177671142001653,0.0412979395272614,0.0898158538971832,0.126300056381739,0.136943496289408,0.146973029122646,0.157035872267733,0.163550526123633,0.162443312024212,0.13492342286286,0.0960380711438183,0.0571631591431016,0.0384830840846998,0.0310823234093136,0.0307465461561476
"[65,70)",0.00223053920464137,0.00519447869433242,0.00896970356890433,0.0224658285152524,0.0491776726962804,0.0682444581686374,0.0730776448209608,0.0771113178101427,0.0800600961573739,0.0807672352589539,0.0788872344654616,0.0660100959887386,0.0521853046513848,0.0522987743527426,0.03584422123622,0.0213656423240648,0.011507935506271
"[70,75)",0.000789521296774595,0.00204949462795666,0.00409638634859451,0.0116625381211185,0.0275087416328867,0.0389184431245052,0.0411435010661189,0.0425219828838481,0.0434712159757021,0.0438236370413176,0.0434927893633577,0.036803446215104,0.0277477937151141,0.0283103824089947,0.0271159633994444,0.0117833765602494,0.0037341436457338
"[75,80)",0.000279528992958632,0.000789753253565717,0.00169691956031774,0.00531520245902252,0.0140327491737525,0.0214903351835025,0.0232870996380549,0.0240038119736347,0.0248515824554114,0.0261184638338071,0.0270126673125497,0.02241597271801,0.0146024272308304,0.0109950074639814,0.00767755161577696,0.00137203440902322,0.00021859938709082
"[80,Inf)",0.000186420485320293,0.000546609230204352,0.0011883528382261,0.00370032525868441,0.0105408366302929,0.0191711743213554,0.0258127896256481,0.0331790038479693,0.0430063489156571,0.0535538871158803,0.0539304188228087,0.0335088261964196,0.0131369354745595,0.00538596029858196,0.00221273885694925,0.000198808566384574,2.82864367156959e-07
