"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.473033601550651,0.393535342262348,0.196447830621603,0.133222647352734,0.196280126073798,0.370211725629223,0.489795075575653,0.372535489013631,0.203828770995126,0.135096788353085,0.137540610921711,0.160379849042747,0.151793526503637,0.110430728760099,0.0758330174515231,0.0572692246050846,0.0369003927727502
"[5,10)",0.336106511964967,0.542881715828641,0.356930124876781,0.127343061044944,0.085819247698026,0.154060778197683,0.331645056900962,0.433919103131976,0.29567585768086,0.148833181115644,0.0979576352522921,0.0997097152980807,0.112954552519568,0.104936941466076,0.0796148057607078,0.0584615002489784,0.0394859600417285
"[10,15)",0.148110510277175,0.315085675162761,0.519538141004608,0.26190906893301,0.0878399160768613,0.069180159765905,0.13745655788517,0.287729188071594,0.342198167296415,0.218694927330223,0.110021976469661,0.0719434846242919,0.0696764213098043,0.0758872523643931,0.0713372017143139,0.0560491116634824,0.0358814999392629
"[15,20)",0.109599388597462,0.122662601523356,0.285786669717411,0.469546387249049,0.23014473452566,0.0885592272458688,0.0763701346608474,0.142893823018015,0.271891856957447,0.3106169868697,0.201330228734712,0.0996680122283762,0.059415137980947,0.0529189387658298,0.0570636003591261,0.0552423639333493,0.0376606229276073
"[20,25)",0.250404445253478,0.128190907927845,0.148634277808388,0.356891888474785,0.574194065817472,0.313795068931074,0.138225810605018,0.111846894436211,0.183451399634084,0.330208877212641,0.382907607182482,0.247346811363876,0.113381217414373,0.0622775073526434,0.0561225832021957,0.0644274024003135,0.0583186129314686
"[25,30)",0.819433514662272,0.399266115160709,0.2030983860782,0.238268866623707,0.544432397959988,0.855827637131999,0.523023349897537,0.227472541544771,0.163131908208578,0.251033705191056,0.455828648155728,0.528551509308003,0.32654183409007,0.143706311600468,0.0840933797952146,0.0836138874577975,0.0983982379499674
"[30,35)",1.47641911819482,1.17051124091171,0.549568800217114,0.279826429058617,0.326601883726058,0.712283314976519,1.10809547801011,0.668947200567592,0.265473771053301,0.183410275629612,0.292459642510914,0.538325967512861,0.608045717892537,0.36502948973565,0.172010514804118,0.111310007059421,0.118523962023481
"[35,40)",1.11972478844162,1.52707098612659,1.14706735607623,0.522067941006798,0.263512890651419,0.308893712721269,0.66702211949784,1.0394136566004,0.593341462532436,0.22987477304637,0.168217580394541,0.277713915566232,0.503976367731782,0.549841821120308,0.338704195629038,0.168100913836514,0.106954634599369
"[40,45)",0.490454717898159,0.833021307618773,1.09212530251674,0.795242459224152,0.346010082607929,0.177340853546045,0.211914075499295,0.475000959821228,0.768454883117206,0.445416773493292,0.18288567869119,0.137519710908208,0.218882247927125,0.377126869229486,0.408328936005208,0.256427332682808,0.108006670376232
"[45,50)",0.221427965377723,0.285623557067945,0.475431019065954,0.618845981872877,0.424238895297813,0.18588995762174,0.0997277136299564,0.125353111084725,0.303403496751418,0.529511062429995,0.324208438584839,0.133351116280171,0.0926861462787279,0.137519582002828,0.236238217607578,0.264798747225797,0.134791176517186
"[50,55)",0.133995943134614,0.111739264295351,0.142167884931051,0.238418315855595,0.292407824223822,0.200631335798645,0.094521672969877,0.0545240919372824,0.0740469148494015,0.192707035543097,0.351890333865314,0.210754409592059,0.0785455475841281,0.0508221786010779,0.0782266790106813,0.144045083192165,0.138154785122931
"[55,60)",0.079042327984712,0.0575379272674495,0.0470286758435423,0.0597084293867638,0.0955543653679086,0.117688407743934,0.0880156713924357,0.0455369483268946,0.0281670550410844,0.0400976696130391,0.106616860940304,0.19277082816779,0.107580992226693,0.0380430864081473,0.0264631503455473,0.0442767093005674,0.0794648232473609
"[60,65)",0.0338158279675511,0.0294630246022387,0.0205879910266835,0.016089176384762,0.0197989511675554,0.0328656366722969,0.0449373815719979,0.0373536723981274,0.0202648729034962,0.0125977839289095,0.0179608814216246,0.0486286706786955,0.0909870734256073,0.0502541604704143,0.0187222335480087,0.0136430715839456,0.0264632982722928
"[65,70)",0.0117788979079343,0.013105389580394,0.0107360594366966,0.00686113198570825,0.00520691196556027,0.00692511531665301,0.0129165766319412,0.0195123172015744,0.0167174011728535,0.00894935669733113,0.00556425848425976,0.00823342513115345,0.0240613486949987,0.0471127698159362,0.0264791875048845,0.00983041505004616,0.00802830954343507
"[70,75)",0.00422039221988701,0.00518794222187982,0.00526589148406882,0.00386032237557565,0.0024483100929871,0.00211442717354775,0.00317580791174236,0.00627149978436728,0.00944433107163296,0.00802152957385092,0.00446877685546566,0.00298831309747425,0.00467719374615195,0.0138160664092689,0.025887044954955,0.0140501747791357,0.00431955409308433
"[75,80)",0.00166333780103886,0.00198808946869025,0.00215918198063929,0.00195029962451623,0.00146677692803855,0.00109717023539929,0.00107250201996384,0.0016243723467894,0.00309520942109919,0.00469232014966773,0.00429434460810903,0.00260930332733149,0.0017787075050072,0.00267680225535474,0.00733240431954812,0.0129324800825683,0.00494555678071896
"[80,Inf)",0.000833961598405155,0.00104487558205419,0.00107559063595473,0.00103460004154003,0.00103313373813677,0.00100470562338514,0.000888640247411223,0.000804212892784391,0.00101445365535362,0.00185861348336844,0.00320494289007387,0.00364401422381324,0.00268467835471819,0.00170107888475495,0.00175412082528662,0.00384831933014077,0.00564524612410872
