"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.842032039286111,0.357949198341137,0.0554912145993406,0.0275636120000652,0.0363804119965772,0.0593337319088676,0.0750421126079976,0.0757535064601625,0.0730871052122948,0.0682415130138811,0.0543896693987105,0.0337892026518558,0.015244123690877,0.0045836372296767,0.0010373152268793,0.000308107332142724,0.0012599742934515
"[5,10)",0.3103381318982,4.6158234747883,0.399277182029883,0.0306107630399538,0.0369604401290477,0.0778879787213714,0.123412723158425,0.125054514213044,0.114901692125222,0.12480964970426,0.123481006898087,0.0783210592292182,0.0328481253972924,0.0129093069426038,0.00563906909634176,0.0027276777934449,0.00277908187109593
"[10,15)",0.0418372251004371,0.360042104288786,7.05986950327715,0.417016019068901,0.0490641027513127,0.0550870324632478,0.0943960647176337,0.121006014292272,0.116025213282057,0.120533918447903,0.130600301810392,0.088663488666453,0.0300004188189405,0.00840846175909065,0.00403010284164408,0.00307729779714824,0.00206526288838136
"[15,20)",0.0226759870245351,0.0294856727825201,0.450539790823924,5.66621665749881,0.270817673928099,0.0597355839307265,0.0548503170707953,0.0780237259333193,0.0963585810920822,0.0992273603666584,0.0916054187177353,0.0592027929072498,0.0189111936121479,0.00381435515040588,0.00118767889097431,0.00100208348224861,0.00104238269858606
"[20,25)",0.0464123243973806,0.0552089712348336,0.0830215670103416,0.4067798956838,1.80832945274998,0.243900656378904,0.0762825079567579,0.0585083113711953,0.0790648840605119,0.101717996182798,0.0888002266469419,0.0474756160991588,0.0145369668827761,0.00302127883567878,0.000722461777750922,0.000437633379377943,0.000627991856519369
"[25,30)",0.131330385047843,0.201855599105818,0.16172393103719,0.160718767800038,0.420386710165628,0.818886677380496,0.272245237849954,0.0836157864036456,0.0628232080127779,0.0921650719762737,0.109363742024235,0.065250214618907,0.0197299869345376,0.00469365275011809,0.0012907047133426,0.000594415652566465,0.000503012598436435
"[30,35)",0.226204009082699,0.435574047381623,0.377407472078739,0.200976054668688,0.18024137955839,0.37050217124824,0.61737417329908,0.229448015567048,0.077540011863422,0.0742385600251824,0.118261512096918,0.113750437467684,0.0447950562554072,0.0108451639621658,0.00296844551527805,0.00117312987355456,0.000454038308359047
"[35,40)",0.227691271023343,0.440098439917759,0.482405173468261,0.285062608637403,0.137846422417657,0.113545092207303,0.228791215545199,0.356829664609673,0.156055440981972,0.0814294104487811,0.10037424581892,0.133434137439418,0.0801966001791465,0.0214050338289231,0.0046652047500963,0.00149125707735324,0.000435484608021605
"[40,45)",0.175862884291965,0.323717866492412,0.370294417870085,0.281834240467931,0.149125311225378,0.068295169558379,0.0618962086651579,0.124951252783864,0.18682188194962,0.120802276304213,0.0843574281694734,0.0799240299514141,0.0566115494713461,0.020070368798323,0.00454484257684388,0.00133688553194932,0.000473924071219706
"[45,50)",0.111850026674716,0.239520353174712,0.262034261056131,0.197691870858685,0.130683132133692,0.0682480518336568,0.0403665597746716,0.0444043067374371,0.082298583073628,0.121882275358512,0.0864337766974911,0.0408788116876205,0.0189133867987253,0.00876925249240485,0.00352864638924796,0.0015986864436396,0.000787990667003929
