"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00293656780208964,0.00478354205948975,0.00358853145227817,0.00373060186916739,0.00749821951354488,0.016354640688863,0.0269918730090367,0.0327276430084372,0.0337599504147708,0.0317988730084643,0.0245242174803965,0.0135360111320475,0.00554347028638064,0.00213321023947507,0.00095022241294259,0.000514540742516879,0.00038478456772734
"[5,10)",0.00453167882152845,0.0103573329033676,0.00797232327511333,0.00650677129437358,0.0137164845020976,0.0260056743302378,0.0351857408925984,0.0373965033684994,0.0373574933843044,0.0366555595726997,0.0313835560947867,0.0205438258280176,0.0103375906561636,0.00474185716472624,0.00235593102163116,0.00138985287376306,0.00106911821169419
"[10,15)",0.00327707328433808,0.00768501593155031,0.0231852135611915,0.0197837182263157,0.0269961734932002,0.0370895745554936,0.0409909795723903,0.0396857609612081,0.039066222742819,0.0392495576793283,0.0350241690640815,0.0247614361721771,0.0143587730841739,0.00791979304507288,0.00456105121942228,0.00289335819153257,0.00222872899612697
"[15,20)",0.00349639520699716,0.00643720929287524,0.0203039312456273,0.0881519408958399,0.111527122887323,0.11049278263995,0.105696407433122,0.0971344507429597,0.0943422656352486,0.0946420045104342,0.0839559002702031,0.0586264909587572,0.0345540244154364,0.0205442216676108,0.0134744511829868,0.00941118308939599,0.00714965409672975
"[20,25)",0.00754628374865151,0.0145716346114684,0.0297514265638166,0.119760573385674,0.33965962220371,0.340545580366713,0.297529488344906,0.263142872002857,0.247266400629727,0.24036436417804,0.207125988472895,0.140232551795122,0.0806711963257771,0.0482641767443774,0.0341403281264041,0.0267386099579093,0.0219352454654685
"[25,30)",0.0174193896248242,0.0292381924594513,0.0432587913756538,0.125569517175471,0.360406150475549,0.579978788995311,0.532374914850046,0.454271366105671,0.408906327663677,0.380930212698138,0.317870380835858,0.210628305785678,0.119170045597666,0.0703552169130571,0.0507261440711687,0.0430360572223974,0.0425255343375606
"[30,35)",0.0290454271502647,0.0399670340736529,0.0483018367922266,0.121356588437697,0.318126450929025,0.537861431277197,0.645819376620917,0.567131062604718,0.487527288088802,0.4360354478217,0.354196240988232,0.231759838353934,0.13031997265351,0.0759916876216044,0.0540953175172289,0.0470785953350018,0.0595237045980544
"[35,40)",0.0348035369602105,0.0419788101190671,0.0462140434624581,0.110214904525466,0.278051525684415,0.453557225101498,0.560463509468638,0.625351282975672,0.552648544780447,0.480644283355928,0.383850842186976,0.248407567273378,0.138154113332079,0.0792111620202875,0.0552260742080719,0.0479693760541075,0.0789883612055979
"[40,45)",0.0363586481131133,0.0424692048567045,0.0460720940742074,0.108410317354895,0.264603785564177,0.413464123762152,0.487932908916391,0.559688398692952,0.611431460635161,0.550577516940664,0.434786592646864,0.276317023154351,0.14954288250536,0.0833105147151009,0.0571903590120083,0.0503350386844345,0.108437603470094
"[45,50)",0.0353319643306633,0.0429918747161766,0.0477552832552751,0.112201424912309,0.265369590938891,0.397383241527082,0.450228627899606,0.502193611374358,0.568026504936076,0.613702345465445,0.501559156858147,0.309175124400646,0.160727259289355,0.0867146389954361,0.0594932263553081,0.054642619601422,0.142510041559783
"[50,55)",0.0269201335988593,0.0363642537117439,0.0420998449336865,0.0983312731693214,0.22591323023575,0.327597205296139,0.361311058587208,0.396219547025112,0.443151545939239,0.495505136379528,0.498070223188542,0.315209769726955,0.157838229360257,0.0837237861669726,0.0583816023583223,0.0559199759007795,0.139635645941172
"[55,60)",0.0137720200912297,0.0220637203312025,0.0275875655814758,0.0636442587366541,0.141768844935876,0.201201749670362,0.219129263117602,0.237663842086068,0.261040960860611,0.283110146136524,0.292162560743494,0.231851446501872,0.121685007389465,0.0650201580794487,0.0458586699436478,0.043057430886685,0.0765602023393995
"[60,65)",0.00514797874971515,0.0101336249649936,0.0146016843975465,0.0342382883019149,0.0744386585632549,0.103903505701688,0.112466001757086,0.120645239160151,0.128948068801642,0.134334791539255,0.133531943421181,0.111067027662928,0.0789343696219746,0.046843478202502,0.0314825444008218,0.0254540740117356,0.0254176742037008
"[65,70)",0.00180546609401501,0.00423637718060862,0.00734006851603556,0.0185525562467882,0.040588742769158,0.0559062107730058,0.0597691419335606,0.0630424973643248,0.0654710895136834,0.0660529232688037,0.0645538999881292,0.0540874807451518,0.042692323384343,0.0427969403345564,0.0291982847823711,0.0173066159407539,0.00883572726133144
"[70,75)",0.000684995210354435,0.00179273175152285,0.00360045856815495,0.0103641034071804,0.0244542853206322,0.034332243935227,0.036239082477824,0.0374367193998926,0.0382806374357412,0.0385987936393391,0.0383403632655015,0.0324920247005257,0.0244386419113591,0.0248693209807568,0.0236057315232224,0.0101055584293509,0.00291556541052915
"[75,80)",0.000295879107203444,0.000843633534934771,0.00182191174653676,0.00577427070670746,0.0152777140133056,0.0232345936144927,0.0251578359855279,0.0259388039978043,0.0268756520979405,0.0282793867387565,0.0292940524071206,0.0243352436634201,0.0157614733399009,0.0117584752541734,0.00806106797315936,0.00137225361450546,0.000192632170485267
"[80,Inf)",0.000318901751896808,0.000935309749962482,0.00202267974808727,0.00632241031539717,0.0180637027190707,0.0330900263052331,0.045844207151729,0.0615593052806224,0.0834474833042092,0.106298875674693,0.105427402252308,0.0623642045163749,0.0226840213047512,0.00865218672923716,0.00335196738020186,0.000277634573087512,3.2368245072932e-07
