"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.14168099961177,0.528406501826334,0.107030476469734,0.0533344172959144,0.0690641383403156,0.113199645448761,0.145558514127213,0.147235252346657,0.141971162075679,0.132254375247929,0.104503786359686,0.0642615840106554,0.0289677317005049,0.00875536993225951,0.00195858913092114,0.000593122839923582,0.00298970091506407
"[5,10)",0.483416921359475,4.8045983491179,0.500268461763683,0.0633729914025041,0.0741279213271363,0.155211285013746,0.25259405312682,0.257744835673081,0.236689525553518,0.257954441429589,0.252624949739333,0.157318284184599,0.0661344719344716,0.0262207032462665,0.0114145441107394,0.00556031423972297,0.00622734562673976
"[10,15)",0.0919789998661349,0.476324672444462,7.30980048224275,0.574167196204354,0.11019493108317,0.1187517106779,0.205107205560386,0.266356813145392,0.255426467538885,0.266476069386109,0.286676451235418,0.189582614676723,0.0639512450207172,0.0181687468442297,0.00875075868785434,0.00672326896928962,0.00433128579420096
"[15,20)",0.0473538807310736,0.0618803017683331,0.590559580765254,6.11551519003199,0.493370895467503,0.126889077280302,0.114507412078756,0.164401645349062,0.202690907989842,0.207998394508928,0.191288085831491,0.121196328423578,0.0384692250392725,0.00786916627206169,0.00248546744892179,0.00214567647163481,0.00208545671535282
"[20,25)",0.0653479367828999,0.0771367431497371,0.121327619285053,0.523857058120493,2.16611961533782,0.352972721642283,0.10960741055226,0.0859399219192951,0.117725237786666,0.149251802101696,0.127361763087043,0.0671511003692359,0.0206016238352393,0.00429822792037409,0.00102717377009793,0.000649566184440537,0.000908022438749309
"[25,30)",0.105424182322129,0.158971277061699,0.128692674073866,0.133097958000962,0.347475295791906,0.713791556465103,0.220816522069484,0.067305375458863,0.0526494112739488,0.0781862102243149,0.0893292417374032,0.0510735632615093,0.0154105150845109,0.00369685474808921,0.00100418962610639,0.000473528738419135,0.000406584520200794
"[30,35)",0.120041104102812,0.229095038183086,0.196830348396318,0.10635990623374,0.0955329091535405,0.195617818333341,0.350274619156302,0.119817620614117,0.0402788714298511,0.0400419068867224,0.0635567235924461,0.0583699552633099,0.0225181003546694,0.00550665790020112,0.00150500894011237,0.000600794216109062,0.000221904384011304
"[35,40)",0.102603473277794,0.19753334753712,0.215989601617415,0.129035258386871,0.0632944936446993,0.0503622163204763,0.101284328997709,0.168873171290989,0.0690600725485372,0.036290815237083,0.0457414259310196,0.0595874528126233,0.0349610557703839,0.00934049016385222,0.00201881710267595,0.000650558429727517,0.000175771323792015
"[40,45)",0.0851170833766121,0.156061518906203,0.178197361612024,0.136868290619518,0.0745945142788808,0.0338933847049058,0.0292820530039018,0.0594283385362979,0.0924686063160217,0.0579564649690465,0.0405158204454246,0.0380723102582568,0.0265254294812212,0.00941429186921302,0.00211375743131172,0.000629677062330077,0.000210436401283921
"[45,50)",0.0708657604568692,0.152009106884153,0.166151165908693,0.125527351266472,0.0845214044249389,0.0449843440183374,0.026016495015353,0.0279044116688012,0.0518016143418519,0.0780766945219238,0.0540420791174479,0.0250693243475498,0.0115092804073437,0.00537445252142532,0.00219041931765665,0.00101739567996447,0.000478844971655291
"[50,55)",0.050186384458527,0.133422881954215,0.160200799362358,0.103465076493117,0.0646418330536746,0.0460630145036682,0.0370103350235866,0.0315219680710083,0.0324535286729703,0.0484371054510542,0.0609145372054033,0.0297823622244225,0.00818349357938034,0.00339008222562181,0.00254432029413906,0.00228399695937073,0.00133936903093788
"[55,60)",0.02489738102004,0.0670319161456877,0.0854711453368415,0.0528863605073374,0.0274964160414502,0.0212472742178625,0.0274220066595889,0.033128883730915,0.0246033856246282,0.0181266882187691,0.0240289234176622,0.0297449537129476,0.0132363085419072,0.00400415215983809,0.00231263375376038,0.00248372486186606,0.0020420245177565
"[60,65)",0.00763950910615585,0.0191813445957378,0.0196254102135483,0.0114265830285547,0.00574213150292907,0.00436388144806005,0.00720095913186661,0.0132307738186724,0.0116680099675733,0.00566464543089767,0.0044940285414428,0.00901071794054957,0.0156330542030645,0.00684251770035323,0.00166982897109894,0.00100065203577287,0.0014908562895054
"[65,70)",0.00142329745080402,0.00468776357525119,0.00343688436475731,0.00144079393395952,0.000738467402469246,0.000645295123851752,0.00108546768827724,0.00217891646581123,0.00255265564954678,0.00163053076652021,0.00114756559611593,0.00168007822940225,0.00421818344080426,0.0065564620664956,0.00177878355149259,0.000497192971610157,0.000771931489058359
"[70,75)",0.000218071686479337,0.00139770238677254,0.00113375816001448,0.000311685070609484,0.000120870572872796,0.000120053962244702,0.000203190151554828,0.00032255416930553,0.000392549558396379,0.000455152360615612,0.000589893812641196,0.000664600345979188,0.000704980282324694,0.00121834969178968,0.00150843250801192,0.000565337466299767,0.000242478685772684
"[75,80)",4.96435253223106e-05,0.000511820287494974,0.000654812902076751,0.000202271261870223,5.74595329837251e-05,4.25568165262335e-05,6.09749343789986e-05,7.81365114451922e-05,8.79061465979342e-05,0.000158921059538254,0.000398070142606669,0.000536561134535978,0.000317577763534239,0.000255989278389109,0.000424985447989193,0.000160821940191604,1.8133200569232e-05
"[80,Inf)",0.000289841411944906,0.000663950735829845,0.000488616703259676,0.000227711965115092,9.30357773508868e-05,4.23241609700319e-05,2.60859229410659e-05,2.44529048724967e-05,3.40280421468762e-05,8.66365640238392e-05,0.000270382800506266,0.000510965296939337,0.000548046628797647,0.000460352259080659,0.000211130180816222,2.10033946291975e-05,1.58314679929397e-08
