"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.85251062145105,0.707014177267681,0.353360171234196,0.237695389322576,0.33850238301992,0.643504877772757,0.878291295765867,0.670903050095427,0.36336116070791,0.240995784209388,0.247123463127174,0.287560996481736,0.26971147427552,0.196217953012647,0.135332960083178,0.102503338453455,0.0604511598396821
"[5,10)",0.69531149309638,1.12433319922055,0.741754647965969,0.269634111732565,0.175440436454026,0.304029314596217,0.6718310222693,0.89570733617304,0.606410689926836,0.303170351419761,0.201142728084678,0.206359277917168,0.232859962954477,0.215278911198456,0.163496848413241,0.120354995016846,0.0757419293603488
"[10,15)",0.340656415774187,0.727123141446012,1.19118111638649,0.616663665506248,0.209604689473415,0.15631620348464,0.308883064983483,0.658963804779301,0.781468349823821,0.492045664510701,0.24717917205699,0.163644337970868,0.160098401194753,0.173892904125795,0.162844119409985,0.127877420134337,0.0767414943655792
"[15,20)",0.224208455483978,0.258615635546601,0.60336569385571,0.969331079556616,0.487788017023945,0.184687149942253,0.15700415711857,0.299847666553361,0.571263090498322,0.634511999896912,0.399897329221256,0.197454487451701,0.120918123014802,0.110012293411988,0.1185773695561,0.113794685114211,0.0721810223782263
"[20,25)",0.3112776546678,0.164045616005228,0.19993472703547,0.475538970359558,0.749759521479463,0.40606267866757,0.17593595001292,0.147067397375986,0.250561914587178,0.446100735383459,0.492494248760514,0.304145855878316,0.139545202129575,0.079942398264421,0.07402822546048,0.0847099945145321,0.0709242995812892
"[25,30)",0.565245383321519,0.271549717633479,0.142426303662435,0.171985023771918,0.387875225170287,0.610302319262453,0.365209829268492,0.157681771033807,0.118145728528497,0.18936752778681,0.33864925800043,0.372360897096411,0.220403870222661,0.0978889953454354,0.0592924596930374,0.0602334499814325,0.0679095545999697
"[30,35)",0.710660164745099,0.552754340724661,0.259249851082665,0.13468006455583,0.154807418556111,0.336419119984974,0.533046658458949,0.316187361219734,0.124582022984737,0.0891676018559962,0.1465878950286,0.266396084532381,0.288831259020979,0.169907319772552,0.0806862741163128,0.0532646758512916,0.0569027209498467
"[35,40)",0.490428492341467,0.665780042808202,0.499664519264783,0.232372842870156,0.116908508196398,0.131223686867086,0.285651849102923,0.452703790979211,0.254682113183353,0.0982780241911806,0.0738710163114561,0.124513608235756,0.222898653297151,0.238004634872949,0.145773216835635,0.0727233968751364,0.0462291082560712
"[40,45)",0.242049043146077,0.410752701936473,0.539979513684919,0.403431496954375,0.18150713834023,0.0895978750732445,0.102564448996532,0.232085166372994,0.380499669247704,0.218896101417621,0.0899369697560515,0.0686468819994629,0.110072658932162,0.187426923647663,0.202105372780247,0.127423277885647,0.0509688726980482
"[45,50)",0.148566449043171,0.190040751588967,0.314642751556616,0.414686510570163,0.299059788438943,0.132902033653287,0.0679352207277672,0.0828803902653371,0.202574352095517,0.357291610839451,0.218338077788491,0.0894212491628022,0.0624945403434226,0.0924173329991399,0.158412982120022,0.178944776611978,0.0838926709206045
"[50,55)",0.135693085614287,0.112304404003997,0.140785080694004,0.232788226240503,0.29407539222695,0.211694066031862,0.0994760316543859,0.0554883593248148,0.0741339467383776,0.194474167755202,0.356117099335743,0.212343670230033,0.0791181506334415,0.0512933752734399,0.0784477825726178,0.14465904062215,0.128835318984986
"[55,60)",0.128975803728954,0.0941132946106352,0.0761342844814849,0.0938888548101769,0.148345354662324,0.190132846563168,0.147666746682748,0.0763975012959924,0.0462204546395988,0.0650590470477814,0.173449816916532,0.313731981585035,0.176159371590235,0.0629478471112553,0.0432994450629383,0.0713739722384114,0.123247423252177
"[60,65)",0.0926219754180882,0.081312657436637,0.057029903311845,0.0440225083106879,0.0521126682437617,0.0861685236200383,0.122584459410687,0.104714333746376,0.0567452100363599,0.0348133163592106,0.0494819728516915,0.134878306899683,0.25101776853358,0.141142251627001,0.0528141245529395,0.0377442846352004,0.0739469992337796
"[65,70)",0.0499090012940868,0.055678860859321,0.0458799592316615,0.0296653944842142,0.0221121563482962,0.0283458072306793,0.0534107694202584,0.0828151182261962,0.0715660833091597,0.0381313579971351,0.0237606151384089,0.0356979072681239,0.104540016378889,0.201367884352567,0.114330040929247,0.0425368841244393,0.0364544729318419
"[70,75)",0.0244879140385543,0.0300819725732696,0.0305647828792189,0.0227467206264184,0.0145666382420243,0.0122141288543255,0.018043653510724,0.0360836134337587,0.0548985917309034,0.0464972944105657,0.0258514642136465,0.0174683658222134,0.027828107987149,0.0813333070396394,0.150520475888464,0.0823779505216252,0.0247346840581638
"[75,80)",0.012280309566681,0.0146616935598851,0.0158915476553904,0.014453134813382,0.0110362045929946,0.00821530823733909,0.00788655251342856,0.0119187177109142,0.0229168652654145,0.0347759523939102,0.0315626273830404,0.0190648287746436,0.0131676382509947,0.0200353456816773,0.0545423789589218,0.0953228606024894,0.0326838805291513
"[80,Inf)",0.00788405904699999,0.0100445459179174,0.0103818919897257,0.00998014911587634,0.0100589829218963,0.0100830270381757,0.00917180622493548,0.0082479272084,0.00997896254695284,0.0177483487563607,0.0306010571971179,0.0358380866843878,0.0280834959182092,0.0186920061458759,0.0178280312557165,0.0355801307907354,0.0490507019539226
