"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00480833618822451,0.00789964449762176,0.00593444319535388,0.00615621248093537,0.0123660578967864,0.0269933535440126,0.0445653093420555,0.054084761299439,0.0558548590614211,0.0527287700651253,0.0408192742157723,0.0227208340632413,0.00944885908848802,0.00363599060775738,0.00159741380455993,0.000858679782982011,0.000624725252768927
"[5,10)",0.00722599825654927,0.0165199995626226,0.0127435550026803,0.0103647935449839,0.0219043912636727,0.0415948170657298,0.0563080712174165,0.0598950503201258,0.0598246424437144,0.0587823869834749,0.0504838918059438,0.0332825031463737,0.01696611782504,0.00779639879135574,0.00383083010450577,0.00224462271043565,0.00170472101885559
"[10,15)",0.0051273286523096,0.0120368118343202,0.0363610518085762,0.030925375468336,0.0422634354465914,0.0581201188461468,0.0642631540921748,0.0622543743569488,0.0612280776811068,0.0615760784283869,0.0551103779942699,0.0391958343889674,0.0229508369598369,0.0126748098432775,0.00724498358186146,0.00457264761621034,0.00354169810665969
"[15,20)",0.00529284990572364,0.0097419596918794,0.030773704547685,0.133026913602594,0.168887906144567,0.167493009651854,0.160323749341657,0.147424135982298,0.143042787607525,0.143642553221927,0.127837882214769,0.0898109740083827,0.0533856142711627,0.0317003141002142,0.0206498311258416,0.0143778640114082,0.0111275716606775
"[20,25)",0.0110851538055538,0.0214660101902155,0.0438494414296366,0.176089322188545,0.50095393689625,0.502403233913682,0.439107076108553,0.388614444915169,0.364903616708177,0.355028885548527,0.306900915015978,0.209059909592447,0.121291074406972,0.0723332324336712,0.0507487136307067,0.0396377652177782,0.0331454211982072
"[25,30)",0.0251324125600993,0.0423376015159045,0.0626314768326014,0.181383612133407,0.521818312272291,0.840617758864185,0.771941144396029,0.65929677841228,0.59327805101588,0.553097172055215,0.462845588364851,0.308546526419049,0.176101672006705,0.103585592125156,0.0739754668935016,0.0625108770925183,0.0614749377339576
"[30,35)",0.0407449391068153,0.056280389434222,0.0680029270188812,0.170489890155752,0.447854286784464,0.758025123209417,0.910028418618296,0.800179564766914,0.687970672656456,0.615710367192986,0.501407442961976,0.330018929842895,0.187226316599495,0.108814352690022,0.0766894467911115,0.0663759091467608,0.0789797370846432
"[35,40)",0.0448836504799622,0.0543392804877514,0.0597959745898976,0.14230031720135,0.359767349036139,0.587647469954526,0.726313243057915,0.809878541153885,0.716006216876876,0.623053237608145,0.498751737846665,0.324696726143108,0.182267022881298,0.104209133730797,0.0719230375625037,0.0620660730699632,0.0885193502496417
"[40,45)",0.0391941873073411,0.0458934292342638,0.0497279034195789,0.116748333779211,0.285646181972704,0.447138069601916,0.528024265386459,0.60543042530862,0.660997600435141,0.595427862376015,0.471355685592269,0.30151650755692,0.164863913630797,0.0916147762210847,0.0622095153947476,0.0543193378415544,0.0929069731276146
"[45,50)",0.0301088110126544,0.0366946607604731,0.0406955397057755,0.0954010386697192,0.226151361072151,0.339211107681357,0.384543684374898,0.428704327180651,0.484523018456678,0.523551681475318,0.428986627048242,0.266338389865495,0.139984331350765,0.0752816991207224,0.0510067644200897,0.0464120188425774,0.0922538592399995
"[50,55)",0.018552336532375,0.0250839460171839,0.0289904893551986,0.0675798035740093,0.155604112401475,0.225939480761186,0.249257000137848,0.273152074156663,0.305296188022417,0.341453150852484,0.34428301088681,0.219410658187839,0.11105936631741,0.0586399149911528,0.0403383424723881,0.0382926127865292,0.0760062604455184
"[55,60)",0.00772477090636013,0.0123704932099443,0.0154237534295398,0.0355152411118537,0.0792905899081305,0.112669057834882,0.122722287707056,0.133022772038142,0.146087053300519,0.158580266705665,0.16412915121769,0.131121830572719,0.0694367540571052,0.0368957957176257,0.0256944210237979,0.0239857311781341,0.0377227851809858
"[60,65)",0.00209374050583715,0.00410994165301078,0.0058861433117553,0.0137591545677859,0.0299820882387504,0.0419111545487319,0.0453767751759082,0.0486674205078174,0.0520605059355613,0.0543221493720023,0.0541458703085219,0.0452555195360868,0.0321904096003091,0.0189511078289129,0.0126417680286649,0.0102499626922067,0.0103268183285176
"[65,70)",0.00046309953513312,0.00108556375061736,0.00186845165868663,0.00469611993944015,0.0102772996178097,0.014170122604068,0.0151586675213323,0.015993522424496,0.0166286278542003,0.0167917144581379,0.0164328007441322,0.0138218805327653,0.0108928798251063,0.0107693323549817,0.00732662403704591,0.00439179735524762,0.00250781783047904
"[70,75)",0.000115831828059338,0.000303677813569144,0.000608046375702097,0.00174161037884942,0.00410511254110488,0.00576130483577568,0.00608232096968893,0.00628442060199774,0.00642845476131362,0.00647727428533091,0.00643569110341848,0.0054800935818359,0.00413689798560991,0.00417121707239793,0.00407387919772777,0.00176487986129204,0.000598205375309199
"[75,80)",3.64594812960331e-05,0.000104191501228746,0.00022471693546693,0.000710064241084234,0.0018774914200099,0.00285073930085305,0.00308257025106082,0.00317555955357777,0.00328679798152535,0.00345114926493899,0.00357734571901828,0.00299551067327078,0.0019640749191613,0.00146409732911429,0.00103343678973443,0.000183509348887017,3.14580536442289e-05
"[80,Inf)",2.11320601630432e-05,6.30399395432202e-05,0.000138660619958682,0.000437801453779398,0.00125073663673921,0.00223343612894734,0.00292207738459112,0.00360809314045069,0.00447858049880672,0.0054650149649593,0.00565677373006536,0.00375314366566615,0.00157643413869933,0.000666035182039835,0.000279056800748496,2.50614028621746e-05,3.95495444866454e-08
