"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.503236122382735,0.415831860367368,0.20658683543047,0.139833475840739,0.198724286291861,0.37829176936954,0.517640751837993,0.394981547181559,0.213506374174673,0.141740069802524,0.145718361541311,0.16936986167172,0.158724729112897,0.115289891151197,0.0794570025086964,0.0603513749956779,0.039178877474167
"[5,10)",0.438334054977469,0.711694830491379,0.465709612878819,0.169943769493439,0.110542051785984,0.190727650157951,0.423201948629645,0.565546294333449,0.382643500932318,0.190929320882004,0.126786930438551,0.130144909550308,0.146753245061707,0.135666993829338,0.102937284422708,0.0759695430357725,0.0516216883930335
"[10,15)",0.247302612331926,0.528875941558315,0.870208734726843,0.452360628650816,0.154734167756073,0.11384948771395,0.223950510390965,0.479230226781212,0.570822384651832,0.359750589165108,0.180502755643426,0.119437835078909,0.116527563288848,0.126586637631537,0.118616418321169,0.0933845596889103,0.0601271748857196
"[15,20)",0.190563212544154,0.219707917530915,0.514975597962523,0.824373253899331,0.418570196557465,0.158055026317122,0.13343761381332,0.254422816970203,0.485366352034662,0.538961420956508,0.338915023733155,0.167650296309222,0.102713798469997,0.0933275273649445,0.100635194613862,0.0966198023133479,0.0658741227908277
"[20,25)",0.275853444648873,0.145568542943042,0.179426930659346,0.42635155868115,0.666986132851217,0.361020851574195,0.156104548425482,0.130990095923161,0.224075808381545,0.398529574100247,0.436802874508734,0.268680791197667,0.123612998585701,0.0709160400330039,0.0659447721202519,0.0754009705304697,0.067046984146072
"[25,30)",0.496781151086476,0.237609840829995,0.124894477935092,0.152306562370644,0.341541151167297,0.537486490524856,0.320730840594867,0.138417089398675,0.104202205514959,0.167988961264466,0.299856166842854,0.327245038489934,0.193368423829436,0.0856722199815274,0.052091002420607,0.0531171996659419,0.062020878827865
"[30,35)",0.642068085512234,0.497981066584686,0.232048422197566,0.121451526787413,0.139489242535914,0.302938959588898,0.481313364359491,0.285032373233228,0.112118350726389,0.0805878819531345,0.133190397313478,0.241065069350778,0.26061372984635,0.152781282250473,0.0724222323620322,0.0480953879334056,0.0517810833498248
"[35,40)",0.467161417710102,0.634557337458275,0.473487265292296,0.220809780151043,0.111609498241306,0.124664171952694,0.271788906124141,0.431275983168367,0.242093248759284,0.0933020269767086,0.0705292726864459,0.119005947259866,0.212394237656359,0.226536541992191,0.138173872487489,0.0692894372489516,0.0444361089883541
"[40,45)",0.249581161379365,0.424334013916981,0.557411456534233,0.416334795654756,0.188698506264298,0.0927554955634544,0.105663509791596,0.23927287800754,0.393202960155868,0.225729897482251,0.0927279639719022,0.0710114247594798,0.113584283548386,0.193717279868761,0.208538440574733,0.131841770561156,0.0558942925392569
"[45,50)",0.171483954255214,0.219137157005737,0.363585286511131,0.478476501382912,0.347347307370889,0.154765221860694,0.0786046004434452,0.0954402931963627,0.233624817651294,0.413450654145658,0.252303354165822,0.10356142152938,0.0721881863086227,0.106668210607293,0.183263307378396,0.207096375486965,0.107589642204432
"[50,55)",0.182023844142957,0.150245349469411,0.188352668750717,0.310653972160555,0.393071924177211,0.285225776008606,0.134132584515318,0.0744891891513259,0.0990886178522476,0.260499071478751,0.478019367401092,0.285743810550071,0.106654844201845,0.068711558208081,0.105268209469466,0.193547971308106,0.190491001793363
"[55,60)",0.198611301840386,0.144779662296843,0.116999414150468,0.144259438697989,0.226974453045146,0.292215116704981,0.227902708285992,0.117990306627741,0.0712352734244687,0.10037717789318,0.268244394130519,0.483467067043146,0.272478041957942,0.0970179855663111,0.0668201031855966,0.109842609007693,0.199429116475821
"[60,65)",0.155018837435745,0.135969074807519,0.0950697791582183,0.0736106679639926,0.0869714192218246,0.143809382380625,0.205203398265959,0.175385001137924,0.0948980236768165,0.0582740449294218,0.0833885580465656,0.226936088750928,0.420638195671829,0.235713242656068,0.0880215525519612,0.0632842502891184,0.120740033417161
"[65,70)",0.0904845964466016,0.101011349807081,0.0829937193944576,0.0537483667401041,0.0400959433407224,0.0512017999228834,0.096672055091387,0.150325110044707,0.130062120641409,0.0691970511568789,0.043171706857991,0.0649333564310109,0.189420738751577,0.366064806116868,0.207148149902476,0.0775596770364767,0.0616071430396305
"[70,75)",0.0514560551760198,0.0632396657938937,0.0641686727065051,0.0478218407906312,0.0307650211018293,0.0256879122373396,0.0378114728319194,0.0756554257017022,0.115528590993505,0.0980954771579729,0.0545742208994868,0.0369014666637889,0.0583651296423465,0.170923566088914,0.317120735677476,0.174978180349795,0.0536550302147412
"[75,80)",0.0295295453823244,0.0352631946120809,0.0381696876647892,0.0346902814802878,0.0265778020293814,0.0197909456253166,0.0189723181860574,0.0286646382151612,0.0551850782223448,0.0837550963961611,0.0758130925718989,0.0458324007135452,0.0317048242604524,0.0483528591106601,0.132205394546685,0.229228126806718,0.0890485482444807
"[80,Inf)",0.0175878723120271,0.0219839672443377,0.0225478975577392,0.0216994260889105,0.0216826868314734,0.0212012278748363,0.018740441731369,0.0168658089877711,0.0214648482679491,0.0399209558617043,0.0684576171755319,0.0763452559107611,0.0554974113259452,0.0352378140885709,0.0371935342161334,0.0816993435597582,0.118884700411375
